,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
163,-1.616446453786466,-18.62611939237311,-178.4899673122008,4.0,3.0,-1.0,52.07834619741516,-19869412.27290224,-2110966.5988160656,-1
174,-0.601730779718082,-18.62667534050342,-178.4900232459864,4.0,4.0,-1.0,52.07872067015796,-19869418.49942277,-2111031.9074567365,-1
175,-0.7814624684592673,-18.627211914865228,-178.49007754321644,4.0,4.0,-1.0,52.07907459173475,-19869424.54376277,-2111094.9404141097,-1
176,-0.5597285091687354,-18.627484331567267,-178.49010553604612,4.0,4.0,-1.0,52.0792514562354,-19869427.659910314,-2111126.942075855,-1
179,-0.9583047764454022,-18.62758793838541,-178.49011628162745,4.0,4.0,-1.0,52.07931822365572,-19869428.856102955,-2111139.113113796,-1
183,-0.9556786573073168,-18.627826964521645,-178.49014127767256,4.0,4.0,-1.0,52.07947121145207,-19869431.63864997,-2111167.192338281,-1
185,-0.8721636075490551,-18.62794326273728,-178.49015349398204,4.0,4.0,-1.0,52.0795451189033,-19869432.99856332,-2111180.8543049973,-1
187,-0.760981571613911,-18.62819156653895,-178.49018009363758,4.0,4.0,-1.0,52.07970175735045,-19869435.95962343,-2111210.0234706057,-1
188,-1.8479113665614477,-18.628267648842446,-178.49018829475108,4.0,3.0,-1.0,52.079749436828024,-19869436.87256721,-2111218.961148616,-1
193,-0.8516227158811489,-18.6284197889179,-178.49020470942918,4.0,4.0,-1.0,52.079844336099995,-19869438.699840818,-2111236.8336348254,-1
196,-1.0180405313544725,-18.628470407050074,-178.4902101813476,4.0,4.0,-1.0,52.07987577845961,-19869439.30897199,-2111242.779947169,-1
199,-0.795502154075848,-18.62851470703368,-178.49021496908642,4.0,4.0,-1.0,52.07990324238108,-19869439.841940638,-2111247.9840430454,-1
202,-0.7649640328479563,-18.6289193562876,-178.4902586601294,4.0,4.0,-1.0,52.0801517813461,-19869444.705605295,-2111295.5198686486,-1
204,-1.0995155816526676,-18.629318826709827,-178.4903013641642,4.0,4.0,-1.0,52.08039302895486,-19869449.4593967,-2111342.4474264258,-1
206,-0.6786848864585409,-18.629389077629106,-178.49030875216363,4.0,4.0,-1.0,52.08043503253066,-19869450.281825036,-2111350.7001241096,-1
207,-0.9203354583144119,-18.62939544695499,-178.49030942320692,4.0,4.0,-1.0,52.080438834555935,-19869450.356525235,-2111351.4483582024,-1
209,-0.9234024308148037,-18.62945294215836,-178.49031546040112,4.0,4.0,-1.0,52.080473108029764,-19869451.028582618,-2111358.2025862276,-1
211,-1.0616211848323474,-18.629523246389954,-178.49032283172028,4.0,4.0,-1.0,52.08051490212347,-19869451.849154115,-2111366.4615532747,-1
213,-0.8778142997614395,-18.6296640136971,-178.49033755457216,4.0,4.0,-1.0,52.08059820453218,-19869453.48809449,-2111382.998157778,-1
215,-1.0557182711686437,-18.62969600912621,-178.49034089728931,4.0,4.0,-1.0,52.08061706785702,-19869453.86020406,-2111386.7568147904,-1
216,-1.068323732171848,-18.62973442398026,-178.49034490717253,4.0,4.0,-1.0,52.080639681225875,-19869454.306582216,-2111391.2695934703,-1
217,-2.0344795961275395,-18.629753567367455,-178.49034691123512,4.0,4.0,-1.0,52.08065093611276,-19869454.529673446,-2111393.518460126,-1
219,-0.8824256810851239,-18.6297728626732,-178.490348916103,4.0,4.0,-1.0,52.08066227082509,-19869454.752854314,-2111395.785173644,-1
220,-2.2733317606755463,-18.62980479019609,-178.49035225516909,4.0,4.0,-1.0,52.08068100520086,-19869455.12455745,-2111399.535855788,-1
221,-0.9816112754447204,-18.629824099372588,-178.49035425937305,4.0,4.0,-1.0,52.08069232274465,-19869455.347664416,-2111401.8041994567,-1
224,-1.0333868649458964,-18.62986894086245,-178.4903589332585,4.0,4.0,-1.0,52.0807185685444,-19869455.867958967,-2111407.0719501963,-1
226,-0.982803546608011,-18.629920203014738,-178.4903642735992,4.0,4.0,-1.0,52.08074850932826,-19869456.46244297,-2111413.0939694894,-1
227,-1.0997876741878372,-18.629945823618524,-178.49036694300705,4.0,4.0,-1.0,52.08076344839628,-19869456.759600095,-2111416.103749577,-1
229,-1.0262279154133012,-18.629945828818677,-178.49036694304397,4.0,4.0,-1.0,52.08076345142672,-19869456.759604204,-2111416.104360464,-1
230,-0.933324533807081,-18.629971467729582,-178.49036961257477,4.0,4.0,-1.0,52.0807783843502,-19869457.056775015,-2111419.1162916343,-1
231,-0.9528294824401655,-18.630106035772513,-178.49038362414473,4.0,4.0,-1.0,52.08085648521319,-19869458.616535846,-2111434.924680512,-1
234,-1.0670480374105864,-18.630253382322444,-178.49039896781687,4.0,4.0,-1.0,52.08094147094198,-19869460.324585617,-2111452.2342396206,-1
235,-0.9522568263550966,-18.630330245137124,-178.49040697386337,4.0,4.0,-1.0,52.08098558292659,-19869461.215814635,-2111461.263716809,-1
236,-1.2297958503870632,-18.630343032016718,-178.49040830810264,4.0,4.0,-1.0,52.080992906717256,-19869461.36434147,-2111462.7658588854,-1
238,-0.763202508559516,-18.630375077584986,-178.4904116443541,4.0,4.0,-1.0,52.08101124269524,-19869461.735731285,-2111466.530421028,-1
241,-1.1934615341267545,-18.630464854190635,-178.4904209143728,4.0,4.0,-1.0,52.08106247152773,-19869462.767665047,-2111477.0769567913,-1
243,-1.4593009696075114,-18.630637121051443,-178.4904390725446,4.0,4.0,-1.0,52.0811601937703,-19869464.789023485,-2111497.314077546,-1
247,-1.7274264853210752,-18.630675365783777,-178.49044310613002,4.0,4.0,-1.0,52.0811817859294,-19869465.23804016,-2111501.806896084,-1
248,-1.2009122838401254,-18.630681779145693,-178.490443778539,4.0,4.0,-1.0,52.081185403111704,-19869465.31289239,-2111502.5603089947,-1
249,-2.4115738059610976,-18.630694446511207,-178.49044512225342,4.0,4.0,-1.0,52.08119254450412,-19869465.462473992,-2111504.0484142015,-1
252,-1.0966476537901144,-18.63115960166054,-178.49049402287025,4.0,4.0,-1.0,52.08145193763812,-19869470.90606576,-2111558.6928287493,-1
262,-1.987470032780493,-18.632390896606154,-178.49062023401893,4.0,4.0,-1.0,52.08211183814092,-19869484.95582656,-2111703.3407539907,-1
263,-2.2451783453229837,-18.632461300315047,-178.49062736245534,4.0,4.0,-1.0,52.082148397605124,-19869485.749360472,-2111711.611550084,-1
264,-2.1491430093844883,-18.632499729315725,-178.4906312560906,4.0,4.0,-1.0,52.082168299622026,-19869486.18279797,-2111716.126064099,0
267,-2.449109644935561,-18.632550949009527,-178.49063645407128,4.0,4.0,-1.0,52.08219476705926,-19869486.76143453,-2111722.1431887257,0
269,-2.820153783853357,-18.63258295280066,-178.4906397067542,4.0,4.0,-1.0,52.08221127072375,-19869487.123521537,-2111725.902891934,0
273,-2.0342321156772414,-18.632608636150913,-178.4906423120021,4.0,4.0,-1.0,52.08222449611458,-19869487.413536407,-2111728.920090435,0
274,-2.0629678410318775,-18.632615041680253,-178.49064296357702,4.0,4.0,-1.0,52.08222779194875,-19869487.486069392,-2111729.6725917696,0
276,-1.983605538429856,-18.63262145478177,-178.49064361532925,4.0,4.0,-1.0,52.08223109062783,-19869487.558622118,-2111730.425982689,0
278,-2.338838331379975,-18.632627837566307,-178.49064426703288,4.0,4.0,-1.0,52.08223437266679,-19869487.631169435,-2111731.175812094,0
282,-2.0301017104382026,-18.632640675442964,-178.49064557138445,4.0,4.0,-1.0,52.08224097076982,-19869487.776369188,-2111732.683965453,0
284,-2.0793194948169003,-18.63264708011427,-178.49064622367263,4.0,4.0,-1.0,52.082244260911466,-19869487.848981574,-2111733.4363661325,0
285,-1.971527204405902,-18.632653496284725,-178.49064687621896,4.0,4.0,-1.0,52.08224755590709,-19869487.9216227,-2111734.1901177214,0
288,-1.9881628699956764,-18.63267272194661,-178.49064883464752,4.0,4.0,-1.0,52.08225742285231,-19869488.139633972,-2111736.4486883758,0
289,-2.4917024998428587,-18.632679095783097,-178.49064948753838,4.0,4.0,-1.0,52.08226069192915,-19869488.212313447,-2111737.1974668186,0
290,-2.1140577333999317,-18.632698350252006,-178.49065144800164,4.0,4.0,-1.0,52.08227056103715,-19869488.430551223,-2111739.4594219746,0
292,-2.3431680464054807,-18.632704743831468,-178.49065210165867,4.0,4.0,-1.0,52.082273836043896,-19869488.50331599,-2111740.2105198726,0
294,-2.251884250666535,-18.632704750284635,-178.49065210170514,4.0,4.0,-1.0,52.082273839349,-19869488.50332116,-2111740.211277969,0
295,-2.6449765902100353,-18.632762416816757,-178.49065799310523,4.0,4.0,-1.0,52.082303330810646,-19869489.15914882,-2111746.985764698,0
296,-2.4057399052237542,-18.632775253741652,-178.49065930414665,4.0,4.0,-1.0,52.0823098842111,-19869489.30509328,-2111748.4938074434,0
297,-2.671991600213005,-18.632788057853688,-178.4906606158956,4.0,4.0,-1.0,52.082316416657704,-19869489.451116506,-2111749.997995546,0
299,-3.105897999225135,-18.63282008654605,-178.49066389858507,4.0,4.0,-1.0,52.08233273879432,-19869489.81654383,-2111753.7606293205,0
300,-2.3842666820385148,-18.632839374024304,-178.4906658708865,4.0,4.0,-1.0,52.08234255521802,-19869490.036099415,-2111756.026464191,0
302,-2.7426919359975273,-18.632852173868265,-178.4906671863094,4.0,4.0,-1.0,52.08234906448433,-19869490.182531625,-2111757.5301514626,0
303,-2.6972057245955057,-18.632877828895882,-178.4906698198849,4.0,4.0,-1.0,52.08236209853294,-19869490.475699913,-2111760.5440274854,0
305,-2.3291853698653995,-18.632897093773018,-178.49067179718716,4.0,4.0,-1.0,52.0823718749898,-19869490.69581219,-2111762.807208015,0
308,-2.501055490357203,-18.632941976403533,-178.49067641745611,4.0,4.0,-1.0,52.082394614991244,-19869491.21013818,-2111768.0798870926,0
309,-2.5529621738376136,-18.63295480107468,-178.4906777394115,4.0,4.0,-1.0,52.082401103202756,-19869491.357297577,-2111769.586491897,0
312,-2.603000606049818,-18.6329676254166,-178.49067906211133,4.0,4.0,-1.0,52.08240758703778,-19869491.504539847,-2111771.093058137,0
315,-2.865763804149992,-18.632993261379145,-178.49068170970176,4.0,4.0,-1.0,52.082420535660276,-19869491.799268268,-2111774.104696499,0
317,-2.6133148131941653,-18.63300597907101,-178.49068297221,4.0,4.0,-1.0,52.08242695307399,-19869491.939810045,-2111775.598734141,0
318,-2.844296202290707,-18.63301238543252,-178.49068363904084,4.0,4.0,-1.0,52.08243018419034,-19869492.014041312,-2111776.351334995,0
331,-3.1093723937524373,-18.633814247757165,-178.49076839510465,4.0,4.0,-1.0,52.08282631829752,-19869501.449043177,-2111870.5520300325,-1
333,-2.9665546820151576,-18.633993243700136,-178.49078761811714,4.0,4.0,-1.0,52.08291249879039,-19869503.588939138,-2111891.5800673678,-1
340,-3.204011844964043,-18.63455326588302,-178.49084797316485,4.0,4.0,-1.0,52.08317683454516,-19869510.307632316,-2111957.3703461066,-1
341,-2.9854204626035425,-18.63455962053968,-178.49084865631968,4.0,4.0,-1.0,52.0831797879473,-19869510.383680765,-2111958.1168796234,-1
342,-3.051433273284374,-18.63469268534995,-178.4908629673914,4.0,4.0,-1.0,52.08324139400156,-19869511.97678198,-2111973.749098145,-1
345,-3.4325744554466837,-18.634812989960764,-178.49087585454959,4.0,4.0,-1.0,52.08329670231433,-19869513.41137387,-2111987.8822815437,1
347,-3.0629533027201887,-18.634838345530145,-178.49087855984735,4.0,4.0,-1.0,52.08330831191142,-19869513.712526236,-2111990.8610124798,1
352,-3.2190300947652304,-18.634869994873732,-178.49088193696292,4.0,4.0,-1.0,52.083322780162234,-19869514.088465024,-2111994.579126367,1
354,-3.205566208189566,-18.634895324244212,-178.49088463539664,4.0,4.0,-1.0,52.08333434081851,-19869514.38885329,-2111997.554780496,1
355,-3.261573592089462,-18.634895320284926,-178.49088463536881,4.0,4.0,-1.0,52.08333433901316,-19869514.388850193,-2111997.554315366,1
356,-3.3086238856940327,-18.634914312810658,-178.49088665711295,4.0,4.0,-1.0,52.083342996680585,-19869514.61390972,-2111999.7855273504,1
357,-3.402061334122209,-18.634920638015082,-178.4908873305859,4.0,4.0,-1.0,52.083345877950705,-19869514.688880388,-2112000.5286024516,1
359,-3.511694333055175,-18.634933294174374,-178.49088867701153,4.0,4.0,-1.0,52.08335164003711,-19869514.838763803,-2112002.0154282902,1
361,-3.2264732956696207,-18.634958640620646,-178.4908913675601,4.0,4.0,-1.0,52.08336316741952,-19869515.138274297,-2112004.993089564,1
364,-2.9683747439894432,-18.634983988469287,-178.49089405520226,4.0,4.0,-1.0,52.08337467899764,-19869515.437461257,-2112007.970916032,1
366,-2.953264295580766,-18.63502198521461,-178.49089808038457,4.0,4.0,-1.0,52.083391904198834,-19869515.8855425,-2112012.434716358,1
368,-2.9672682919970157,-18.635028316964934,-178.49089875051473,4.0,4.0,-1.0,52.08339477100253,-19869515.960141048,-2112013.178560932,1
373,-2.689081030864145,-18.635041002388245,-178.49090009031602,4.0,4.0,-1.0,52.08340051144842,-19869516.109287046,-2112014.668825605,1
374,-2.980839561245375,-18.635040982018243,-178.49090009019682,4.0,4.0,-1.0,52.08340050223342,-19869516.10927378,-2112014.6664325674,1
375,-2.7255354717838145,-18.63504733334912,-178.49090075987442,4.0,4.0,-1.0,52.083403374813315,-19869516.183821946,-2112015.4125775197,1
377,-3.0303388389629617,-18.635059979174642,-178.49090209826147,4.0,4.0,-1.0,52.08340909119215,-19869516.332810514,-2112016.898190468,1
379,-2.7261570323291835,-18.635066334072484,-178.49090276732423,4.0,4.0,-1.0,52.08341196229503,-19869516.40729024,-2112017.6447545453,1
380,-3.0716512943783982,-18.63506630964733,-178.49090276715287,4.0,4.0,-1.0,52.08341195126104,-19869516.407271165,-2112017.6418851134,1
385,-2.6499722711018876,-18.635104343052138,-178.49090677656108,4.0,4.0,-1.0,52.08342911293403,-19869516.85359644,-2112022.1099943044,1
387,-2.5189831764564588,-18.63512969189986,-178.49090944538494,4.0,4.0,-1.0,52.083440530441294,-19869517.150688555,-2112025.0879406985,1
390,-2.41150595619024,-18.635155041090762,-178.49091211080483,4.0,4.0,-1.0,52.0834519316586,-19869517.44740174,-2112028.0659278524,1
393,-2.555175762372528,-18.63517403730488,-178.49091410739197,4.0,4.0,-1.0,52.08346046473889,-19869517.669660807,-2112030.297576552,1
394,-2.4399923858559305,-18.635186718534154,-178.49091543763976,4.0,4.0,-1.0,52.083466155994756,-19869517.817743313,-2112031.787349794,1
395,-2.472978520527022,-18.63519939012009,-178.49091676698302,4.0,4.0,-1.0,52.08347183881142,-19869517.965725128,-2112033.2759902617,1
396,-2.4622775645580077,-18.635205728840102,-178.49091743142725,4.0,4.0,-1.0,52.083474679990104,-19869518.039690718,-2112034.0206544027,1
397,-2.542580754788787,-18.63520572316261,-178.49091743138743,4.0,4.0,-1.0,52.08347467744625,-19869518.039686285,-2112034.019987417,1
399,-2.5706079999558824,-18.635224734483632,-178.49091942324546,4.0,4.0,-1.0,52.08348319264951,-19869518.26141891,-2112036.253411523,1
400,-2.41233401192153,-18.635243761070623,-178.49092141333045,4.0,4.0,-1.0,52.08349170542988,-19869518.482954156,-2112038.4886293053,1
403,-2.630014650358362,-18.635319830574854,-178.49092935472544,4.0,4.0,-1.0,52.0835256474993,-19869519.3669862,-2112047.4251745827,1
407,-3.208769852531077,-18.635592763726027,-178.4909576436424,4.0,4.0,-1.0,52.08364621084547,-19869522.516094033,-2112079.489035028,-1
409,-3.305413201193687,-18.635726454182663,-178.49097116673676,4.0,4.0,-1.0,52.083704570585724,-19869524.02147801,-2112095.1948489086,-1
416,-3.9377932782729204,-18.636160630674663,-178.49101473240034,4.0,4.0,-1.0,52.08389094614449,-19869528.871185496,-2112146.201530629,-1
426,-3.4580656119683226,-18.636654412961796,-178.4910643906123,4.0,4.0,-1.0,52.08409704479891,-19869534.399112366,-2112204.2108084364,-1
428,-3.414537108121749,-18.636866328112085,-178.49108586022825,4.0,4.0,-1.0,52.08418358190647,-19869536.78909908,-2112229.1065381467,-1
429,-3.5374895667198416,-18.636866319419596,-178.4910858601656,4.0,4.0,-1.0,52.08418357838036,-19869536.78909211,-2112229.1055169534,-1
436,-3.749039636912812,-18.637085145367376,-178.49110861866768,4.0,4.0,-1.0,52.08427173145992,-19869539.32255697,-2112254.8131577163,-1
440,-4.154461011411513,-18.63712372717523,-178.4911126508299,4.0,4.0,-1.0,52.08428714688853,-19869539.771415215,-2112259.3457463663,-1
441,-3.0112906787712745,-18.637123807733133,-178.49111265138615,4.0,4.0,-1.0,52.08428717903553,-19869539.771477137,-2112259.355210306,-1
443,-3.9538079569238107,-18.637130173794738,-178.49111332312546,4.0,4.0,-1.0,52.08428971893227,-19869539.846254814,-2112260.103094971,-1
447,-4.04649370354241,-18.637149469776887,-178.49111534086558,4.0,4.0,-1.0,52.08429741120108,-19869540.07086862,-2112262.3699863595,-1
455,-4.170555409795043,-18.63723308577893,-178.49112409277097,4.0,4.0,-1.0,52.084330634284015,-19869541.04512627,-2112272.193194674,-1
