,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
3314,6593,-2.5044471153369163,-18.63764772930041,-178.46042124329838,4.0,1.0,-1.0,52.0208500396875,-19866123.219557077,-2112320.90558897,-1
3461,6744,-7.3197418029121755,-18.63833275875355,-178.4604931541739,4.0,1.0,-1.0,52.01910474234319,-19866131.22463912,-2112401.3832308473,-1
3474,6757,-0.5028458690517255,-18.638371626642524,-178.4604977715462,4.0,1.0,-1.0,52.01900623319853,-19866131.73864265,-2112405.949461831,-1
3491,6774,-7.970216850093037,-18.63847358113418,-178.4605077363351,4.0,1.0,-1.0,52.018748097487325,-19866132.847917885,-2112417.927162807,-1
3549,6834,-1.1200645167975836,-18.63876183704854,-178.46053789912847,4.0,1.0,-1.0,52.01802033839613,-19866136.20562468,-2112451.791753339,-1
3564,6849,-0.917973450957561,-18.638819318091976,-178.4605437354944,4.0,1.0,-1.0,52.01787558150136,-19866136.855325967,-2112458.544690168,-1
3567,6852,-0.8641947959215486,-18.638819321619266,-178.46054374034676,4.0,1.0,-1.0,52.01787557262197,-19866136.855866127,-2112458.5451045567,-1
3577,6862,-0.7302774997576762,-18.638864021741725,-178.46054827056878,4.0,1.0,-1.0,52.01776308642821,-19866137.360168137,-2112463.7965261717,-1
3613,6900,-0.5716677684813476,-18.638991698533236,-178.4605611674969,4.0,1.0,-1.0,52.017442197167846,-19866138.795847606,-2112478.7961495747,-1
3642,6929,-1.7329962521635025,-18.639132028830666,-178.46057520693745,4.0,1.0,-1.0,52.01709019738337,-19866140.35871098,-2112495.2823351156,-1
3645,6932,-2.8621958241260472,-18.639138336560475,-178.46057574771226,4.0,1.0,-1.0,52.017074392291754,-19866140.418909755,-2112496.023375723,-1
3659,6947,-2.5083969832301136,-18.639227701440152,-178.46058477743472,4.0,1.0,-1.0,52.01685063055356,-19866141.42409386,-2112506.5220853006,-1
3724,7018,-2.2047924110340773,-18.639534035981463,-178.46061573095508,4.0,1.0,-1.0,52.016085824575384,-19866144.86982399,-2112542.5107325288,-1
3735,7029,-0.5218140716879134,-18.639591587141982,-178.46062170671016,4.0,1.0,-1.0,52.015942525271385,-19866145.535042,-2112549.271937528,-1
3873,7172,-3.2134734432329424,-18.64018559927128,-178.4606826782294,4.0,1.0,-1.0,52.0144705825951,-19866152.322360475,-2112619.0575933605,-1
3882,7181,-1.4793680938355465,-18.6402176922967,-178.46068618604755,4.0,1.0,-1.0,52.014391426546354,-19866152.712849002,-2112622.827948953,-1
3883,7182,-0.5109628241405062,-18.640224150859492,-178.4606869439597,4.0,1.0,-1.0,52.01437550136052,-19866152.7972194,-2112623.5867144726,-1
3911,7211,-2.556533108951044,-18.640345502046184,-178.46069951645504,4.0,1.0,-1.0,52.014076565108546,-19866154.196783178,-2112637.843312084,-1
3965,7268,-1.004204479976579,-18.640575572053613,-178.46072387806169,4.0,1.0,-1.0,52.01351129760224,-19866156.908704825,-2112664.872457832,-1
4053,7361,-1.0880740475552102,-18.64098347038596,-178.46076687926788,4.0,1.0,-1.0,52.01251390137896,-19866161.6955772,-2112712.7933680937,-1
4073,7381,-2.4643244064702685,-18.641053354489127,-178.46077411846784,4.0,1.0,-1.0,52.01234363408275,-19866162.501441255,-2112721.0035378383,-1
4093,7401,-0.6980444581952271,-18.64111069469563,-178.46078029357318,4.0,1.0,-1.0,52.01220406315679,-19866163.18885084,-2112727.740019864,-1
4166,7481,-1.1063142039959075,-18.64133902846945,-178.4608041174556,4.0,1.0,-1.0,52.01164947861889,-19866165.8409133,-2112754.565309666,-1
