,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
158,-4.599788437517645,-18.634608182881568,-178.52166333710957,4.0,1.0,-1.0,52.130960795921965,-19872940.658255253,-2111963.821896223,-1
159,-4.424400304646383,-18.634639996338034,-178.52166675050304,4.0,1.0,-1.0,52.130908932806506,-19872941.038232476,-2111967.5592847657,-1
160,-5.262753598223412,-18.63467811495062,-178.52167092882885,4.0,1.0,-1.0,52.13084680812926,-19872941.50336158,-2111972.037392809,-1
171,-5.180573159668484,-18.634811962222987,-178.52168517553153,4.0,1.0,-1.0,52.1306288165697,-19872943.089297265,-2111987.761544595,-1
174,-5.1021312091930895,-18.63482473222722,-178.52168651673165,4.0,1.0,-1.0,52.130608030714484,-19872943.23859898,-2111989.261743802,-1
189,-5.51793422709261,-18.634933320390136,-178.52169794388695,4.0,1.0,-1.0,52.13043136610395,-19872944.51066409,-2112002.0185080757,-1
192,-5.328456725634965,-18.63495252613566,-178.52169992362636,4.0,1.0,-1.0,52.13040013572618,-19872944.73104767,-2112004.2747692927,-1
194,-0.5263260141740602,-18.634972088614525,-178.5217014869017,4.0,1.0,-1.0,52.130368330178044,-19872944.905070685,-2112006.5729392506,-1
196,-7.398063952894631,-18.634977969918864,-178.52170276469806,4.0,1.0,-1.0,52.13035876906133,-19872945.047314327,-2112007.2638658974,-1
208,-5.484663609925292,-18.635029353345292,-178.52170788381002,4.0,1.0,-1.0,52.130275255128254,-19872945.617171265,-2112013.3003133507,-1
212,-1.0762024063818671,-18.635036094855035,-178.52170814878409,4.0,1.0,-1.0,52.13026430063155,-19872945.64666804,-2112014.092295884,-1
235,-5.694197332918975,-18.635157725339965,-178.5217209499972,4.0,1.0,-1.0,52.13006676046098,-19872947.071692567,-2112028.381269683,-1
236,-2.30556424639974,-18.63515798174249,-178.5217206469869,4.0,1.0,-1.0,52.13006634423937,-19872947.037961613,-2112028.411391493,-1
238,-8.99904893889493,-18.635163931239443,-178.52172187429758,4.0,1.0,-1.0,52.13005668659298,-19872947.174585216,-2112029.1103300704,-1
240,-5.531626134106432,-18.635164193627006,-178.52172156424444,4.0,1.0,-1.0,52.130056260677065,-19872947.140070256,-2112029.1411549924,-1
250,-5.502470952207204,-18.635254644324085,-178.52173032766785,4.0,1.0,-1.0,52.129909491452054,-19872948.11561009,-2112039.7671793588,-1
257,-1.768067513463052,-18.63534547119645,-178.52173870103377,4.0,1.0,-1.0,52.12976221847157,-19872949.04772892,-2112050.4374019746,-1
265,-4.757815485116112,-18.635591282400913,-178.52176243898182,4.0,1.0,-1.0,52.129364179129425,-19872951.690225206,-2112079.315010585,-1
269,-1.1014694980916602,-18.635682220180513,-178.5217707484021,4.0,1.0,-1.0,52.12921712294383,-19872952.615225643,-2112089.9982836093,-1
283,-2.2403775872534197,-18.63630148866218,-178.52183137700993,4.0,1.0,-1.0,52.12821854773438,-19872959.364371393,-2112162.749434139,-1
325,-8.326354849500149,-18.63664529699554,-178.5218683217307,4.0,1.0,-1.0,52.12766629876387,-19872963.477038894,-2112203.139868091,-1
337,-8.685176164688414,-18.636942593470707,-178.52190129186255,4.0,1.0,-1.0,52.1271899948938,-19872967.147257186,-2112238.066177711,-1
339,-0.6030784320167868,-18.636949516616582,-178.5219012766453,4.0,1.0,-1.0,52.127178916842695,-19872967.14556321,-2112238.8795077475,-1
346,-8.80789970301987,-18.637119162482673,-178.52192117156832,4.0,1.0,-1.0,52.1269076525291,-19872969.360255912,-2112258.809486486,-1
364,-22.18017090963042,-18.637489630659584,-178.52196432353264,4.0,0.0,-1.0,52.12631656867552,-19872974.163910605,-2112302.3321186365,-1
372,-7.584428097791601,-18.637559981082255,-178.521970800152,4.0,1.0,-1.0,52.12620452508281,-19872974.884884574,-2112310.5969028505,-1
385,-20.505350815320412,-18.637640701069778,-178.52198115519334,4.0,0.0,-1.0,52.126076045386526,-19872976.037602503,-2112320.079910198,-1
395,-7.217935512297117,-18.637704880585986,-178.5219869464181,4.0,1.0,-1.0,52.125973952919594,-19872976.682278696,-2112327.6197414366,-1
396,-7.2352657764763535,-18.637711198056873,-178.52198764448949,4.0,1.0,-1.0,52.125963906395555,-19872976.759987645,-2112328.3619202035,-1
