,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
2082,-0.6632944085454255,-18.644989271703178,-178.46028449227242,4.0,1.0,-1.0,52.0248878450202,-19866107.996502504,-2113183.410981806,-1
2083,-1.0107475001655075,-18.64499569374443,-178.46028512983779,4.0,1.0,-1.0,52.02488272442315,-19866108.067475956,-2113184.1654778966,-1
2195,-0.6852303434873193,-18.646674875797117,-178.4604631466364,4.0,1.0,-1.0,52.02349992453583,-19866127.88421533,-2113381.4458334832,-1
2311,-0.5245169128857015,-18.648349782810172,-178.4606353218054,4.0,1.0,-1.0,52.02203349615229,-19866147.05066747,-2113578.225875415,-1
2409,-1.715179552935524,-18.649771643805217,-178.46078457733856,4.0,1.0,-1.0,52.02072031008265,-19866163.665717416,-2113745.277786831,-1
2449,-0.505256038052039,-18.650465349682438,-178.4608568749937,4.0,1.0,-1.0,52.020056858516,-19866171.713855576,-2113826.7805604637,-1
3043,-2.0246335938250013,-18.659972850339127,-178.46184622246153,4.0,1.0,-1.0,52.00945942596263,-19866281.84751191,-2114943.8403785047,-1
3146,-1.5257336708546063,-18.661343585562854,-178.46198954043757,4.0,1.0,-1.0,52.007700233014475,-19866297.801596027,-2115104.896619811,-1
3219,-0.9698048993359407,-18.662266731632965,-178.46208558745184,4.0,1.0,-1.0,52.00648262294271,-19866308.493500747,-2115213.3635496832,-1
3326,-0.533254000428542,-18.66372295693582,-178.46223719383065,4.0,1.0,-1.0,52.00450814152191,-19866325.370245636,-2115384.466910944,-1
3480,-0.5837952253173171,-18.6661252479948,-178.46248718724482,4.0,1.0,-1.0,52.00110710421541,-19866353.199385203,-2115666.7341873143,-1
3547,-0.968718107570794,-18.667039666076132,-178.4625823149024,4.0,1.0,-1.0,51.99976547033202,-19866363.788947605,-2115774.17863041,-1
3837,-0.705274485309701,-18.67154756617247,-178.46305345904827,4.0,1.0,-1.0,51.99277229144809,-19866416.23647401,-2116303.8669302654,-1
3863,-1.2822958994265719,-18.671942305242144,-178.4630949334886,4.0,1.0,-1.0,51.992129904476315,-19866420.853387594,-2116350.250320528,-1
3875,-1.7221610773144675,-18.672133399362224,-178.46311494657562,4.0,1.0,-1.0,51.99181718674481,-19866423.081234246,-2116372.704668585,-1
3895,-1.9222959056803575,-18.672420699897764,-178.463144683406,4.0,1.0,-1.0,51.99134489898006,-19866426.391523063,-2116406.4637152813,-1
3954,-1.9839075600891647,-18.673188501842183,-178.46322395633354,4.0,1.0,-1.0,51.99007015702318,-19866435.21614499,-2116496.6840217,-1
