,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
20,21884,-2.9161170237825944,-18.69157967204356,-178.46603794150369,4.0,1.0,-1.0,POINT (-178.4660379415037 -18.69157967204356),51.52675707370509,-19866748.467541233,-2118657.854378204,0
26,21890,-2.440762542544209,-18.69159871477746,-178.46604003127842,4.0,1.0,-1.0,POINT (-178.4660400312784 -18.69159871477746),51.52737491505104,-19866748.700173892,-2118660.0922362474,0
40,21904,-2.5780278475112284,-18.691611380686428,-178.46604138298312,4.0,1.0,-1.0,POINT (-178.4660413829831 -18.69161138068643),51.52778563147878,-19866748.85064497,-2118661.580704716,0
41,21905,-2.8881544037433207,-18.69161769823381,-178.46604203667684,4.0,1.0,-1.0,POINT (-178.4660420366768 -18.69161769823381),51.527990421804134,-19866748.92341382,-2118662.3231283827,0
44,21908,-2.7334772095004856,-18.691630385578254,-178.46604341616458,4.0,1.0,-1.0,POINT (-178.4660434161646 -18.69163038557825),51.528401558753096,-19866749.076977693,-2118663.814116063,0
45,21909,-1.5079171623391419,-18.69163680692057,-178.46604421249984,4.0,1.0,-1.0,POINT (-178.4660442124998 -18.69163680692057),51.52860957424854,-19866749.16562533,-2118664.56873756,1
47,21911,-1.6678101770429867,-18.69163679614356,-178.46604419767837,4.0,1.0,-1.0,POINT (-178.4660441976784 -18.69163679614356),51.52860922520631,-19866749.16397541,-2118664.5674710693,1
50,21914,-1.1523440354841146,-18.69163683063039,-178.4660442454346,4.0,1.0,-1.0,POINT (-178.4660442454346 -18.69163683063039),51.52861034224043,-19866749.16929161,-2118664.5715238824,1
55,21919,-1.2410517891436883,-18.691649504212364,-178.46604560312676,4.0,1.0,-1.0,POINT (-178.4660456031268 -18.69164950421236),51.52902075700695,-19866749.32042921,-2118666.0608943994,1
58,21923,-1.6768098507065616,-18.69166215633672,-178.46604692915855,4.0,1.0,-1.0,POINT (-178.4660469291586 -18.69166215633672),51.52943029438029,-19866749.468042392,-2118667.5477433754,1
61,21926,-1.1832988912026507,-18.691668530682865,-178.4660476582597,4.0,1.0,-1.0,POINT (-178.4660476582597 -18.69166853068286),51.529636556864716,-19866749.54920556,-2118668.296842127,1
62,21927,-1.4145599840417051,-18.69166851509549,-178.46604763682285,4.0,1.0,-1.0,POINT (-178.4660476368229 -18.69166851509549),51.52963605252443,-19866749.546819225,-2118668.295010335,1
64,21929,-1.4549754658494087,-18.6916748536062,-178.46604831651473,4.0,1.0,-1.0,POINT (-178.4660483165148 -18.6916748536062),51.529841109644615,-19866749.622482177,-2118669.039897816,1
68,21933,-1.6786991577278898,-18.69168118039261,-178.4660489793479,4.0,1.0,-1.0,POINT (-178.4660489793479 -18.69168118039261),51.530045741819784,-19866749.696268428,-2118669.7834075126,1
70,21935,-1.8606308279217536,-18.69168751016029,-178.46604964613547,4.0,1.0,-1.0,POINT (-178.4660496461355 -18.69168751016029),51.530250424781116,-19866749.770494882,-2118670.527267587,1
72,21937,-1.186394113204738,-18.691687555605466,-178.4660497086343,4.0,1.0,-1.0,POINT (-178.4660497086343 -18.69168755560547),51.5302518941171,-19866749.77745222,-2118670.5326082017,1
74,21939,-1.7741857526902267,-18.69169385865993,-178.46605033792977,4.0,1.0,-1.0,POINT (-178.4660503379298 -18.69169385865994),51.530455667583745,-19866749.84750507,-2118671.273329029,1
78,21943,-1.2182415300803338,-18.691700239217464,-178.46605107334668,4.0,1.0,-1.0,POINT (-178.4660510733467 -18.69170023921746),51.53066190052778,-19866749.929371305,-2118672.023157871,1
82,21947,-0.9388597150831886,-18.691706601059586,-178.4660517831769,4.0,4.0,-1.0,POINT (-178.4660517831769 -18.69170660105959),51.53086748239002,-19866750.008389246,-2118672.770787345,1
84,21949,-1.3438702217704928,-18.691706574016962,-178.46605174565963,4.0,1.0,-1.0,POINT (-178.4660517456597 -18.69170657401696),51.530866608634824,-19866750.00421284,-2118672.7676093574,1
85,21950,-1.0742087633623454,-18.691712936336764,-178.46605245476383,4.0,1.0,-1.0,POINT (-178.4660524547639 -18.69171293633676),51.531072159967145,-19866750.08314996,-2118673.5152949975,1
89,21954,-1.001010027536281,-18.691719285701733,-178.46605314573227,4.0,4.0,-1.0,POINT (-178.4660531457323 -18.69171928570174),51.53127724680235,-19866750.160068218,-2118674.261458242,1
91,21956,-1.1239342156891678,-18.69172562197184,-178.46605381858615,4.0,1.0,-1.0,POINT (-178.4660538185861 -18.69172562197184),51.53148186486214,-19866750.234969966,-2118675.006082637,1
95,21960,-2.015277628619783,-18.691725562405004,-178.46605373601372,4.0,1.0,-1.0,POINT (-178.4660537360137 -18.691725562405),51.5314799415064,-19866750.225778047,-2118674.999082472,1
101,21966,-0.7474843041712977,-18.691738338020638,-178.4660552222811,4.0,4.0,-1.0,POINT (-178.4660552222811 -18.69173833802063),51.531892368017,-19866750.391228575,-2118676.5004445394,1
102,21967,-0.8928190562170469,-18.691738328224602,-178.4660552088093,4.0,4.0,-1.0,POINT (-178.4660552088093 -18.6917383282246),51.53189205183298,-19866750.3897289,-2118676.4992933306,1
105,21970,-1.0570059846607651,-18.691744663288,-178.4660558781379,4.0,1.0,-1.0,POINT (-178.4660558781379 -18.691744663288),51.532096493494464,-19866750.46423822,-2118677.2437759987,1
108,21973,-0.9300777534341138,-18.69175101843028,-178.4660565745388,4.0,4.0,-1.0,POINT (-178.4660565745388 -18.69175101843028),51.532301537168685,-19866750.541761212,-2118677.990618322,1
110,21975,-1.1308464292522549,-18.69175100489768,-178.46605655592842,4.0,1.0,-1.0,POINT (-178.4660565559284 -18.69175100489768),51.532301100553006,-19866750.53968951,-2118677.989028,1
111,21976,-1.2813505269012777,-18.691750995009468,-178.46605654200297,4.0,1.0,-1.0,POINT (-178.466056542003 -18.69175099500947),51.532300781604135,-19866750.53813934,-2118677.9878659584,1
113,21978,-1.031739576833077,-18.691757358390614,-178.4660572498111,4.0,4.0,-1.0,POINT (-178.4660572498111 -18.69175735839062),51.53250604509958,-19866750.61693218,-2118678.735676521,1
119,21984,-1.2071146098314212,-18.691763694342367,-178.46605791838542,4.0,1.0,-1.0,POINT (-178.4660579183854 -18.69176369434237),51.532710378029144,-19866750.691357534,-2118679.4802636704,1
120,21985,-1.2233774185195658,-18.691763693246262,-178.4660579168781,4.0,1.0,-1.0,POINT (-178.4660579168781 -18.69176369324626),51.53271034272621,-19866750.69118974,-2118679.4801348583,1
121,21986,-0.849277109309154,-18.6917637182058,-178.46605795152973,4.0,4.0,-1.0,POINT (-178.4660579515298 -18.6917637182058),51.53271114756353,-19866750.695047144,-2118679.483068048,1
124,21989,-1.1594653325071296,-18.691763697554272,-178.4660579228025,4.0,1.0,-1.0,POINT (-178.4660579228025 -18.69176369755427),51.53271048163879,-19866750.69184924,-2118679.4806411252,1
125,21990,-1.1564795933394043,-18.691763697755388,-178.46605792307906,4.0,1.0,-1.0,POINT (-178.4660579230791 -18.69176369775538),51.532710488099845,-19866750.69188003,-2118679.48066476,1
130,21995,-1.0269164349505575,-18.691770052092927,-178.46605861972145,4.0,4.0,-1.0,POINT (-178.4660586197215 -18.69177005209293),51.53291536797771,-19866750.769429903,-2118680.227412594,1
132,21997,-1.166427330849647,-18.6917700429457,-178.4660586068151,4.0,1.0,-1.0,POINT (-178.4660586068151 -18.6917700429457),51.532915073097676,-19866750.767993174,-2118680.226337634,1
137,22004,-0.9909128848590474,-18.691782751699282,-178.46605999304776,4.0,4.0,-1.0,POINT (-178.4660599930478 -18.69178275169928),51.53332469749147,-19866750.92230789,-2118681.7198426104,1
138,22006,-1.0427984582113852,-18.691782748201977,-178.46605998823827,4.0,4.0,-1.0,POINT (-178.4660599882382 -18.69178274820198),51.533324584801456,-19866750.9217725,-2118681.719431616,1
147,22015,-0.8835255135895053,-18.691789108374905,-178.46606068812542,4.0,4.0,-1.0,POINT (-178.4660606881254 -18.69178910837491),51.53352951473789,-19866750.99968358,-2118682.466865295,1
148,22016,-0.8821440522108184,-18.691789108468047,-178.46606068825352,4.0,4.0,-1.0,POINT (-178.4660606882535 -18.69178910846804),51.533529517764684,-19866750.999697838,-2118682.466876241,1
150,22018,-0.503230915221899,-18.691789134008285,-178.4660607233766,4.0,4.0,-1.0,POINT (-178.4660607233766 -18.69178913400829),51.53353034055908,-19866751.00360772,-2118682.469877676,1
155,22023,-1.1465981623802712,-18.691795440592045,-178.4660613489379,4.0,1.0,-1.0,POINT (-178.4660613489379 -18.69179544059205),51.533733498130466,-19866751.07324489,-2118683.2110136994,1
161,22029,-0.5585262507147173,-18.691801831111725,-178.46606208877162,4.0,4.0,-1.0,POINT (-178.4660620887717 -18.69180183111173),51.53393931334722,-19866751.1556028,-2118683.9620137205,1
162,22030,-0.9882415167902844,-18.691801802146827,-178.46606204893916,4.0,4.0,-1.0,POINT (-178.4660620489392 -18.69180180214683),51.533938380569445,-19866751.151168674,-2118683.9586098283,1
166,22034,-1.030361063200336,-18.691808150001094,-178.46606273035218,4.0,4.0,-1.0,POINT (-178.4660627303521 -18.69180815000109),51.53414277586853,-19866751.227023225,-2118684.704595932,1
167,22035,-0.8901594423280073,-18.691808159451192,-178.4660627433479,4.0,4.0,-1.0,POINT (-178.4660627433479 -18.69180815945119),51.534143080090864,-19866751.228469897,-2118684.7057064855,1
170,22038,-0.42995064136133465,-18.691814541908364,-178.46606347141875,4.0,4.0,-1.0,POINT (-178.4660634714187 -18.69181454190836),51.53434854318039,-19866751.30951838,-2118685.455759074,1
174,22042,-0.8216617932237775,-18.69181451550532,-178.46606343510948,4.0,4.0,-1.0,POINT (-178.4660634351095 -18.69181451550532),51.53434769329033,-19866751.305476446,-2118685.4526562467,1
176,22044,-0.9525914685455876,-18.69181450667994,-178.4660634229729,4.0,4.0,-1.0,POINT (-178.4660634229729 -18.69181450667994),51.53434740920784,-19866751.30412541,-2118685.4516191077,1
179,22047,-0.7566205557033048,-18.691820871601358,-178.46606412659247,4.0,4.0,-1.0,POINT (-178.4660641265925 -18.69182087160136),51.53455226184451,-19866751.38245198,-2118686.1996109593,1
182,22050,-0.7015152858949997,-18.69182087531572,-178.4660641317004,4.0,4.0,-1.0,POINT (-178.4660641317004 -18.69182087531572),51.534552381344845,-19866751.38302059,-2118686.200047464,1
185,22053,-0.8546585924718346,-18.69182721745809,-178.46606480305027,4.0,4.0,-1.0,POINT (-178.4660648030503 -18.69182721745809),51.53475645487197,-19866751.457754917,-2118686.945362401,1
188,22056,-0.5578309999045964,-18.691827237465784,-178.46606483056456,4.0,4.0,-1.0,POINT (-178.4660648305646 -18.69182723746578),51.53475709859049,-19866751.460817795,-2118686.9477136624,1
193,22061,-0.5163804010466182,-18.691833593009058,-178.46606551999062,4.0,4.0,-1.0,POINT (-178.4660655199906 -18.69183359300906),51.5349615571904,-19866751.537564352,-2118687.694603471,1
198,22066,-0.5234118401714258,-18.691839946046482,-178.46606620501038,4.0,4.0,-1.0,POINT (-178.4660662050104 -18.69183994604649),51.535165889188654,-19866751.613820404,-2118688.4411988263,1
199,22067,-0.7596584511748761,-18.691839930122253,-178.46606618311168,4.0,4.0,-1.0,POINT (-178.4660661831117 -18.69183993012226),51.53516537707765,-19866751.611382652,-2118688.439327445,1
202,22070,-0.6706878805318202,-18.691839936119344,-178.4660661913588,4.0,4.0,-1.0,POINT (-178.4660661913588 -18.69183993611934),51.535165569919634,-19866751.61230072,-2118688.4400322097,1
215,22083,-0.7170813431363596,-18.691852641372034,-178.4660675585551,4.0,4.0,-1.0,POINT (-178.4660675585551 -18.69185264137203),51.535574069625,-19866751.764496315,-2118689.9331263877,1
220,22088,-0.4629565046715879,-18.69185265850145,-178.466067582111,4.0,4.0,-1.0,POINT (-178.466067582111 -18.69185265850145),51.53557462026947,-19866751.767118543,-2118689.935139399,1
227,22095,-0.5573430438600984,-18.691859007726737,-178.46606825926025,4.0,4.0,-1.0,POINT (-178.4660682592603 -18.69185900772674),51.53577869170113,-19866751.842498455,-2118690.6812868463,1
229,22097,-0.5595322145722499,-18.69185900757918,-178.46606825905738,4.0,4.0,-1.0,POINT (-178.4660682590574 -18.69185900757918),51.53577868698631,-19866751.842475872,-2118690.6812695046,1
233,22101,-0.5271848501584953,-18.691859009759536,-178.4660682620557,4.0,4.0,-1.0,POINT (-178.4660682620557 -18.69185900975954),51.535778757039225,-19866751.842809644,-2118690.681525736,1
246,22114,-0.4398911590710164,-18.691871727266765,-178.4660696419787,4.0,4.0,-1.0,POINT (-178.4660696419787 -18.69187172726677),51.536187374265864,-19866751.996421967,-2118692.1760602077,1
251,22119,-0.6958235955069851,-18.69187171001547,-178.46606961825523,4.0,4.0,-1.0,POINT (-178.4660696182553 -18.69187171001547),51.53618682009983,-19866751.993781086,-2118692.174032873,1
252,22120,-0.555828079303182,-18.69187171945187,-178.46606963123187,4.0,4.0,-1.0,POINT (-178.4660696312319 -18.69187171945187),51.53618712324533,-19866751.99522564,-2118692.1751418198,1
255,22123,-0.4399928840260639,-18.691878084014245,-178.4660703279756,4.0,4.0,-1.0,POINT (-178.4660703279756 -18.69187808401425),51.536391549365355,-19866752.072786793,-2118692.923091729,1
259,22127,-0.5648201768552988,-18.691878075600144,-178.4660703164048,4.0,4.0,-1.0,POINT (-178.4660703164048 -18.69187807560014),51.53639127910719,-19866752.07149874,-2118692.9221029235,1
265,22133,-0.4323099363536797,-18.691884441604408,-178.4660710147177,4.0,4.0,-1.0,POINT (-178.4660710147177 -18.6918844416044),51.53659570543097,-19866752.149234574,-2118693.670222311,1
266,22134,-0.4747397409027645,-18.69188443874443,-178.4660710107848,4.0,4.0,-1.0,POINT (-178.4660710107848 -18.69188443874443),51.53659561360837,-19866752.148796763,-2118693.6698862123,1
269,22137,-0.5021600786841273,-18.69188443689617,-178.46607100824315,4.0,4.0,-1.0,POINT (-178.4660710082431 -18.69188443689617),51.53659555426565,-19866752.14851383,-2118693.6696690083,1
274,22142,-0.7319478011424352,-18.691884421407046,-178.4660709869431,4.0,4.0,-1.0,POINT (-178.4660709869431 -18.69188442140704),51.53659505691029,-19866752.146142717,-2118693.667848758,1
276,22144,-1.1762993246061162,-18.69188439171135,-178.46607094577985,4.0,1.0,-1.0,POINT (-178.4660709457798 -18.69188439171135),51.53659410343971,-19866752.141560446,-2118693.664358984,1
277,22145,-0.40397326630627306,-18.691884443514365,-178.46607101734423,4.0,4.0,-1.0,POINT (-178.4660710173442 -18.69188444351436),51.53659576675273,-19866752.149526957,-2118693.670446764,1
286,22154,-0.8930705097983226,-18.69189076841442,-178.4660716581113,4.0,4.0,-1.0,POINT (-178.4660716581113 -18.69189076841442),51.53679882737924,-19866752.220856823,-2118694.4137356994,1
295,22163,-0.5483499309876693,-18.691897149844337,-178.4660723761881,4.0,4.0,-1.0,POINT (-178.4660723761881 -18.69189714984434),51.537003656703746,-19866752.300792765,-2118695.163667934,1
298,22166,-0.4240713232815253,-18.691897158221547,-178.4660723877081,4.0,4.0,-1.0,POINT (-178.4660723877081 -18.69189715822155),51.537003925564925,-19866752.302075166,-2118695.164652407,1
309,22177,-0.7078543968175245,-18.69190349816481,-178.46607304760013,4.0,4.0,-1.0,POINT (-178.4660730476001 -18.69190349816481),51.537207377201405,-19866752.375534013,-2118695.909709243,1
310,22178,-0.4125224577892789,-18.691903518071964,-178.46607307497555,4.0,4.0,-1.0,POINT (-178.4660730749755 -18.69190351807196),51.53720801597228,-19866752.37858143,-2118695.9120486905,1
319,22187,-0.726499910854965,-18.69190985647541,-178.46607373210705,4.0,4.0,-1.0,POINT (-178.466073732107 -18.69190985647541),51.53741137229372,-19866752.451732974,-2118696.6569246002,1
344,22212,-0.4328194573460217,-18.691922596894386,-178.46607513189315,4.0,4.0,-1.0,POINT (-178.4660751318931 -18.69192259689438),51.537819987366674,-19866752.607556447,-2118698.1541520627,1
421,22289,-0.5848206479935142,-18.691973493358265,-178.4660806094627,4.0,4.0,-1.0,POINT (-178.4660806094627 -18.69197349335827),51.539450510725146,-19866753.2173167,-2118704.1353994524,1
507,22376,-0.4918841867207878,-18.692043557687413,-178.46608817102444,4.0,4.0,-1.0,POINT (-178.4660881710244 -18.69204355768741),51.541690268844825,-19866754.059065904,-2118712.36921775,2
