,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev
117,-0.003689444583187651,-18.62379410933526,-178.44775552245645,4.0,4.0,-1.0,52.42434140910245,52.4194221496582
118,-0.023845669308911965,-18.62392876959791,-178.44777010849998,4.0,4.0,-1.0,52.42455927091123,52.392765045166016
119,0.04015469546220629,-18.62401198355891,-178.44777921324405,4.0,4.0,-1.0,52.424693743452735,52.478233337402344
120,-0.01165349476548272,-18.62417809555447,-178.44779751910067,4.0,4.0,-1.0,52.424961821145644,52.409423828125
121,-0.07732682702214788,-18.624266840978756,-178.4478074716875,4.0,4.0,-1.0,52.4251048469182,52.32200241088867
122,-0.14372379643839395,-18.624374468289936,-178.4478195915817,4.0,4.0,-1.0,52.42527812140679,52.233646392822266
123,0.041544628283077145,-18.62446933044492,-178.44783033666874,4.0,4.0,-1.0,52.425430679134934,52.4808235168457
124,-6.56728447449143,-18.624507773024195,-178.44783370979314,3.0,1.0,-1.0,52.425492458501594,43.66911315917969
125,-0.021038005208765753,-18.62461472294583,-178.44784676610686,4.0,4.0,-1.0,52.42566419900231,52.397613525390625
126,0.10366320429852749,-18.624766419249138,-178.44786389837375,4.0,4.0,-1.0,52.425907455303786,52.564125061035156
127,-0.3745675676744895,-18.624899292043867,-178.44787874084238,4.0,4.0,-1.0,52.426120200909736,51.92669677734375
128,-0.33214872988457955,-18.624962594576346,-178.44788581516778,4.0,4.0,-1.0,52.42622144900952,51.98335647583008
129,-0.04193262119963492,-18.62507030139124,-178.44789781669428,4.0,4.0,-1.0,52.42639356003701,52.3704833984375
130,-0.05785766757537658,-18.62514009240339,-178.44790551202675,4.0,4.0,-1.0,52.4265049764449,52.349361419677734
131,0.24481785867260442,-18.625190868776535,-178.44791112910846,4.0,4.0,-1.0,52.426585984579106,52.75300979614258
132,0.003491708239153013,-18.625235373251176,-178.44791595748637,4.0,4.0,-1.0,52.42665695004962,52.431312561035156
133,0.17800938433231295,-18.625241717214397,-178.44791667486749,4.0,4.0,-1.0,52.42666706315913,52.66401290893555
134,0.036116120583869815,-18.625273526995485,-178.44792011631876,4.0,4.0,-1.0,52.42671776166617,52.47487258911133
135,0.0788722307684111,-18.625279886132322,-178.4479208135164,4.0,4.0,-1.0,52.42672789478274,52.531890869140625
136,-0.17897929125683731,-18.625305360205367,-178.4479235391559,4.0,4.0,-1.0,52.426768480057945,52.18812942504883
137,0.23450534456935657,-18.62531169398882,-178.44792428597123,4.0,4.0,-1.0,52.426778569301405,52.73945236206055
138,-0.06406169550621144,-18.62534940680015,-178.4479284071874,4.0,4.0,-1.0,52.42683862867625,52.34142303466797
139,-0.5045858722277217,-18.62536224867041,-178.44792971556026,4.0,1.0,-1.0,52.42685907434725,51.75407791137695
140,-0.13194076284605671,-18.625458370443216,-178.44793999136445,4.0,4.0,-1.0,52.427012020546044,52.25109100341797
141,-0.16075998987082585,-18.625496876859245,-178.4479440539586,4.0,4.0,-1.0,52.42707324617868,52.21272659301758
142,0.06624558354656074,-18.625599642820514,-178.44795486403933,4.0,4.0,-1.0,52.427236520115,52.51556396484375
143,0.11715841866225674,-18.625606067708905,-178.447955541602,4.0,4.0,-1.0,52.427246721894335,52.583457946777344
144,-0.1431108744653784,-18.625631805619623,-178.4479581835759,4.0,4.0,-1.0,52.427287582783265,52.236473083496094
145,0.16114786616719812,-18.625773370988856,-178.4479728506882,4.0,4.0,-1.0,52.42751212448866,52.64237594604492
146,0.058003109498031336,-18.625799141334113,-178.4479754764772,4.0,4.0,-1.0,52.42755296256382,52.50489044189453
147,0.2659631584915587,-18.62582489265254,-178.44797813967705,4.0,4.0,-1.0,52.427593759055526,52.78221130371094
148,0.3743797036554497,-18.62583132504403,-178.44797881222735,4.0,4.0,-1.0,52.42760394777906,52.92677688598633
149,0.18785429391141406,-18.62584422535804,-178.4479801007434,4.0,4.0,-1.0,52.42762437935835,52.678096771240234
150,0.10764892763620537,-18.62596668844263,-178.44799250721843,4.0,4.0,-1.0,52.42781819414131,52.57135009765625
151,0.1420134137953255,-18.62606983675189,-178.4480028763358,4.0,4.0,-1.0,52.427981240102326,52.617332458496094
152,0.10053332671373028,-18.626082735007774,-178.44800416059107,4.0,4.0,-1.0,52.428001615407084,52.56204605102539
153,0.07267546384366597,-18.626482150147883,-178.44804362338996,4.0,4.0,-1.0,52.42863115034061,52.52553176879883
154,-0.10673973957295857,-18.626552904280818,-178.44805051692035,4.0,4.0,-1.0,52.42874238225613,52.28642272949219
155,0.1429417557637862,-18.626552885140768,-178.44805055153614,4.0,4.0,-1.0,52.42874235217823,52.61933135986328
157,-0.1654636918747201,-18.626707199968788,-178.4480655719229,4.0,4.0,-1.0,52.42898464987593,52.20836639404297
158,-0.13882363598588654,-18.626713584481323,-178.44806619621164,4.0,4.0,-1.0,52.428994665689515,52.243896484375
159,-0.19046905278491977,-18.626758294511653,-178.44807053281733,4.0,4.0,-1.0,52.429064785630544,52.175106048583984
160,-0.2274363336442775,-18.626758297345614,-178.448070527692,4.0,4.0,-1.0,52.42906479007388,52.125816345214844
161,-0.24037313583505693,-18.626796600016633,-178.44807424748174,4.0,4.0,-1.0,52.42912483378268,52.10862731933594
162,-5.517220105887986,-18.62690545372552,-178.44808406017873,3.0,1.0,-1.0,52.42929533608958,45.073001861572266
163,-0.17649834931773967,-18.62691141888893,-178.44808542097812,4.0,4.0,-1.0,52.42930467368342,52.193973541259766
164,-0.036944680072451774,-18.62693690711934,-178.44808792255705,4.0,4.0,-1.0,52.429344564885014,52.38008499145508
