,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev
3577,-58.06306907495673,-18.62376267111187,-178.4917194008158,0.0,0.0,-1.0,51.88670376884693,-25.53072166442871
3579,-3.040246228367323,-18.62377203138477,-178.4917210927041,2.0,1.0,-1.0,51.88676481775474,47.83310317993164
3580,-19.66809750709035,-18.62377306135379,-178.49172098263884,0.0,0.0,-1.0,51.88677153472236,25.662641525268555
3581,-0.06600572553270467,-18.62377823017493,-178.4917217754872,4.0,4.0,-1.0,51.88680524146548,51.798797607421875
3582,-0.016589867885159038,-18.62378461046235,-178.49172243853673,4.0,4.0,-1.0,51.88684684411055,51.86472702026367
3583,-69.9983224524467,-18.62378894529636,-178.4917219752948,0.0,0.0,-1.0,51.886875106680236,-41.44422149658203
3584,0.0814748435295769,-18.623790987479207,-178.49172310147506,4.0,4.0,-1.0,51.886888420704054,51.995521545410156
3585,-0.17092753813540185,-18.62379100303569,-178.49172309979664,4.0,4.0,-1.0,51.88688852211999,51.65898513793945
3586,-0.06306095426589309,-18.623797379176125,-178.49172376236572,4.0,4.0,-1.0,51.88693008827249,51.80284881591797
3587,-63.13754389940277,-18.62380128622638,-178.4917233448532,0.0,0.0,-1.0,51.88695555605591,-32.29643630981445
3588,-79.99442442325744,-18.623802330337305,-178.4917232332617,0.0,0.0,-1.0,51.88696236170654,-54.77227020263672
3589,-0.9403764710041287,-18.623803815801534,-178.4917244179509,2.0,2.0,-1.0,51.88697204393975,50.63313674926758
3590,-8.109240430566388,-18.623817023911574,-178.49172569201602,1.0,1.0,-1.0,51.88705812291664,41.074737548828125
3591,-0.0742438723500527,-18.62381652612068,-178.4917257451941,4.0,4.0,-1.0,51.88705487911648,51.788063049316406
3592,-53.56721241237483,-18.623819839534093,-178.49172539109244,0.0,0.0,-1.0,51.8870764700805,-19.535873413085938
3593,-1.535216819512243,-18.62382299885237,-178.4917263956962,2.0,2.0,-1.0,51.887097055736376,49.84014129638672
3594,-0.18767145251149486,-18.623829296710962,-178.49172706429144,4.0,4.0,-1.0,51.88713808821194,51.63690948486328
3595,0.0016052997434599092,-18.62382928504516,-178.49172706555012,4.0,4.0,-1.0,51.88713801220729,51.889278411865234
3596,-82.51804342990454,-18.623834396245183,-178.4917265192796,0.0,0.0,-1.0,51.887171309859696,-58.13688659667969
3598,-0.11447156430767791,-18.623842053757127,-178.49172838280361,4.0,4.0,-1.0,51.88722119015438,51.73459243774414
3599,0.07457916704970557,-18.623842042105323,-178.49172838406076,4.0,4.0,-1.0,51.8872211142625,51.98666000366211
3600,-20.49664125574327,-18.62384331614258,-178.49172824787186,0.0,0.0,-1.0,51.88722941256492,24.558374404907227
3601,-0.0966009987414509,-18.62385481366599,-178.49172969928122,4.0,4.0,-1.0,51.887304291860346,51.75850296020508
3602,0.15041121397916868,-18.623854798441748,-178.49172970092386,4.0,4.0,-1.0,51.887304192721786,52.087852478027344
3603,2.9552445217896093,-18.623854624544503,-178.49172971947436,1.0,1.0,-1.0,51.887303060302656,55.82762908935547
3604,0.028486453933510347,-18.623867565810254,-178.49173101474582,4.0,4.0,-1.0,51.8873873241173,51.92536926269531
3605,0.18387470406651119,-18.623873935276755,-178.49173167240406,4.0,4.0,-1.0,51.88742879016718,52.13259506225586
3606,-20.99491273399417,-18.623875247271318,-178.4917315322235,0.0,0.0,-1.0,51.887437330831744,23.89422035217285
3607,0.17343802598952607,-18.62388031326622,-178.49173232838564,4.0,4.0,-1.0,51.88747030698141,52.11872100830078
3610,-21.113212536907668,-18.623888010883988,-178.49173284330678,0.0,0.0,-1.0,51.88752040748659,23.736570358276367
3611,-0.028895769269183802,-18.623893083417588,-178.4917336382546,4.0,4.0,-1.0,51.88755341867727,51.84902572631836
3612,0.2445523034011785,-18.6238930665641,-178.49173364007308,4.0,4.0,-1.0,51.88755330900676,52.213623046875
3613,-21.134410954862688,-18.623894390895057,-178.49173349855965,0.0,0.0,-1.0,51.887561927040224,23.70834732055664
3615,0.02166458791180048,-18.623899458260386,-178.4917342935117,4.0,4.0,-1.0,51.88759490085067,51.916481018066406
3616,6.070009121901421,-18.62389908342969,-178.49173433353093,1.0,1.0,-1.0,51.88759246189511,59.98093795776367
3617,0.0410165529601727,-18.62389945706766,-178.4917342936404,4.0,4.0,-1.0,51.88759489309086,51.942283630371094
3618,-21.309558195810496,-18.623900779648597,-178.49173415231513,0.0,0.0,-1.0,51.88760349875156,23.4748592376709
3619,-28.429388333030147,-18.623901220523877,-178.4917341051697,0.0,0.0,-1.0,51.887606367359695,13.981755256652832
3620,0.2501577404045747,-18.62390582234145,-178.49173494957708,4.0,4.0,-1.0,51.88763630828544,52.2211799621582
3621,-60.46956094677171,-18.623909583211745,-178.49173454760222,0.0,0.0,-1.0,51.88766077591208,-28.738420486450195
3624,-21.766488392060637,-18.623919941966786,-178.49173611169311,0.0,0.0,-1.0,51.88772815983248,22.86574363708496
3625,0.19162226093430945,-18.623924959297895,-178.49173691034105,4.0,4.0,-1.0,51.88776079320087,52.14325714111328
3626,-43.14919207289313,-18.62392764389276,-178.49173662342986,0.0,0.0,-1.0,51.88777825295256,-5.644477844238281
3627,0.1484354729009283,-18.6239313390464,-178.4917375629145,4.0,4.0,-1.0,51.88780228369069,52.085716247558594
3628,0.17570140333555173,-18.623937713709477,-178.49173821548942,4.0,4.0,-1.0,51.887843736389186,52.12211227416992
3629,-0.05193595604123402,-18.623937727739623,-178.49173821397554,4.0,4.0,-1.0,51.88784382761878,51.81859588623047
3630,-2.0719560969491795,-18.623937852752913,-178.4917382005924,2.0,2.0,-1.0,51.88784464049604,49.12523651123047
