,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
41,118864,-4.533385796310948,26.334567251961236,-77.58323686455086,4.0,1.0,-1.0,POINT (-77.58323686455086 26.33456725196124),-31.80794303011316,242159.02549402858,2915315.556672955,0
46,118869,-4.6250363471754135,26.334579894935523,-77.58323822513285,4.0,1.0,-1.0,POINT (-77.58323822513285 26.33457989493552),-31.80792712963921,242158.91767538356,2915316.960455951,0
54,118877,-4.172253974451176,26.334598831364108,-77.58324026354087,4.0,1.0,-1.0,POINT (-77.58324026354087 26.3345988313641),-31.807903318223,242158.75613145484,2915319.063018997,0
60,118883,-4.3410267261756665,26.334605157082986,-77.58324094564784,4.0,1.0,-1.0,POINT (-77.58324094564784 26.33460515708299),-31.807895365092012,242158.70205023157,2915319.765383082,0
78,118901,-3.884223411790692,26.33464936132775,-77.58324571547841,4.0,1.0,-1.0,POINT (-77.5832457154784 26.33464936132775),-31.807839803548628,242158.32380497875,2915324.673523302,0
89,118912,-4.432843629102748,26.334674651954817,-77.5832484514778,4.0,1.0,-1.0,POINT (-77.5832484514778 26.33467465195482),-31.80780802692789,242158.10669727207,2915327.4816374774,0
100,118923,-3.9670487359930657,26.334693580803933,-77.58325049987553,4.0,1.0,-1.0,POINT (-77.58325049987553 26.33469358080394),-31.80778424926939,242157.9441394899,2915329.5833806093,0
101,118924,-4.9459215649647135,26.33469362277563,-77.58325050650622,4.0,1.0,-1.0,POINT (-77.58325050650622 26.33469362277563),-31.80778419655144,242157.94357047978,2915329.588045063,0
104,118927,-4.122778346014373,26.33469990351693,-77.58325118522973,4.0,1.0,-1.0,POINT (-77.58325118522974 26.33469990351693),-31.807776308010034,242157.889727509,2915330.2854180983,0
110,118933,-4.151655834170337,26.3347125365108,-77.58325255469754,4.0,1.0,-1.0,POINT (-77.58325255469755 26.3347125365108),-31.807760442723517,242157.780999882,2915331.688112903,0
114,118937,-4.299263773412428,26.33471885857345,-77.58325324067052,4.0,1.0,-1.0,POINT (-77.58325324067052 26.33471885857345),-31.80775250389979,242157.72652470082,2915332.3900795626,0
124,118947,-4.385734025664173,26.33473780616526,-77.58325529721844,4.0,1.0,-1.0,POINT (-77.58325529721844 26.33473780616526),-31.80772871401496,242157.56319487857,2915334.4939160305,0
125,118948,-4.210006836908377,26.33473779863089,-77.58325529602814,4.0,1.0,-1.0,POINT (-77.58325529602814 26.33473779863089),-31.8077287234737,242157.5632970244,2915334.493078711,0
138,118961,-4.769241241313439,26.334756768719174,-77.58325735810978,4.0,1.0,-1.0,POINT (-77.58325735810978 26.33475676871917),-31.80770491019939,242157.39946462953,2915336.5994192543,0
151,118975,-4.5093716145302745,26.334800963881435,-77.58326216690769,4.0,1.0,-1.0,POINT (-77.58326216690769 26.33480096388143),-31.807649450579447,242157.01730994674,2915341.506631074,0
158,118982,-4.194562659028951,26.33481358066884,-77.58326354124162,4.0,1.0,-1.0,POINT (-77.58326354124162 26.33481358066884),-31.80763362286871,242156.90806080907,2915342.907539685,0
159,118983,-4.375353357663067,26.334813588419966,-77.5832635424662,4.0,1.0,-1.0,POINT (-77.5832635424662 26.33481358841997),-31.80763361314621,242156.9079557205,2915342.908401093,0
163,118988,-3.7741745722729982,26.33481987686556,-77.58326422686075,4.0,1.0,-1.0,POINT (-77.58326422686075 26.33481987686556),-31.807625725119575,242156.85356376058,2915343.606639258,0
183,119009,-4.656458468052493,26.33488306864023,-77.58327113079517,4.0,1.0,-1.0,POINT (-77.58327113079517 26.33488306864023),-31.807546489011656,242156.30433622052,2915350.6231971956,0
200,119026,-4.081614873535462,26.334920940049354,-77.58327527627227,4.0,1.0,-1.0,POINT (-77.58327527627226 26.33492094004935),-31.8074990279365,242155.97439218784,2915354.828300433,0
203,119029,-4.161475585201417,26.334933576417626,-77.58327666168155,4.0,1.0,-1.0,POINT (-77.58327666168154 26.33493357641762),-31.80748319614213,242155.86408096348,2915356.231401133,0
204,119030,-4.345937189231393,26.33493358432528,-77.58327666293094,4.0,1.0,-1.0,POINT (-77.58327666293094 26.33493358432528),-31.807483186235913,242155.86397374512,2915356.2322799372,0
210,119036,-4.495603796024363,26.334952538374385,-77.58327874255762,4.0,1.0,-1.0,POINT (-77.58327874255762 26.33495253837438),-31.807459443220978,242155.6983548158,2915358.336878245,0
211,119037,-3.860406256028596,26.334952511144586,-77.5832787382553,4.0,1.0,-1.0,POINT (-77.5832787382553 26.33495251114458),-31.807459477327033,242155.69872402443,2915358.3338521067,0
215,119041,-3.565002042195889,26.334971450332947,-77.5832808171063,4.0,1.0,-1.0,POINT (-77.5832808171063 26.33497145033294),-31.80743575776796,242155.53314968492,2915360.4368020454,0
231,119057,-2.5142694724492625,26.335015632609604,-77.58328567270566,4.0,1.0,-1.0,POINT (-77.58328567270566 26.3350156326096),-31.807380442441172,242155.14629562758,2915365.342679765,1
233,119059,-4.1724742623892865,26.335015703690036,-77.58328568393699,4.0,1.0,-1.0,POINT (-77.58328568393698 26.33501570369004),-31.80738035347167,242155.14533179105,2915365.3505791733,0
