,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
0,21080,-6.782454421282921,26.50276343408613,-77.65163503756585,4.0,4.0,-1.0,POINT (-77.65163503756585 26.50276343408613),-31.916579959144656,235713.14468781598,2934093.953759654,0
2,21082,-7.520780542342875,26.50275707595794,-77.65163585983508,4.0,4.0,-1.0,POINT (-77.65163585983508 26.50275707595794),-31.91656758651516,235713.0481348037,2934093.250825274,0
13,21093,-8.198583880367591,26.50272536130133,-77.6516394617125,4.0,4.0,-1.0,POINT (-77.65163946171251 26.50272536130133),-31.91650588957964,235712.61634410708,2934089.74352433,0
14,21094,-7.66791523302088,26.50272537561131,-77.65163937222574,4.0,4.0,-1.0,POINT (-77.65163937222574 26.50272537561131),-31.916505917410177,235712.6252998354,2934089.7449257993,0
15,21095,-7.190786657409387,26.502725388477536,-77.65163929176738,4.0,4.0,-1.0,POINT (-77.65163929176738 26.50272538847754),-31.91650594243401,235712.6333520125,2934089.7461858727,0
19,21099,-6.964762027692983,26.502719054197435,-77.65163995092058,4.0,4.0,-1.0,POINT (-77.65163995092058 26.50271905419743),-31.916493623533825,235712.55311830464,2934089.045558279,0
22,21102,-6.391005351200633,26.50270004726625,-77.65164194537276,4.0,4.0,-1.0,POINT (-77.65164194537276 26.50270004726625),-31.916456666200247,235712.31071341492,2934086.9432571502,0
23,21103,-6.53131925404519,26.502693701473813,-77.65164266597654,4.0,4.0,-1.0,POINT (-77.65164266597654 26.50269370147381),-31.91644432979956,235712.22432592761,2934086.241480356,0
32,21112,-6.542156299243965,26.50266832836273,-77.65164545486331,4.0,4.0,-1.0,POINT (-77.65164545486331 26.50266832836273),-31.91639501598729,235711.88812492532,2934083.435295181,0
33,21113,-6.7880039084576165,26.50266832173352,-77.6516454963208,4.0,4.0,-1.0,POINT (-77.6516454963208 26.50266832173352),-31.916395003105208,235711.8839759095,2934083.434645943,0
34,21114,-6.362070257203984,26.50266833424357,-77.65164542438929,4.0,4.0,-1.0,POINT (-77.65164542438929 26.50266833424357),-31.916395027414183,235711.89117703895,2934083.4358841158,0
52,21132,-6.608735215069304,26.502573122039266,-77.65165590549354,4.0,4.0,-1.0,POINT (-77.65165590549354 26.50257312203927),-31.916210152572603,235710.62800692988,2934072.9057506523,1
53,21133,-6.609364672294196,26.50257312202229,-77.65165590559971,4.0,4.0,-1.0,POINT (-77.65165590559971 26.50257312202229),-31.91621015253804,235710.62799630477,2934072.9057489894,1
55,21135,-6.499278422687506,26.502554072544736,-77.65165797267228,4.0,4.0,-1.0,POINT (-77.65165797267228 26.50255407254474),-31.916173196987074,235710.37825249863,2934070.798882411,1
58,21138,-6.3994209664683686,26.502547722747156,-77.65165865096334,4.0,4.0,-1.0,POINT (-77.65165865096334 26.50254772274715),-31.91616088097726,235710.29607484926,2934070.096574567,1
63,21143,-6.592505353576821,26.50252230135297,-77.65166146340044,4.0,4.0,-1.0,POINT (-77.65166146340044 26.50252230135297),-31.916111586138868,235709.95741458493,2934067.285087065,1
66,21146,-6.46986123365171,26.50249688199691,-77.65166422119923,4.0,4.0,-1.0,POINT (-77.65166422119923 26.50249688199691),-31.916062314896408,235709.62420705432,2934064.4737128443,1
69,21149,-6.624293994264013,26.5024841616147,-77.65166563620996,4.0,4.0,-1.0,POINT (-77.65166563620996 26.5024841616147),-31.91603766590015,235709.4539779852,2934063.066913881,1
75,21156,-6.352503439950193,26.502471452622927,-77.65166697883947,4.0,4.0,-1.0,POINT (-77.65166697883947 26.50247145262293),-31.916013043886775,235709.29099231662,2934061.6612280854,1
76,21157,-6.430213554982476,26.50247145052778,-77.65166699194388,4.0,4.0,-1.0,POINT (-77.65166699194388 26.50247145052778),-31.916013039828613,235709.2896808401,2934061.6610228987,1
79,21160,-6.591152562761253,26.50245872556585,-77.65166840747185,4.0,4.0,-1.0,POINT (-77.65166840747185 26.50245872556585),-31.9159883917946,235709.11938967096,2934060.253717464,1
80,21161,-7.112774851336556,26.50245871150252,-77.65166849543346,4.0,4.0,-1.0,POINT (-77.65166849543346 26.50245871150252),-31.91598836455705,235709.1105865637,2934060.252340187,1
82,21163,-6.515779005086319,26.5024332824778,-77.65167117038064,4.0,4.0,-1.0,POINT (-77.65167117038064 26.5024332824778),-31.91593912372809,235708.78561807505,2934057.439723733,1
100,21181,-6.639994563011515,26.50236962267916,-77.65167812585912,4.0,4.0,-1.0,POINT (-77.65167812585912 26.50236962267916),-31.91581593892261,235707.94626269187,2934050.3990672585,2
103,21184,-6.4257395775620285,26.50236962948032,-77.65167808962285,4.0,4.0,-1.0,POINT (-77.65167808962285 26.50236962948032),-31.915815952077537,235707.9498914918,2934050.399746312,2
106,21187,-6.47017822411282,26.50236325931363,-77.65167879020574,4.0,4.0,-1.0,POINT (-77.65167879020574 26.50236325931363),-31.91580363227331,235707.86544428125,2934049.6952270446,2
111,21192,-6.891416411766279,26.50233139566657,-77.65168232552149,4.0,4.0,-1.0,POINT (-77.65168232552149 26.50233139566657),-31.915742026987573,235707.43994798692,2934046.171277439,2
120,21201,-6.610473660982553,26.50231865627626,-77.65168366360413,4.0,4.0,-1.0,POINT (-77.65168366360413 26.50231865627626),-31.915717405241598,235707.2773458711,2934044.7622134252,2
126,21207,-6.418887892278133,26.50228678723881,-77.65168709341349,4.0,4.0,-1.0,POINT (-77.65168709341349 26.50228678723881),-31.91565583274496,235706.86235742457,2934041.2374490285,2
133,21214,-6.738844107493819,26.50226126520284,-77.65168991626099,4.0,4.0,-1.0,POINT (-77.65168991626099 26.50226126520284),-31.915606545218907,235706.52242786827,2934038.414829589,2
140,21221,-6.523605070646937,26.50224213096661,-77.65169195584635,4.0,4.0,-1.0,POINT (-77.65169195584635 26.50224213096661),-31.91556960663911,235706.27523011982,2934036.298513185,2
142,21223,-6.691390308983255,26.502223296745992,-77.65169409035678,4.0,4.0,-1.0,POINT (-77.65169409035678 26.50222329674599),-31.91553325810673,235706.01925421943,2934034.215641127,2
150,21231,-6.495138801090014,26.50219767846764,-77.65169681521606,4.0,4.0,-1.0,POINT (-77.65169681521606 26.50219767846764),-31.915483834194674,235705.68887475255,2934031.382153872,2
152,21233,-7.328835398670114,26.50219765496819,-77.65169695590849,4.0,4.0,-1.0,POINT (-77.65169695590849 26.50219765496819),-31.91548378886728,235705.67479206406,2934031.379839518,2
155,21236,-6.342251550906166,26.502159224845663,-77.65170092514225,4.0,4.0,-1.0,POINT (-77.65170092514225 26.50215922484567),-31.91540968521804,235705.19098817313,2934027.129065587,2
157,21238,-6.429544786751916,26.502139987029874,-77.65170300687572,4.0,4.0,-1.0,POINT (-77.65170300687572 26.50213998702987),-31.915372606375968,235704.93935026415,2934025.0013570283,2
