,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
0,65437,-3.5242789014973597,26.308150217724904,-77.6109494969608,3.0,3.0,-1.0,POINT (-77.6109494969608 26.3081502177249),-32.45253240765851,239332.5833599694,2912443.7322920994,0
3,65442,-3.6659685657901235,26.30816301069633,-77.61095093361409,3.0,3.0,-1.0,POINT (-77.61095093361411 26.30816301069633),-32.45245158711805,239332.468521778,2912445.152893125,0
7,65446,-3.8833625265167733,26.308163022514485,-77.61095098339214,2.0,3.0,-1.0,POINT (-77.61095098339214 26.30816302251449),-32.45245151245945,239332.4635764894,2912445.1543032806,0
11,65452,-3.5766668637605665,26.30817578935949,-77.61095231749259,3.0,3.0,-1.0,POINT (-77.6109523174926 26.3081757893595),-32.452370863149554,239332.35892265104,2912446.571802001,0
20,65463,-3.456300539161852,26.30819495478263,-77.6109543966688,3.0,3.0,-1.0,POINT (-77.61095439666879 26.30819495478263),-32.45224980502098,239332.19418284393,2912448.699887122,0
28,65475,-3.4758587136839805,26.30820773344522,-77.61095580565875,3.0,3.0,-1.0,POINT (-77.61095580565875 26.30820773344522),-32.45216909649389,239332.08207573122,2912450.118846638,0
46,65499,-3.5563509357173,26.308239680899554,-77.61095933686616,3.0,3.0,-1.0,POINT (-77.61095933686616 26.30823968089955),-32.451967347156824,239331.80093773562,2912453.6663514976,0
47,65500,-3.3719951306507165,26.308239670877484,-77.61095929465317,3.0,3.0,-1.0,POINT (-77.61095929465317 26.30823967087748),-32.451967410441284,239331.80513145681,2912453.6651556524,0
48,65501,-3.4119768136848543,26.30823967305095,-77.61095930380776,3.0,3.0,-1.0,POINT (-77.61095930380776 26.30823967305095),-32.45196739671701,239331.80422197856,2912453.665414993,0
49,65502,-3.3701819592364317,26.308239670778928,-77.61095929423803,3.0,3.0,-1.0,POINT (-77.61095929423803 26.30823967077893),-32.45196741106338,239331.80517269947,2912453.665143893,0
50,65503,-3.5812061457073314,26.3082396822508,-77.61095934255759,3.0,3.0,-1.0,POINT (-77.61095934255761 26.3082396822508),-32.451967338623945,239331.80037231147,2912453.66651273,0
57,65511,-3.5130106918109254,26.308252452787308,-77.61096073239919,3.0,3.0,-1.0,POINT (-77.61096073239918 26.30825245278731),-32.451886703020136,239331.6901596592,2912455.08453309,0
59,65513,-3.3725247223078263,26.308252445150128,-77.61096070023135,3.0,3.0,-1.0,POINT (-77.61096070023135 26.30825244515013),-32.451886751241545,239331.69335542683,2912455.083621813,0
67,65528,-3.4620536352204714,26.308290763804568,-77.61096493860008,3.0,3.0,-1.0,POINT (-77.61096493860008 26.30829076380457),-32.45164483695589,239331.355857487,2912459.3386026034,0
73,65537,-3.6852746106967618,26.30830354423883,-77.61096639621161,3.0,3.0,-1.0,POINT (-77.61096639621161 26.30830354423883),-32.45156416354803,239331.23889842577,2912460.7578566433,0
77,65542,-3.4996141116938797,26.308309918337752,-77.61096705712298,3.0,3.0,-1.0,POINT (-77.61096705712299 26.30830991833775),-32.451523930896656,239331.18716399273,2912461.4655604134,0
79,65544,-3.455591089614535,26.308309915944573,-77.61096704704286,3.0,3.0,-1.0,POINT (-77.61096704704286 26.30830991594457),-32.451523945999725,239331.18816541854,2912461.4652748555,0
80,65545,-3.8782132156759808,26.308309938919397,-77.61096714381334,2.0,3.0,-1.0,POINT (-77.61096714381335 26.3083099389194),-32.45152380098807,239331.1785515985,2912461.4680162407,0
85,65553,-3.3945229246298707,26.308322678719925,-77.61096844000171,3.0,3.0,-1.0,POINT (-77.61096844000171 26.30832267871993),-32.451443393299996,239331.07762427555,2912462.8824414564,0
92,65562,-3.364014068649069,26.308335441934034,-77.61096984029456,3.0,3.0,-1.0,POINT (-77.61096984029457 26.30833544193403),-32.45136284399268,239330.9663516531,2912464.29967149,0
104,65577,-3.74592107985758,26.3083546068085,-77.61097203921679,3.0,3.0,-1.0,POINT (-77.61097203921679 26.3083546068085),-32.45124190504066,239330.7896513987,2912466.427937632,0
106,65579,-3.4598967707791837,26.308354591259555,-77.61097197372403,3.0,3.0,-1.0,POINT (-77.61097197372403 26.30835459125955),-32.45124200315695,239330.79615788086,2912466.426082312,0
108,65586,-3.4154729822021066,26.308367350577914,-77.61097337171185,3.0,3.0,-1.0,POINT (-77.61097337171186 26.30836735057791),-32.451161493831016,239330.68510686286,2912467.842875984,0
110,65589,-3.402645846222521,26.30837372997263,-77.61097407295941,3.0,3.0,-1.0,POINT (-77.61097407295941 26.30837372997263),-32.45112124314619,239330.6293556882,2912468.5512480633,0
128,65612,-3.322752927916438,26.30841199784653,-77.61097828159977,3.0,3.0,-1.0,POINT (-77.61097828159977 26.30841199784653),-32.450879824940785,239330.29471447904,2912472.800541563,0
133,65619,-3.5557232916315566,26.308418386254797,-77.61097903957396,3.0,3.0,-1.0,POINT (-77.61097903957395 26.30841838625479),-32.450839528173674,239330.23331780924,2912473.5100270337,0
137,65624,-3.51726536369352,26.308431138138584,-77.61098044071632,3.0,3.0,-1.0,POINT (-77.61098044071633 26.30843113813858),-32.45075909652405,239330.12193528825,2912474.926003211,0
141,65628,-3.2950489307663053,26.308437502391715,-77.61098109494554,3.0,3.0,-1.0,POINT (-77.61098109494554 26.30843750239172),-32.45071895672481,239330.0708464185,2912475.63260242,0
148,65636,-3.482169172854469,26.308443888829718,-77.61098184303297,3.0,3.0,-1.0,POINT (-77.61098184303299 26.30844388882972),-32.450678678544136,239330.0104328537,2912476.341849596,0
155,65644,-3.3823057095798053,26.3084566348748,-77.61098323096084,3.0,3.0,-1.0,POINT (-77.61098323096084 26.3084566348748),-32.450598296014505,239329.90035718272,2912477.7571520703,0
158,65648,-3.3748010731147184,26.30846301017167,-77.61098393485051,3.0,3.0,-1.0,POINT (-77.61098393485049 26.30846301017167),-32.45055809271071,239329.8443330918,2912478.4650753844,0
160,65651,-3.269510507600353,26.30846937884819,-77.61098461635069,3.0,3.0,-1.0,POINT (-77.61098461635068 26.30846937884819),-32.45051793269158,239329.79053040783,2912479.172219844,0
161,65652,-3.429835525828002,26.308469387820047,-77.61098465308878,3.0,3.0,-1.0,POINT (-77.61098465308878 26.30846938782004),-32.450517876115555,239329.78688116683,2912479.173288256,0
169,65663,-3.504320587222268,26.308482140419365,-77.61098608176957,3.0,3.0,-1.0,POINT (-77.61098608176957 26.30848214041936),-32.45043746455121,239329.67274993355,2912480.589399339,0
184,65680,-3.4000594276159517,26.30850762813768,-77.61098888251028,3.0,3.0,-1.0,POINT (-77.61098888251028 26.30850762813768),-32.45027677007238,239329.4501036371,2912483.4195700777,0
186,65683,-3.3937579805620337,26.30851400086329,-77.61098958756506,3.0,3.0,-1.0,POINT (-77.61098958756507 26.30851400086329),-32.450236595272145,239329.39395750637,2912484.1272108112,0
187,65684,-3.489443854478128,26.308514006064893,-77.61098960947491,3.0,3.0,-1.0,POINT (-77.6109896094749 26.30851400606489),-32.450236562481216,239329.39178084058,2912484.1278314744,0
189,65686,-3.3801438763062346,26.30851400012322,-77.61098958444781,3.0,3.0,-1.0,POINT (-77.61098958444782 26.30851400012322),-32.45023659993785,239329.39426719391,2912484.1271225046,0
191,65690,-3.4314420315323133,26.308526746899453,-77.61099100940605,3.0,3.0,-1.0,POINT (-77.61099100940605 26.30852674689946),-32.450156246593906,239329.28049487312,2912485.542580785,0
193,65692,-3.6387897413104575,26.30852675817119,-77.61099105688425,3.0,3.0,-1.0,POINT (-77.61099105688425 26.30852675817119),-32.45015617554236,239329.2757780826,2912485.5439257473,0
206,65708,-3.371870807137043,26.308545857387447,-77.61099311648557,3.0,3.0,-1.0,POINT (-77.61099311648556 26.30854585738745),-32.45003578909018,239329.11284688662,2912487.6646346147,0
207,65709,-3.336406301559516,26.308552419185148,-77.61099369519448,3.0,3.0,-1.0,POINT (-77.61099369519448 26.30855241918515),-32.449994431857704,239329.06974349538,2912488.3929730384,0
208,65710,-3.6118941628444983,26.3085524341612,-77.61099375827534,3.0,3.0,-1.0,POINT (-77.61099375827534 26.3085524341612),-32.449994337468524,239329.06347663817,2912488.394760005,0
211,65713,-3.5830992870099263,26.308558790753068,-77.61099446657192,3.0,3.0,-1.0,POINT (-77.61099446657192 26.30855879075307),-32.44995427514732,239329.0069706628,2912489.1006193706,0
213,65716,-3.3190433265193526,26.30856513374855,-77.61099512107353,3.0,3.0,-1.0,POINT (-77.61099512107353 26.30856513374855),-32.44991430004302,239328.95580718687,2912489.80486341,0
219,65723,-3.5564058560642064,26.30857150444157,-77.61099589059577,3.0,3.0,-1.0,POINT (-77.61099589059577 26.30857150444157),-32.44987415191281,239328.8932177105,2912490.5124090435,0
220,65725,-3.5064043863799514,26.308577858787757,-77.61099659439719,3.0,3.0,-1.0,POINT (-77.61099659439719 26.30857785878775),-32.44983410832901,239328.83715570573,2912491.2180104763,0
226,65731,-3.2332588851557995,26.308577843683032,-77.61099653182615,3.0,3.0,-1.0,POINT (-77.61099653182615 26.30857784368303),-32.449834203513085,239328.8433713549,2912491.216210279,0
229,65734,-3.5311885764409245,26.30858421706387,-77.61099731546814,3.0,3.0,-1.0,POINT (-77.61099731546814 26.30858421706387),-32.44979404150763,239328.77937766642,2912491.9240822806,0
232,65737,-3.3938415381661917,26.308584209597484,-77.61099728401857,3.0,3.0,-1.0,POINT (-77.61099728401857 26.30858420959748),-32.44979408855579,239328.7825020686,2912491.923191379,0
234,65739,-3.3202688368955364,26.30859056244897,-77.61099798271832,3.0,3.0,-1.0,POINT (-77.61099798271832 26.30859056244897),-32.44975405744299,239328.7269462835,2912492.628616874,0
236,65743,-3.2582812132706334,26.30859055907929,-77.61099796852463,3.0,3.0,-1.0,POINT (-77.61099796852463 26.30859055907929),-32.44975407867605,239328.7283563746,2912492.628214797,0
237,65745,-3.345774392483557,26.308596920435253,-77.6109987042295,3.0,3.0,-1.0,POINT (-77.6109987042295 26.30859692043526),-32.44971399550377,239328.6691236452,2912493.334657451,0
240,65748,-3.3685211988350847,26.3085969216718,-77.61099870943802,3.0,3.0,-1.0,POINT (-77.61099870943802 26.3085969216718),-32.44971398771122,239328.66860619813,2912493.334804998,0
242,65751,-3.790768708509351,26.30860330044692,-77.61099952186345,3.0,3.0,-1.0,POINT (-77.61099952186343 26.30860330044692),-32.44967379631817,239328.60174979066,2912494.0433328943,0
248,65758,-3.3946074590861817,26.308609634689077,-77.61100014704006,3.0,3.0,-1.0,POINT (-77.61100014704007 26.30860963468908),-32.449633887039454,239328.55349571037,2912494.746547713,0
254,65769,-3.365688606514468,26.308622343614395,-77.61100157253153,3.0,3.0,-1.0,POINT (-77.61100157253153 26.3086223436144),-32.44955381825639,239328.43958568134,2912496.157812521,0
255,65770,-3.546860916964633,26.30862235346304,-77.61100161401619,3.0,3.0,-1.0,POINT (-77.61100161401619 26.30862235346304),-32.449553756208836,239328.43546433203,2912496.1589876786,0
262,65778,-3.3856056087490733,26.308635054132413,-77.61100300968376,3.0,3.0,-1.0,POINT (-77.61100300968376 26.30863505413242),-32.44947374554977,239328.32451461093,2912497.569277374,0
263,65779,-3.384906521154233,26.30863505409445,-77.61100300952384,3.0,3.0,-1.0,POINT (-77.61100300952384 26.30863505409445),-32.44947374578805,239328.32453049824,2912497.5692728446,0
264,65780,-3.4357143136634667,26.30863505685636,-77.61100302115767,3.0,3.0,-1.0,POINT (-77.61100302115767 26.30863505685636),-32.44947372838942,239328.3233747193,2912497.5696024005,0
266,65783,-3.05625594324156,26.308641388292546,-77.61100365048921,3.0,3.0,-1.0,POINT (-77.61100365048922 26.30864138829254),-32.44943384439466,239328.27469942032,2912498.2725146585,0
270,65787,-3.431494672115272,26.30864776314645,-77.61100445304028,3.0,3.0,-1.0,POINT (-77.61100445304028 26.30864776314645),-32.449393688424614,239328.208820543,2912498.9805880883,0
273,65790,-3.402158059983764,26.308647761551672,-77.6110044463227,3.0,3.0,-1.0,POINT (-77.6110044463227 26.30864776155167),-32.449393698470885,239328.2094879106,2912498.9803977967,0
