,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
3,19250,-1.7922099551249189,26.546079643673583,-77.77689845923985,4.0,4.0,-1.0,POINT (-77.77689845923985 26.54607964367358),-31.79630977171473,223326.41469422728,2939158.9630522863,0
6,19253,-1.6769468418875604,26.54607325034889,-77.77689920555727,4.0,4.0,-1.0,POINT (-77.77689920555727 26.54607325034889),-31.796275480897748,223326.3249402129,2939158.256087749,0
8,19255,-1.5187608560826802,26.54606045922077,-77.77690068223302,4.0,4.0,-1.0,POINT (-77.77690068223302 26.54606045922077),-31.796206883842387,223326.1470122352,2939156.8416278097,0
9,19256,-1.6431594447395288,26.54606045394202,-77.77690065576991,4.0,4.0,-1.0,POINT (-77.77690065576991 26.54606045394202),-31.796206855535274,223326.1496374277,2939156.8409855794,0
10,19257,-1.6862438475683523,26.5460604521138,-77.77690064660472,4.0,4.0,-1.0,POINT (-77.77690064660472 26.5460604521138),-31.79620684573092,223326.15054663247,2939156.840763151,0
12,19259,-1.6518604046771213,26.54604765638988,-77.77690209587587,4.0,4.0,-1.0,POINT (-77.77690209587587 26.54604765638988),-31.79613823550244,223325.97533931793,2939155.425734641,0
13,19260,-1.5772669078488455,26.546041261208025,-77.77690283231465,4.0,4.0,-1.0,POINT (-77.77690283231465 26.54604126120802),-31.796103949054668,223325.8865655352,2939154.718542929,0
15,19262,-1.642783355203186,26.546034862149103,-77.77690353845789,4.0,4.0,-1.0,POINT (-77.77690353845789 26.54603486214911),-31.79606964468985,223325.80080232973,2939154.0108560557,0
16,19263,-1.5916468857419372,26.54602846629407,-77.77690426935247,4.0,4.0,-1.0,POINT (-77.77690426935247 26.54602846629407),-31.79603536036666,223325.71257957222,2939153.3035777556,0
17,19264,-1.861920812031571,26.546028454825198,-77.77690421185754,4.0,4.0,-1.0,POINT (-77.77690421185754 26.54602845482519),-31.796035298892093,223325.71828318416,2939153.302182414,0
19,19266,-1.5675241879034942,26.546028467317687,-77.77690427448395,4.0,4.0,-1.0,POINT (-77.77690427448395 26.54602846731769),-31.79603536585273,223325.71207051893,2939153.3037022916,0
22,19269,-1.5167775373245729,26.54600287991096,-77.77690716239482,4.0,4.0,-1.0,POINT (-77.77690716239482 26.54600287991096),-31.795898235850476,223325.36272524123,2939150.4740701863,0
26,19273,-1.4386049430467176,26.545983691027228,-77.77690933398598,4.0,4.0,-1.0,POINT (-77.77690933398598 26.54598369102723),-31.79579542740248,223325.10015625303,2939148.3520435696,0
29,19276,-1.5356081101963082,26.545970894463185,-77.7769107483157,4.0,4.0,-1.0,POINT (-77.7769107483157 26.54597089446318),-31.795726881475275,223324.92842981673,2939146.936846453,0
31,19278,-1.4720411684066923,26.545958104360857,-77.77691219568656,4.0,4.0,-1.0,POINT (-77.77691219568656 26.54595810436086),-31.79565838162307,223324.75342530262,2939145.5224368917,0
32,19279,-1.5238516319934363,26.54595810216237,-77.77691218466536,4.0,4.0,-1.0,POINT (-77.77691218466536 26.54595810216237),-31.79565836985057,223324.7545186279,2939145.5221694172,0
35,19282,-1.420194438238615,26.545951710383985,-77.77691292317573,4.0,4.0,-1.0,POINT (-77.77691292317573 26.54595171038399),-31.795624141745066,223324.66554645862,2939144.815359395,0
37,19284,-1.5351593972136677,26.54593891359134,-77.7769143306961,4.0,4.0,-1.0,POINT (-77.7769143306961 26.54593891359134),-31.795555623259133,223324.49449819204,2939143.400122233,0
38,19285,-1.5796614715666093,26.54593891170299,-77.77691432122961,4.0,4.0,-1.0,POINT (-77.77691432122961 26.54593891170299),-31.79555561315283,223324.49543728738,2939143.39989249,0
41,19288,-1.62757800429631,26.545919722813203,-77.77691645661503,4.0,4.0,-1.0,POINT (-77.77691645661503 26.5459197228132),-31.795452890652086,223324.23647718603,2939141.2777869785,0
42,19289,-1.5125877779290908,26.545913332381083,-77.77691719562074,4.0,4.0,-1.0,POINT (-77.77691719562074 26.54591333238108),-31.79541868693923,223324.14745884476,2939140.571127238,0
43,19290,-1.541431328104898,26.54590693598568,-77.7769179037019,4.0,4.0,-1.0,POINT (-77.7769179037019 26.54590693598568),-31.795384454173472,223324.06150877493,2939139.863739759,0
46,19293,-1.5805856378089298,26.545894144397185,-77.77691932281513,4.0,4.0,-1.0,POINT (-77.77691932281513 26.54589414439718),-31.79531600367045,223323.8893173579,2939138.4491044325,0
47,19294,-1.498516574960267,26.545887753121864,-77.77692005349468,4.0,4.0,-1.0,POINT (-77.77692005349468 26.54588775312186),-31.79528180689522,223323.80112693622,2939137.7423332483,0
51,19298,-1.6243327434392012,26.545881354113316,-77.77692073950901,4.0,4.0,-1.0,POINT (-77.77692073950901 26.54588135411331),-31.795247571608343,223323.71737022226,2939137.0346084707,0
53,19300,-1.655535352770253,26.545874958301077,-77.77692144541822,4.0,4.0,-1.0,POINT (-77.77692144541822 26.54587495830107),-31.795213356290333,223323.6316380332,2939136.3272809335,0
