,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
11,26951,-4.280930195472093,26.312126377672282,-77.61299270385463,4.0,4.0,-1.0,POINT (-77.61299270385462 26.31212637767228),-31.74933224140386,239137.42386873777,2912888.4919099635,0
19,26959,-4.538346176182261,26.31215814017541,-77.61299620986505,4.0,4.0,-1.0,POINT (-77.61299620986505 26.31215814017541),-31.74929216523469,239137.14491013568,2912892.018879187,0
20,26960,-4.2389724241456435,26.312158130852218,-77.61299617887505,4.0,4.0,-1.0,POINT (-77.61299617887505 26.31215813085222),-31.74929217699537,239137.14798436518,2912892.0177833885,0
23,26963,-4.314187829110687,26.3121771878582,-77.61299828085039,4.0,4.0,-1.0,POINT (-77.61299828085039 26.3121771878582),-31.749268138292788,239136.98077110943,2912894.1339066885,0
25,26965,-4.174877248953595,26.312177183519825,-77.6129982664296,4.0,4.0,-1.0,POINT (-77.6129982664296 26.31217718351983),-31.74926814376522,239136.9822016619,2912894.1333967787,0
29,26969,-4.13356842126298,26.312208942654422,-77.61300176332837,4.0,4.0,-1.0,POINT (-77.61300176332837 26.31220894265442),-31.749228093088284,239136.70414596683,2912897.6599743497,0
41,26981,-4.281449340373462,26.312278830997982,-77.6130095285888,4.0,4.0,-1.0,POINT (-77.61300952858879 26.31227883099798),-31.749140005353183,239136.08526598866,2912905.4206129247,0
45,26985,-4.39667731719249,26.31230425316022,-77.61301237495125,4.0,4.0,-1.0,POINT (-77.61301237495125 26.31230425316022),-31.749107979039763,239135.85797716756,2912908.2436199165,1
48,26988,-4.107035632172626,26.31231695365133,-77.61301376528534,4.0,4.0,-1.0,POINT (-77.61301376528534 26.31231695365133),-31.74909198241221,239135.74758968892,2912909.6538834814,1
59,26999,-4.2390419764072345,26.31234873846802,-77.61301733939776,4.0,4.0,-1.0,POINT (-77.61301733939777 26.31234873846802),-31.749051957843218,239135.46188104997,2912913.183463269,1
62,27002,-4.061249540900083,26.31238053431651,-77.6130206908937,4.0,4.0,-1.0,POINT (-77.61302069089371 26.31238053431651),-31.749011932690333,239135.19843123038,2912916.713815839,1
