,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
1,67736,-4.8403550994908535,26.35120290770989,-77.55253013598809,1.0,1.0,-1.0,POINT (-77.55253013598809 26.35120290770989),-31.924031492984795,245261.67424417718,2917098.0518749524,0
3,67738,-5.774647952924965,26.351202977375518,-77.55253006008233,1.0,1.0,-1.0,POINT (-77.55253006008233 26.35120297737551),-31.924031334416213,245261.68197526902,2917098.0594450724,0
5,67740,-4.863786055577502,26.351215712143983,-77.55253150989874,1.0,1.0,-1.0,POINT (-77.55253150989874 26.35121571214399),-31.92400235318564,245261.56515246638,2917099.473527483,0
7,67742,-5.0588114677517,26.351222128765308,-77.55253218230995,1.0,1.0,-1.0,POINT (-77.55253218230993 26.3512221287653),-31.923987754260448,245261.5120902783,2917100.185921244,0
10,67748,-5.3757918047510325,26.351241354265408,-77.55253422196317,1.0,1.0,-1.0,POINT (-77.55253422196317 26.35124135426542),-31.92394402793434,245261.35061201017,2917102.320446915,0
11,67749,-4.7510526712624275,26.35124130751161,-77.55253427270219,1.0,1.0,-1.0,POINT (-77.55253427270218 26.35124130751161),-31.92394413424336,245261.34544377401,2917102.3153660786,0
15,67754,-4.603390464105472,26.35126049584152,-77.55253635151706,1.0,3.0,-1.0,POINT (-77.55253635151706 26.35126049584152),-31.92390051485927,245261.1799742496,2917104.445850071,0
23,67764,-4.666301189243412,26.35127969558261,-77.55253841448483,1.0,4.0,-1.0,POINT (-77.55253841448483 26.35127969558261),-31.92385689198636,245261.01611199827,2917106.577567312,0
26,67767,-4.451298689152392,26.351292476739307,-77.55253981169764,1.0,3.0,-1.0,POINT (-77.55253981169764 26.35129247673931),-31.923827864939085,245260.90464304804,2917107.9966863985,0
29,67770,-5.410295813516148,26.351298946400558,-77.55254042390595,1.0,2.0,-1.0,POINT (-77.55254042390595 26.35129894640056),-31.92381317561012,245260.8577078657,2917108.7148389188,0
33,67774,-4.640073526025583,26.351305286324745,-77.5525411767167,1.0,4.0,-1.0,POINT (-77.5525411767167 26.35130528632475),-31.923798783318485,245260.79645065847,2917109.4188922523,0
34,67775,-4.6024559519726065,26.351311681220746,-77.55254187024444,1.0,3.0,-1.0,POINT (-77.55254187024443 26.35131168122075),-31.923784268718013,245260.74123273612,2917110.1289202324,0
38,67779,-4.638373469514437,26.351318081795373,-77.55254255802019,1.0,4.0,-1.0,POINT (-77.55254255802019 26.35131808179538),-31.923769743723827,245260.68660154662,2917110.8395661335,0
43,67784,-4.710723212466056,26.35133727803751,-77.5525446251352,1.0,4.0,-1.0,POINT (-77.55254462513521 26.35133727803751),-31.923726196142525,245260.52231785702,2917112.970903863,0
48,67790,-5.142541495430786,26.351343706525544,-77.55254528138707,1.0,2.0,-1.0,POINT (-77.55254528138707 26.35134370652554),-31.923711617833764,245260.47089521863,2917113.684580748,0
54,67796,-5.462418879346575,26.351356522482877,-77.55254663864086,1.0,2.0,-1.0,POINT (-77.55254663864086 26.35135652248287),-31.923682561748137,245260.3634922448,2917115.1074773907,0
56,67798,-4.62663831898797,26.351362855902014,-77.55254739844263,1.0,4.0,-1.0,POINT (-77.55254739844263 26.35136285590201),-31.9236682064402,245260.30152289878,2917115.810823683,0
57,67799,-4.709966207511497,26.35136286206982,-77.55254739166786,1.0,4.0,-1.0,POINT (-77.55254739166786 26.35136286206982),-31.923668192459445,245260.302212807,2917115.8114937916,0
58,67800,-4.812157760035621,26.351369265674983,-77.55254807550057,1.0,4.0,-1.0,POINT (-77.55254807550058 26.35136926567499),-31.92365368055471,245260.24798201685,2917116.5224677464,0
63,67805,-4.7474228035606245,26.351382050926887,-77.55254946545595,1.0,4.0,-1.0,POINT (-77.55254946545595 26.35138205092688),-31.923624713981557,245260.1372469184,2917117.942026348,0
64,67806,-4.696478542284313,26.35138204715616,-77.55254946959774,1.0,4.0,-1.0,POINT (-77.55254946959774 26.35138204715616),-31.92362472252353,245260.13682514045,2917117.941616673,0
65,67807,-4.695341611735159,26.35138844195917,-77.55255016233944,1.0,4.0,-1.0,POINT (-77.55255016233943 26.35138844195917),-31.92361023803824,245260.08168561966,2917118.6516328114,0
66,67808,-4.759743436422335,26.351394841390494,-77.55255084994138,1.0,4.0,-1.0,POINT (-77.55255084994137 26.3513948413905),-31.923595745563947,245260.02706940498,2917119.362151689,0
70,67812,-4.104583679780308,26.351401187340908,-77.55255159623384,1.0,2.0,-1.0,POINT (-77.55255159623385 26.35140118734091),-31.923581376668157,245259.96647635452,2917120.066859968,0
73,67815,-4.6268070449343535,26.35140761974214,-77.55255224694258,1.0,4.0,-1.0,POINT (-77.55255224694258 26.35140761974214),-31.92356681453384,245259.91561582033,2917120.780959561,0
80,67823,-4.5691146982511395,26.35143319020728,-77.55255502642541,1.0,3.0,-1.0,POINT (-77.55255502642541 26.35143319020728),-31.92350895117852,245259.69418856813,2917123.6200716705,0
82,67825,-4.773443214740177,26.351433205331155,-77.55255500981323,1.0,4.0,-1.0,POINT (-77.55255500981323 26.35143320533115),-31.923508916966966,245259.69588026652,2917123.6217148216,0
85,67829,-4.707040459070133,26.351439593091698,-77.55255570934284,1.0,4.0,-1.0,POINT (-77.55255570934285 26.3514395930917),-31.92349446834487,245259.6400476952,2917124.3309639613,0
88,67834,-5.386967927422063,26.351446036873092,-77.552556348495,1.0,2.0,-1.0,POINT (-77.552556348495 26.3514460368731),-31.923479895522174,245259.5903659694,2917125.046301837,0
89,67835,-4.62696232491486,26.351445980107087,-77.5525564102312,1.0,4.0,-1.0,POINT (-77.5525564102312 26.35144598010709),-31.923480023888263,245259.58407784448,2917125.0401332127,0
93,67840,-4.724944808908812,26.35145877309969,-77.55255779166156,1.0,4.0,-1.0,POINT (-77.55255779166157 26.35145877309969),-31.923451099570233,245259.47421110634,2917126.460532799,0
101,67849,-4.583100679584098,26.35147793849323,-77.55255988864114,1.0,3.0,-1.0,POINT (-77.55255988864114 26.35147793849323),-31.923407786231106,245259.30687884928,2917128.588511095,0
102,67850,-4.6983408972512,26.351484338745745,-77.5525605748361,1.0,4.0,-1.0,POINT (-77.55256057483609 26.35148433874574),-31.92339332679694,245259.2524050575,2917129.299118213,0
