,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface,x,y,labels
28,81498,-1.8467493780101167,26.3301143495606,-77.58122708509127,3.0,2.0,-1.0,POINT (-77.58122708509127 26.3301143495606),-32.20552452667471,242349.84296697142,2914818.0823610914,0
29,81500,-2.2585849372185622,26.330120764822453,-77.58122783629781,3.0,2.0,-1.0,POINT (-77.58122783629781 26.33012076482246),-32.20548930018049,242349.7821682546,2914818.794783815,0
36,81511,-2.1044725623468032,26.33013991987868,-77.58122990811049,3.0,3.0,-1.0,POINT (-77.58122990811049 26.33013991987868),-32.205384130691534,242349.6177260318,2914820.921634584,0
42,81517,-2.16810400139453,26.330146312830216,-77.58123061472779,3.0,3.0,-1.0,POINT (-77.58123061472779 26.33014631283022),-32.205349034567924,242349.5613305219,2914821.6314959084,0
59,81538,-1.825471298754048,26.330191020096997,-77.58123546809756,3.0,2.0,-1.0,POINT (-77.58123546809757 26.33019102009699),-32.20510365492737,242349.175748044,2914826.595530812,0
71,81555,-2.019018200189598,26.330222990304843,-77.581239005154,3.0,3.0,-1.0,POINT (-77.581239005154 26.33022299030484),-32.204928242710594,242348.89338668206,2914830.145449404,0
100,81592,-1.973166040312056,26.330273945709237,-77.58124445195769,3.0,3.0,-1.0,POINT (-77.58124445195769 26.33027394570924),-32.204648765342434,242348.46239120024,2914835.803071867,0
105,81599,-2.089942689136117,26.330286767509698,-77.58124590702731,3.0,3.0,-1.0,POINT (-77.58124590702732 26.3302867675097),-32.20457846072895,242348.34550262915,2914837.226856165,0
129,81630,-1.8957235177453995,26.330338017316805,-77.58125165636677,3.0,2.0,-1.0,POINT (-77.58125165636676 26.33033801731681),-32.20429752632117,242347.8849497575,2914842.917707777,0
133,81637,-2.1105061097277087,26.330350849884468,-77.58125313282976,3.0,3.0,-1.0,POINT (-77.58125313282977 26.33035084988446),-32.20422720224087,242347.76594897106,2914844.342728015,0
135,81639,-1.9902831141757389,26.330357251348854,-77.58125384150665,3.0,3.0,-1.0,POINT (-77.58125384150665 26.33035725134885),-32.204192124376284,242347.70936701845,2914845.0535368696,0
143,81651,-1.9349705815264644,26.33037647838987,-77.58125601057509,3.0,3.0,-1.0,POINT (-77.58125601057509 26.33037647838987),-32.20408677853993,242347.53537375058,2914847.188559155,0
147,81656,-2.095761878633712,26.330389309954885,-77.581257484761,3.0,3.0,-1.0,POINT (-77.581257484761 26.33038930995489),-32.20401648370898,242347.41659826168,2914848.613463751,0
164,81677,-2.029337487719964,26.33042136126986,-77.58126111506176,3.0,3.0,-1.0,POINT (-77.58126111506176 26.33042136126986),-32.20384093243774,242347.12510714732,2914852.172556828,0
180,81695,-2.0311807879639416,26.33044701010053,-77.58126403362728,3.0,3.0,-1.0,POINT (-77.58126403362728 26.33044701010053),-32.20370048442783,242346.89050124038,2914855.0207219324,0
183,81699,-2.1726087272536083,26.330453431993593,-77.58126478288395,3.0,3.0,-1.0,POINT (-77.58126478288395 26.33045343199359),-32.20366532434491,242346.82991251154,2914855.7338756896,0
192,81711,-1.9517232416708428,26.33046624277275,-77.58126621573973,3.0,3.0,-1.0,POINT (-77.58126621573973 26.33046624277275),-32.20359519082922,242346.71521837244,2914857.1563943587,0
197,81717,-2.002629645118816,26.33047907221024,-77.58126768607875,3.0,3.0,-1.0,POINT (-77.58126768607875 26.33047907221024),-32.20352496307896,242346.59682262904,2914858.5810555466,0
200,81720,-2.042416927067866,26.330485488194537,-77.58126842370369,3.0,3.0,-1.0,POINT (-77.58126842370368 26.33048548819454),-32.20348984524753,242346.53738238246,2914859.2935312917,0
215,81742,-2.2328383794672706,26.330511155668127,-77.5812713819092,3.0,3.0,-1.0,POINT (-77.5812713819092 26.33051115566812),-32.20334937439111,242346.2988598724,2914862.1438415656,0
218,81746,-2.028917033338544,26.330517556276103,-77.58127208900997,3.0,3.0,-1.0,POINT (-77.58127208900997 26.3305175562761),-32.20331435060507,242346.24243368913,2914862.854552403,0
222,81751,-2.3653686794166,26.330530406803607,-77.5812736028347,2.0,3.0,-1.0,POINT (-77.5812736028347 26.33053040680361),-32.203244039155834,242346.1197424711,2914864.281637587,0
224,81754,-2.0768833511690725,26.330543216565555,-77.5812750352121,3.0,3.0,-1.0,POINT (-77.5812750352121 26.33054321656556),-32.203173958663676,242346.00509411795,2914865.70404261,0
227,81759,-2.0253992983899702,26.33054962596133,-77.58127576398728,3.0,3.0,-1.0,POINT (-77.58127576398728 26.33054962596133),-32.2031388966825,242345.9465231046,2914866.4157705745,0
233,81765,-2.2569036857465465,26.33055605583468,-77.58127653078034,3.0,3.0,-1.0,POINT (-77.58127653078034 26.33055605583468),-32.20310372466702,242345.88420109608,2914867.129843726,0
240,81772,-2.2047740200472243,26.330568882134422,-77.58127799711718,3.0,3.0,-1.0,POINT (-77.58127799711718 26.33056888213442),-32.203033569538086,242345.7661983645,2914868.5541492463,0
244,81776,-2.17037777966511,26.330581710027836,-77.58127946708859,3.0,3.0,-1.0,POINT (-77.58127946708861 26.33058171002784),-32.20296341361245,242345.64783626914,2914869.9786386355,0
267,81807,-2.2033378942407955,26.330613790120182,-77.5812831633362,3.0,3.0,-1.0,POINT (-77.5812831633362 26.33061379012018),-32.20278800181768,242345.34982530825,2914873.541052642,0
