,Height_raw,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,x,y,crs,alg,sea_level,Height_adj
0,-32.41706466674805,26.600134839841814,-77.99995876491091,4.0,4.0,-1.0,-8682915.691606218,3073602.091768667,-0.4117655056021406,0.04000112191858219,-32.20071090078617,-0.15796546391636468
1,-31.435810089111328,26.60013487466256,-77.99995848326604,4.0,1.0,-1.0,-8682915.660253655,3073602.0961037492,-0.38014068441179083,0.04128440591089015,-32.20071086955761,0.5584737852655508
2,-32.12191390991211,26.60015420571353,-77.99996097333583,4.0,4.0,-1.0,-8682915.937446956,3073604.5027640075,-0.42333469069588736,2.463470196168038,-32.20065191256968,0.05748864625653506
3,-31.773836135864258,26.600160563039054,-77.99996155345409,4.0,4.0,-1.0,-8682916.002025425,3073605.2942328476,-0.41108328282873713,3.2574747343224084,-32.200632580348746,0.31161509045664987
4,-32.10747528076172,26.600185926482364,-77.99996436596483,4.0,4.0,-1.0,-8682916.315112688,3073608.4519094,-0.4173871393690516,6.430628544787758,-32.200555292479265,0.06796011692670861
5,-31.82895278930664,26.600192279771548,-77.99996496446138,4.0,4.0,-1.0,-8682916.38173702,3073609.2428759453,-0.40722057503999365,7.224330956456699,-32.200535953244476,0.27130245047499485
6,-31.64365005493164,26.60019228634726,-77.99996491127462,4.0,4.0,-1.0,-8682916.375816297,3073609.2436946006,-0.40124843739915395,7.224573300005596,-32.200535947339134,0.40659675116600075
7,-32.252685546875,26.600217632147697,-77.99996779643251,4.0,4.0,-1.0,-8682916.696990604,3073612.3991755424,-0.4158137409458007,10.396323725413152,-32.20045863623603,-0.03813221429876736
8,-32.4741325378418,26.60023664633214,-77.99996988956492,4.0,4.0,-1.0,-8682916.929997038,3073614.766388539,-0.4188420822480863,12.774974645573371,-32.2004006267277,-0.1998587273746406
9,-32.43537139892578,26.60026834186307,-77.99997325490851,4.0,4.0,-1.0,-8682917.304625373,3073618.712394728,-0.4101748960694258,16.738714812409558,-32.2003039033823,-0.17162884047845625
10,-32.42595291137695,26.60028735624554,-77.99997527484052,4.0,4.0,-1.0,-8682917.529483175,3073621.0796334282,-0.4050902993700469,19.116603422590334,-32.20024584363876,-0.1647945507486489
11,-32.03260040283203,26.600312717719834,-77.99997785496686,4.0,4.0,-1.0,-8682917.816701526,3073624.2370683444,-0.38566981665032607,22.28701545819578,-32.20016839309796,0.12234571098038884
12,-32.23476791381836,26.60034438979021,-77.99998127360274,4.0,4.0,-1.0,-8682918.197262332,3073628.1801563776,-0.3831894618938825,26.248424754490856,-32.20007155467948,-0.025332706566093655
13,-32.38090896606445,26.60034438460383,-77.99998131554867,4.0,4.0,-1.0,-8682918.20193173,3073628.1795106847,-0.3878994138010956,26.248233572073673,-32.20007155935475,-0.13203405412117775
14,-32.28154754638672,26.600357057429143,-77.9999826294943,4.0,4.0,-1.0,-8682918.348199489,3073629.7572438424,-0.3809304711588375,27.832716960397537,-32.200032805900165,-0.05951601415271663
15,-32.13188552856445,26.60036339727932,-77.99998325744231,4.0,4.0,-1.0,-8682918.41810234,3073630.546538447,-0.37418872566184724,28.6250722661686,-32.20001342209656,0.04974193196775866
16,-32.257484436035156,26.60036339282188,-77.9999832934923,4.0,4.0,-1.0,-8682918.422115408,3073630.5459835054,-0.3782366470679044,28.624907949084328,-32.200013426116634,-0.04196106641897369
17,-32.31879425048828,26.600369724962125,-77.99998398176434,4.0,4.0,-1.0,-8682918.498733502,3073631.33431829,-0.3782714845032489,29.41695723016923,-32.199994046936396,-0.08673909226400443
18,-32.43533706665039,26.600382388344137,-77.99998535583825,4.0,4.0,-1.0,-8682918.65169471,3073632.910876127,-0.37807827075533673,31.00091799577168,-32.19995528335931,-0.17185831006791338
19,-32.546852111816406,26.600401384863197,-77.99998739721626,4.0,4.0,-1.0,-8682918.87893987,3073635.2758932416,-0.3755846534902756,33.37682626376247,-32.19989711732917,-0.253320788841425
20,-31.920555114746094,26.60040140709055,-77.99998721745398,4.0,4.0,-1.0,-8682918.858928826,3073635.2786604883,-0.3553998040350761,33.37764567221491,-32.1998970972643,0.20395478518076993
21,-32.65773010253906,26.600420379750293,-77.99998943653056,4.0,4.0,-1.0,-8682919.105955299,3073637.640707571,-0.37288198691945507,35.75251048371189,-32.19983893102488,-0.33431815253999825
22,-32.27810287475586,26.600458386135013,-77.9999933372436,4.0,4.0,-1.0,-8682919.540180689,3073642.3724053777,-0.3475639187108852,40.50402338148572,-32.199722477600254,-0.05722754925752397
23,-31.83496856689453,26.600471062893448,-77.99999454492931,4.0,4.0,-1.0,-8682919.674619647,3073643.9506297675,-0.32877410162508003,42.087851970951895,-32.19968363711645,0.2662878781368046
24,-32.22991180419922,26.600496373972,-77.99999732649928,4.0,4.0,-1.0,-8682919.9842626,3073647.101795611,-0.33227930986051746,45.254192547301734,-32.199605954114205,-0.022127082682270576
25,-32.06742477416992,26.600515373396778,-77.99999927946202,4.0,4.0,-1.0,-8682920.201665418,3073649.4671768346,-0.3199542592601956,47.62951155983355,-32.199547647997946,0.09646631740112503
26,-32.125606536865234,26.600540694204824,-78.00000196018986,4.0,4.0,-1.0,-8682920.500082675,3073652.6195551935,-0.31216913019549875,50.795973555287,-32.19946988193136,0.053929533040069866
27,-32.18414306640625,26.600553353529236,-78.00000330824278,4.0,4.0,-1.0,-8682920.65014724,3073654.1956102257,-0.30914146258709163,52.379153795024834,-32.19943098298548,0.011162102143295832
