,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface
3728,0.060516196593339615,-18.62428769790339,-178.49177312884657,4.0,4.0,-1.0,POINT (-178.4917731288466 -18.62428769790339),51.872349910216144
3730,0.1566547923867708,-18.624294042044387,-178.4917737480089,4.0,4.0,-1.0,POINT (-178.4917737480089 -18.62429404204439),51.872397389335674
3733,0.16793513214387293,-18.624306742512953,-178.4917749846628,4.0,4.0,-1.0,POINT (-178.4917749846628 -18.62430674251295),51.872492422684445
3734,0.12627117857883136,-18.624306745150612,-178.49177498437797,4.0,4.0,-1.0,POINT (-178.491774984378 -18.62430674515061),51.87249244241684
3735,0.17635760661419372,-18.624306741979808,-178.49177498472037,4.0,4.0,-1.0,POINT (-178.4917749847204 -18.62430674197981),51.87249241869358
3738,0.13034189949015706,-18.62431309349199,-178.49177560225874,4.0,4.0,-1.0,POINT (-178.4917756022587 -18.62431309349199),51.87253993687773
3739,0.23668121008071213,-18.624313086759944,-178.49177560298577,4.0,4.0,-1.0,POINT (-178.4917756029858 -18.62431308675994),51.87253988651355
3740,-0.0028787303200056296,-18.62431945188441,-178.4917762191792,4.0,4.0,-1.0,POINT (-178.4917762191792 -18.62431945188441),51.87258750115507
3741,0.0944225744296599,-18.624319445724467,-178.4917762198445,4.0,4.0,-1.0,POINT (-178.4917762198445 -18.62431944572447),51.87258745507643
3742,0.11291358236526305,-18.624319444553873,-178.4917762199709,4.0,4.0,-1.0,POINT (-178.4917762199709 -18.62431944455387),51.87258744631981
3743,0.06464589633984562,-18.624319447609487,-178.4917762196409,4.0,4.0,-1.0,POINT (-178.4917762196409 -18.62431944760949),51.87258746917723
3744,0.14319438342922536,-18.62431944263696,-178.49177622017794,4.0,4.0,-1.0,POINT (-178.4917762201779 -18.62431944263696),51.87258743198254
3745,0.2838991401640441,-18.624325784105768,-178.4917768388633,4.0,4.0,-1.0,POINT (-178.4917768388633 -18.62432578410577),51.872634864310385
3746,0.15648846385460977,-18.624332142497646,-178.49177745556722,4.0,4.0,-1.0,POINT (-178.4917774555672 -18.62433214249765),51.87268241784477
3747,0.20281485863561316,-18.624332139565034,-178.49177745588395,4.0,4.0,-1.0,POINT (-178.4917774558839 -18.62433213956503),51.872682395915035
3750,0.2409669558719031,-18.624344837196144,-178.4917786908272,4.0,4.0,-1.0,POINT (-178.4917786908272 -18.62434483719614),51.872777343643975
3751,0.03571091887920451,-18.624344850190198,-178.49177868942374,4.0,4.0,-1.0,POINT (-178.4917786894237 -18.6243448501902),51.87277744079984
3752,0.24761122022949267,-18.624351187924876,-178.4917793081295,4.0,4.0,-1.0,POINT (-178.4917793081295 -18.62435118792488),51.87282482376395
3753,0.20423993306155164,-18.624351190670506,-178.49177930783296,4.0,4.0,-1.0,POINT (-178.491779307833 -18.62435119067051),51.872824844289426
3754,0.3163836208702888,-18.62435118357109,-178.49177930859977,2.0,4.0,-1.0,POINT (-178.4917793085998 -18.62435118357109),51.87282479121495
3755,0.21643636681984688,-18.624351189898523,-178.49177930791635,4.0,4.0,-1.0,POINT (-178.4917793079163 -18.62435118989852),51.87282483851959
3759,-0.03487402537128939,-18.62437025577475,-178.49178115691862,4.0,4.0,-1.0,POINT (-178.4917811569186 -18.62437025577475),51.87296734897609
3760,0.21312662654354655,-18.62437024007487,-178.49178115861451,4.0,4.0,-1.0,POINT (-178.4917811586145 -18.62437024007487),51.872967231644
3762,0.057925155419704034,-18.62437660000608,-178.49178177425202,4.0,4.0,-1.0,POINT (-178.491781774252 -18.62437660000608),51.873014759057696
3763,0.2219099534038389,-18.624376589624898,-178.49178177537343,4.0,4.0,-1.0,POINT (-178.4917817753734 -18.6243765896249),51.873014681485074
3766,0.04307319840708706,-18.62438295056687,-178.49178239070127,4.0,4.0,-1.0,POINT (-178.4917823907013 -18.62438295056687),51.873062211074284
3767,0.1642636025359115,-18.62439564313779,-178.49178362445426,4.0,4.0,-1.0,POINT (-178.4917836244543 -18.62439564313779),51.873157035130134
3768,-0.06714555450189098,-18.62439565778733,-178.49178362287168,4.0,4.0,-1.0,POINT (-178.4917836228717 -18.62439565778733),51.87315714456054
3769,-0.0784280710879143,-18.624408359151076,-178.4917848554115,4.0,4.0,-1.0,POINT (-178.4917848554115 -18.62440835915108),51.87325201282147
3770,0.03127457155002254,-18.624414702308876,-178.49178547233447,4.0,4.0,-1.0,POINT (-178.4917854723345 -18.62441470230888),51.873299382707046
3772,0.08964421352299323,-18.624414698613794,-178.49178547273368,4.0,4.0,-1.0,POINT (-178.4917854727337 -18.62441469861379),51.873299355116615
3773,0.12407935266997917,-18.624421046079373,-178.4917860890284,4.0,4.0,-1.0,POINT (-178.4917860890284 -18.62442104607937),51.87334675182137
3774,0.034704755101466554,-18.624421051737308,-178.49178608841714,4.0,4.0,-1.0,POINT (-178.4917860884171 -18.62442105173731),51.87334679406558
3776,0.1961120402593345,-18.62442739165874,-178.49178670556438,4.0,4.0,-1.0,POINT (-178.4917867055644 -18.62442739165874),51.87339412907386
3777,0.03940778076189347,-18.624427401578963,-178.4917867044926,4.0,4.0,-1.0,POINT (-178.4917867044926 -18.62442740157896),51.87339420314311
3781,-0.04436492413038106,-18.624452807266504,-178.49178916754275,4.0,4.0,-1.0,POINT (-178.4917891675427 -18.6244528072665),51.873583832937584
3783,-0.010241708609724856,-18.624459155419157,-178.4917897835959,4.0,4.0,-1.0,POINT (-178.4917897835959 -18.62445915541916),51.87363120257214
3784,0.005860035331632259,-18.624471855176235,-178.49179101526826,4.0,4.0,-1.0,POINT (-178.4917910152683 -18.62447185517624),51.873725951492816
3786,-0.32683560358686886,-18.624484577718157,-178.49179224453525,3.0,4.0,-1.0,POINT (-178.4917922445352 -18.62448457771816),51.87382084888304
3787,0.07315673258987562,-18.624484552397004,-178.49179224727155,4.0,4.0,-1.0,POINT (-178.4917922472715 -18.624484552397),51.87382066003556
3788,0.07834279325254655,-18.62448455206866,-178.49179224730702,4.0,4.0,-1.0,POINT (-178.491792247307 -18.62448455206866),51.8738206575872
3791,-0.07762175482901794,-18.624490912071067,-178.49179286193234,4.0,4.0,-1.0,POINT (-178.4917928619323 -18.62449091207107),51.87386808876181
3794,-0.04579074544020811,-18.62449726072998,-178.4917934778888,4.0,4.0,-1.0,POINT (-178.4917934778888 -18.62449726072998),51.87391542997648
3795,-0.19281083035980162,-18.624497270036848,-178.491793476883,3.0,4.0,-1.0,POINT (-178.491793476883 -18.62449727003685),51.87391549937092
3797,0.10804081266774132,-18.624503601742116,-178.49179409468613,4.0,4.0,-1.0,POINT (-178.4917940946861 -18.62450360174212),51.873962708807085
3798,-0.016729377616193527,-18.62450996047148,-178.49179470958924,4.0,4.0,-1.0,POINT (-178.4917947095892 -18.62450996047148),51.87401011437032
3799,-0.11754397230517466,-18.62451631729665,-178.49179532462767,4.0,4.0,-1.0,POINT (-178.4917953246277 -18.62451631729665),51.874057500357594
3800,-0.3486200436133559,-18.62452268293064,-178.4917959388437,3.0,4.0,-1.0,POINT (-178.4917959388437 -18.62452268293064),51.87410494661526
3803,-0.13431320090363305,-18.62452901857207,-178.4917965559519,4.0,4.0,-1.0,POINT (-178.4917965559519 -18.62452901857207),51.8741521639713
3804,-0.18055046891650117,-18.624529021499022,-178.49179655563555,3.0,4.0,-1.0,POINT (-178.4917965556355 -18.62452902149902),51.874152185784624
3805,-0.11433323859133555,-18.62453536850661,-178.49179717194804,4.0,4.0,-1.0,POINT (-178.491797171948 -18.62453536850661),51.87419948248862
3807,-0.05337726366304518,-18.624541715477395,-178.4917977882182,4.0,4.0,-1.0,POINT (-178.4917977882182 -18.6245417154774),51.87424677355375
3808,0.06703737097886774,-18.624548059265145,-178.49179840498616,4.0,4.0,-1.0,POINT (-178.4917984049862 -18.62454805926514),51.87429403554779
3810,0.5351492455866942,-18.624554381155082,-178.49179902418376,2.0,4.0,-1.0,POINT (-178.4917990241838 -18.62455438115508),51.87434112907431
3811,-0.3343526001121387,-18.62456078830944,-178.49179963433056,4.0,4.0,-1.0,POINT (-178.4917996343306 -18.62456078830944),51.874388852327684
3814,-0.09225492436554658,-18.624567124744182,-178.4918002520991,4.0,4.0,-1.0,POINT (-178.4918002520991 -18.62456712474418),51.8744360434539
3815,0.04713090041084225,-18.624567115920765,-178.49180025305287,4.0,4.0,-1.0,POINT (-178.4918002530529 -18.62456711592077),51.874435977744724
3817,-0.06721421605065069,-18.624573475044755,-178.49180086844922,4.0,4.0,-1.0,POINT (-178.4918008684492 -18.62457347504476),51.874483332489035
3822,-0.08337789624163691,-18.624579827686645,-178.49180148455807,4.0,4.0,-1.0,POINT (-178.4918014845581 -18.62457982768665),51.87453063358771
3824,-0.12252123486156519,-18.62457983016447,-178.49180148429022,4.0,4.0,-1.0,POINT (-178.4918014842902 -18.62457983016447),51.8745306520359
3825,-0.07054921987296554,-18.624579826874434,-178.4918014846459,4.0,4.0,-1.0,POINT (-178.4918014846459 -18.62457982687443),51.87453062754139
3826,-0.07665161455741669,-18.62457982726077,-178.49180148460414,4.0,4.0,-1.0,POINT (-178.4918014846041 -18.62457982726077),51.87453063041539
3827,0.0015737880665333992,-18.62457982230889,-178.49180148513943,4.0,4.0,-1.0,POINT (-178.4918014851394 -18.62457982230889),51.874530593548116
3830,-0.1419029348201021,-18.624592535828796,-178.49180271689792,4.0,4.0,-1.0,POINT (-178.4918027168979 -18.6245925358288),51.87462524095099
3831,-0.06848868987357423,-18.624598883612236,-178.49180333390038,4.0,4.0,-1.0,POINT (-178.4918033339004 -18.62459888361224),51.87467248977555
3832,0.055386301465218585,-18.624598875770722,-178.4918033347481,4.0,4.0,-1.0,POINT (-178.4918033347481 -18.62459887577072),51.874672431411454
3835,-0.3845787690799723,-18.62461160845467,-178.49180456497763,4.0,4.0,-1.0,POINT (-178.4918045649776 -18.62461160845467),51.87476718917242
3836,-0.18319805030042755,-18.624617948591236,-178.4918051831528,4.0,4.0,-1.0,POINT (-178.4918051831528 -18.62461794859124),51.87481436498274
3837,-0.1547332060880296,-18.624617946789442,-178.4918051833476,4.0,4.0,-1.0,POINT (-178.4918051833476 -18.62461794678944),51.874814351580426
3839,-0.1520159292948799,-18.62462429966166,-178.49180580027272,4.0,4.0,-1.0,POINT (-178.4918058002727 -18.62462429966166),51.87486161679044
3841,-0.24589808372655492,-18.624630659285906,-178.49180641669741,4.0,4.0,-1.0,POINT (-178.4918064166974 -18.62463065928591),51.874908926853095
3842,-0.29018291963571125,-18.624630662089256,-178.49180641639433,4.0,4.0,-1.0,POINT (-178.4918064163943 -18.62463066208926),51.87490894770599
3843,-0.27209576715838263,-18.62463066094434,-178.49180641651813,4.0,4.0,-1.0,POINT (-178.4918064165181 -18.62463066094434),51.87490893918948
3845,-0.20275069534990797,-18.6246370099308,-178.491807034134,4.0,4.0,-1.0,POINT (-178.491807034134 -18.6246370099308),51.87495616474553
3846,-0.23732350466710936,-18.624637012119305,-178.49180703389737,4.0,4.0,-1.0,POINT (-178.4918070338974 -18.6246370121193),51.87495618102548
3849,-0.20928309129220363,-18.624643363892726,-178.49180765135574,4.0,4.0,-1.0,POINT (-178.4918076513557 -18.62464336389273),51.87500342194471
3850,-0.1807246233581137,-18.62464971533629,-178.491808268902,4.0,4.0,-1.0,POINT (-178.491808268902 -18.62464971533629),51.87505065503865
3852,0.1290849789274053,-18.624668757998382,-178.49181012404622,4.0,4.0,-1.0,POINT (-178.4918101240462 -18.62466875799838),51.87519223536219
3854,-0.5064452589024228,-18.624675152738085,-178.49181073767005,4.0,2.0,-1.0,POINT (-178.4918107376701 -18.62467515273809),51.875239768800384
3855,-0.2053028016053766,-18.62467513316298,-178.49181073968052,4.0,4.0,-1.0,POINT (-178.4918107396805 -18.62467513316298),51.8752396233067
3856,-0.02048012565197479,-18.624681476131187,-178.49181135907068,4.0,4.0,-1.0,POINT (-178.4918113590707 -18.62468147613119),51.87528676655347
3857,-0.15313237423580403,-18.624687839869722,-178.4918119764945,4.0,4.0,-1.0,POINT (-178.4918119764945 -18.62468783986972),51.87533405879367
3861,-0.12626729629238465,-18.624694193241787,-178.49181259513,4.0,4.0,-1.0,POINT (-178.49181259513 -18.62469419324179),51.875381268619094
3862,-0.21643567850477458,-18.624694198949637,-178.4918125945127,4.0,4.0,-1.0,POINT (-178.4918125945127 -18.62469419894964),51.87538131103065
3864,-0.2236587805614165,-18.624700554687916,-178.49181321308555,4.0,4.0,-1.0,POINT (-178.4918132130855 -18.62470055468792),51.87542853305786
3865,-0.4021684473443949,-18.624700565987688,-178.49181321186353,4.0,2.0,-1.0,POINT (-178.4918132118635 -18.62470056598769),51.875428617007856
3869,-0.21205873649003415,-18.62471962061294,-178.49181507005906,4.0,4.0,-1.0,POINT (-178.4918150700591 -18.62471962061294),51.87557015729544
3876,0.3342671679871187,-18.62474500965727,-178.4918175521743,3.0,4.0,-1.0,POINT (-178.4918175521743 -18.62474500965727),51.875758675396355
3877,-0.08595971676317037,-18.624745036257618,-178.4918175492971,4.0,4.0,-1.0,POINT (-178.4918175492971 -18.62474503625762),51.87575887286221
3878,-0.11753388651861106,-18.624751395342543,-178.49181816924366,4.0,4.0,-1.0,POINT (-178.4918181692437 -18.62475139534254),51.87580607672862
3879,0.0055407202994385545,-18.624757744951133,-178.49181879047586,4.0,4.0,-1.0,POINT (-178.4918187904759 -18.62475774495113),51.87585320487415
3880,0.10144663467250238,-18.624757738880252,-178.49181879113252,4.0,4.0,-1.0,POINT (-178.4918187911325 -18.62475773888025),51.87585315981414
3882,0.15499405212858086,-18.62476409306572,-178.4918194120945,4.0,4.0,-1.0,POINT (-178.4918194120945 -18.62476409306572),51.87590031656873
3885,0.15656667458801626,-18.624770450317012,-178.4918200328775,4.0,4.0,-1.0,POINT (-178.4918200328775 -18.62477045031701),51.87594749069467
3886,0.28399002308294113,-18.62477044225113,-178.49182003375003,3.0,4.0,-1.0,POINT (-178.49182003375 -18.62477044225113),51.87594743084628
3888,-0.2811467783151587,-18.624776836101816,-178.4918206509266,4.0,4.0,-1.0,POINT (-178.4918206509266 -18.62477683610182),51.8759948711413
3890,0.1841103573322702,-18.624783165459714,-178.4918212754374,4.0,4.0,-1.0,POINT (-178.4918212754374 -18.62478316545971),51.87604182755604
3893,0.09461953680080028,-18.62479588857814,-178.49182251809708,4.0,4.0,-1.0,POINT (-178.4918225180971 -18.62479588857814),51.87613620205593
3895,0.06458460243740062,-18.624808608527868,-178.4918237621007,4.0,4.0,-1.0,POINT (-178.4918237621007 -18.62480860852787),51.87623053151037
3897,0.01098323978661315,-18.624808611920876,-178.4918237617336,4.0,4.0,-1.0,POINT (-178.4918237617336 -18.62480861192088),51.876230556670635
3898,0.15798560702836012,-18.62481496228626,-178.4918243852478,4.0,4.0,-1.0,POINT (-178.4918243852478 -18.62481496228626),51.87627764206991
3899,-0.001048091185238962,-18.624821332300783,-178.49182500692515,4.0,4.0,-1.0,POINT (-178.4918250069252 -18.62482133230078),51.87632486777511
3900,0.24925871374874486,-18.624821316456682,-178.4918250086393,4.0,4.0,-1.0,POINT (-178.4918250086393 -18.62482131645668),51.87632475031569
3901,0.1687438687849998,-18.624821321553224,-178.49182500808791,4.0,4.0,-1.0,POINT (-178.4918250080879 -18.62482132155322),51.8763247880961
3904,0.06647553397175955,-18.624827688255056,-178.49182563041725,4.0,4.0,-1.0,POINT (-178.4918256304173 -18.62482768825506),51.87637198384982
3906,0.2413411498504206,-18.62483403722499,-178.49182625486552,4.0,4.0,-1.0,POINT (-178.4918262548655 -18.62483403722499),51.87641904278644
3908,0.18438539808457322,-18.624840401629704,-178.49182687804438,4.0,4.0,-1.0,POINT (-178.4918268780444 -18.6248404016297),51.87646621073873
