,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface
6600,0.10470900437332359,-18.629517995731437,-178.5230822979338,4.0,4.0,-1.0,POINT (-178.5230822979338 -18.62951799573144),51.61864597751992
6601,0.2409828158106456,-18.629524377964923,-178.52308294786116,4.0,4.0,-1.0,POINT (-178.5230829478612 -18.62952437796492),51.61897525645327
6604,0.2450703983202813,-18.62953076810519,-178.5230836093869,4.0,4.0,-1.0,POINT (-178.5230836093869 -18.62953076810519),51.619304832594935
6605,0.12771536825941335,-18.629530774885357,-178.52308361940155,4.0,4.0,-1.0,POINT (-178.5230836194015 -18.62953077488536),51.619305182190146
6606,0.2371436767266841,-18.62953076856325,-178.5230836100635,4.0,4.0,-1.0,POINT (-178.5230836100635 -18.62953076856325),51.61930485616904
6608,0.14991250687576513,-18.629537163774856,-178.52308427965175,4.0,4.0,-1.0,POINT (-178.5230842796518 -18.62953716377486),51.61963458277751
6609,0.2740244682641164,-18.62953715660428,-178.5230842690605,4.0,4.0,-1.0,POINT (-178.5230842690605 -18.62953715660428),51.61963421310065
6610,0.29503240859265867,-18.62954354535986,-178.52308492968305,4.0,4.0,-1.0,POINT (-178.5230849296831 -18.62954354535986),51.61996349605033
6614,0.2553060591963788,-18.629549936947708,-178.52308559571097,4.0,4.0,-1.0,POINT (-178.523085595711 -18.62954993694771),51.62029281404102
6615,0.35396314677416224,-18.629556321769865,-178.5230862503507,4.0,4.0,-1.0,POINT (-178.5230862503507 -18.62955632176986),51.62062167271506
6616,0.07565890367022506,-18.629556337848896,-178.5230862741001,4.0,4.0,-1.0,POINT (-178.5230862741001 -18.6295563378489),51.620622500777245
6617,0.32873188499612044,-18.62955632322763,-178.52308625250387,4.0,4.0,-1.0,POINT (-178.5230862525039 -18.62955632322763),51.62062174780294
6619,0.2061372135565302,-18.62956271920771,-178.52308692614997,4.0,4.0,-1.0,POINT (-178.52308692615 -18.62956271920771),51.62095107015921
6621,0.2976225851205703,-18.629569103100717,-178.5230875818516,4.0,4.0,-1.0,POINT (-178.5230875818516 -18.62956910310072),51.621279659331776
6622,0.04197049517401852,-18.6295691178709,-178.5230876036678,4.0,4.0,-1.0,POINT (-178.5230876036678 -18.6295691178709),51.62128041946562
6623,0.25202304683790233,-18.62956910573522,-178.52308758574287,4.0,4.0,-1.0,POINT (-178.5230875857429 -18.62956910573522),51.621279794955626
6624,0.4333934555662052,-18.629569095256606,-178.5230875702655,4.0,3.0,-1.0,POINT (-178.5230875702655 -18.62956909525661),51.62127925566165
6625,0.46311677477101987,-18.629575482525226,-178.5230882315134,4.0,3.0,-1.0,POINT (-178.5230882315134 -18.62957548252523),51.621607908047736
6627,0.4335350074225702,-18.629575484234294,-178.52308823403774,4.0,3.0,-1.0,POINT (-178.5230882340377 -18.62957548423429),51.621607995941304
6628,0.13464524169385492,-18.62957550150253,-178.52308825954364,4.0,4.0,-1.0,POINT (-178.5230882595436 -18.62957550150253),51.621608884306625
6630,0.20686029344196938,-18.629575497330354,-178.52308825338116,4.0,4.0,-1.0,POINT (-178.5230882533812 -18.62957549733035),51.62160866963677
6631,0.2317991075684849,-18.629575495889544,-178.52308825125306,4.0,4.0,-1.0,POINT (-178.5230882512531 -18.62957549588954),51.62160859553842
6632,0.2427278849804761,-18.629581884053152,-178.5230889143811,4.0,4.0,-1.0,POINT (-178.5230889143811 -18.62958188405315),51.62193718284834
6634,0.2661961056053062,-18.62958188269721,-178.52308891237834,4.0,4.0,-1.0,POINT (-178.5230889123783 -18.62958188269721),51.62193711317377
6635,0.2480167080577849,-18.629588271877996,-178.52308957821847,4.0,4.0,-1.0,POINT (-178.5230895782185 -18.629588271878),51.622265641984995
6641,0.3523644117785259,-18.629601042504152,-178.52309089882587,4.0,4.0,-1.0,POINT (-178.5230908988259 -18.62960104250415),51.62292196956696
6642,0.6132776992756183,-18.629607415958326,-178.52309154178548,4.0,3.0,-1.0,POINT (-178.5230915417855 -18.62960741595833),51.62324935826473
6644,0.2904184061411376,-18.629613822552184,-178.52309223480032,4.0,4.0,-1.0,POINT (-178.5230922348003 -18.62961382255218),51.62357833806891
6649,0.3393853898428244,-18.629620207416703,-178.52309289635915,4.0,4.0,-1.0,POINT (-178.5230928963591 -18.6296202074167),51.623906091204844
6652,0.20487991330847805,-18.62963937674307,-178.5230949066955,4.0,4.0,-1.0,POINT (-178.5230949066955 -18.62963937674307),51.62488944164943
6653,0.14399233101972325,-18.629639380260738,-178.52309491189123,4.0,4.0,-1.0,POINT (-178.5230949118912 -18.62963938026074),51.62488962197676
6655,0.17710622117278363,-18.62964576534868,-178.52309557593568,4.0,4.0,-1.0,POINT (-178.5230955759357 -18.62964576534868),51.62521694338648
6660,0.25742680525403133,-18.629652147541268,-178.52309623623637,4.0,4.0,-1.0,POINT (-178.5230962362364 -18.62965214754127),51.62554400571389
6662,0.4359848076565855,-18.629658523416794,-178.5230968883897,4.0,3.0,-1.0,POINT (-178.5230968883897 -18.62965852341679),51.625870633812156
6663,0.36126306318535184,-18.62965852773382,-178.52309689476613,4.0,4.0,-1.0,POINT (-178.5230968947661 -18.62965852773382),51.62587085500127
6664,0.51807901580069,-18.629658518673807,-178.5230968813841,4.0,3.0,-1.0,POINT (-178.5230968813841 -18.62965851867381),51.62587039091159
6665,0.49130753051225623,-18.629658520220516,-178.52309688366867,4.0,3.0,-1.0,POINT (-178.5230968836687 -18.62965852022052),51.62587047013221
6666,0.24425897190427462,-18.629658534493597,-178.5230969047506,4.0,4.0,-1.0,POINT (-178.5230969047506 -18.6296585344936),51.625871201220434
6668,0.34354147265502655,-18.629664915261465,-178.52309756400456,4.0,4.0,-1.0,POINT (-178.5230975640046 -18.62966491526146),51.62619796930812
6669,0.37873544768948464,-18.629664913228254,-178.52309756100144,4.0,4.0,-1.0,POINT (-178.5230975610014 -18.62966491322825),51.62619786517462
6670,0.2322554275911682,-18.62966492169104,-178.5230975735013,4.0,4.0,-1.0,POINT (-178.5230975735013 -18.62966492169104),51.626198298472445
6673,0.20985204901099727,-18.629671307424772,-178.52309824322703,4.0,4.0,-1.0,POINT (-178.523098243227 -18.62967130742477),51.62652521004202
6674,0.21293528187811298,-18.629671307246593,-178.52309824296384,4.0,4.0,-1.0,POINT (-178.5230982429638 -18.62967130724659),51.626525200903416
6675,0.5225369806409045,-18.629671289359433,-178.52309821654376,4.0,3.0,-1.0,POINT (-178.5230982165438 -18.62967128935943),51.626524285413325
6676,0.01553039329994393,-18.629671318651585,-178.5230982598095,4.0,4.0,-1.0,POINT (-178.5230982598095 -18.62967131865159),51.626525784726255
6683,0.185353508124602,-18.629690466445755,-178.52310025103102,4.0,4.0,-1.0,POINT (-178.523100251031 -18.62969046644575),51.62750537338434
6684,0.31203738591484476,-18.62969684484564,-178.52310090938477,4.0,4.0,-1.0,POINT (-178.5231009093848 -18.62969684484564),51.62783146707807
6685,0.08763819559539177,-18.629696857810323,-178.52310092853412,4.0,4.0,-1.0,POINT (-178.5231009285341 -18.62969685781032),51.62783212977229
6689,0.31090784046312225,-18.62970323047955,-178.52310157893461,4.0,4.0,-1.0,POINT (-178.5231015789346 -18.62970323047955),51.6281578199123
6691,0.20281922246663317,-18.6297032367244,-178.5231015881585,4.0,4.0,-1.0,POINT (-178.5231015881585 -18.6297032367244),51.62815813906491
6693,0.32019228196941446,-18.629709615839463,-178.5231022479353,4.0,4.0,-1.0,POINT (-178.5231022479353 -18.62970961583946),51.62848404800752
6694,0.3442314713005711,-18.629709614450523,-178.52310224588376,4.0,4.0,-1.0,POINT (-178.5231022458838 -18.62970961445052),51.62848397711059
6697,0.42011050379230547,-18.629715995341236,-178.52310290944152,4.0,3.0,-1.0,POINT (-178.5231029094415 -18.62971599534124),51.62880986632081
6698,0.3750847205722827,-18.629715997942604,-178.52310291328382,4.0,4.0,-1.0,POINT (-178.5231029132838 -18.6297159979426),51.62880999915069
6699,0.1485464857351363,-18.629716011030755,-178.5231029326156,4.0,4.0,-1.0,POINT (-178.5231029326156 -18.62971601103076),51.62881066749105
