,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface
83,-0.3055168203196236,-18.629370836106215,-178.52111242099213,4.0,4.0,-1.0,POINT (-178.5211124209921 -18.62937083610622),52.18461459070204
84,-0.5192731954327288,-18.629606139937408,-178.52113681493026,4.0,1.0,-1.0,POINT (-178.5211368149303 -18.62960613993741),52.18353115046011
85,-0.19932857540434315,-18.629708032960576,-178.52114749721605,4.0,4.0,-1.0,POINT (-178.521147497216 -18.62970803296058),52.183062868527486
87,-0.10027251201659655,-18.629822749054775,-178.52115966855365,4.0,4.0,-1.0,POINT (-178.5211596685537 -18.62982274905477),52.18253628867751
88,-0.09618214232191329,-18.629937249296166,-178.52117179172564,4.0,4.0,-1.0,POINT (-178.5211717917256 -18.62993724929617),52.18201136992502
89,-1.735240710528842,-18.63003324166829,-178.5211824936648,4.0,1.0,-1.0,POINT (-178.5211824936648 -18.63003324166829),52.18157181529568
90,-0.0692553987433578,-18.630046193867702,-178.5211837539132,4.0,4.0,-1.0,POINT (-178.5211837539132 -18.6300461938677),52.18151254246186
91,-0.1379457524835913,-18.630078252739168,-178.5211872995194,4.0,4.0,-1.0,POINT (-178.5211872995194 -18.63007825273917),52.1813658690844
92,-0.7586749325478556,-18.63010386153633,-178.5211901938286,4.0,1.0,-1.0,POINT (-178.5211901938286 -18.63010386153633),52.18124874332352
94,-0.8049799051348682,-18.630110272981533,-178.52119090818653,4.0,1.0,-1.0,POINT (-178.5211909081865 -18.63011027298153),52.181219424837764
95,-0.006324715402074886,-18.630116748765293,-178.5211915450616,4.0,4.0,-1.0,POINT (-178.5211915450616 -18.63011674876529),52.18118981427506
96,-0.0333549815188967,-18.630135995341732,-178.52119368063103,4.0,4.0,-1.0,POINT (-178.521193680631 -18.63013599534173),52.181101821824996
97,-0.16480362314769298,-18.630161655098302,-178.52119654090183,4.0,4.0,-1.0,POINT (-178.5211965409018 -18.6301616550983),52.18098453870698
98,-0.14422822968758914,-18.630174493167065,-178.52119796471337,4.0,4.0,-1.0,POINT (-178.5211979647134 -18.63017449316706),52.18092587233332
99,-0.11863005892758091,-18.630200171849708,-178.52120081688338,4.0,4.0,-1.0,POINT (-178.5212008168834 -18.63020017184971),52.1808085532175
100,-0.7764445120274722,-18.63020654022389,-178.5212015915075,4.0,1.0,-1.0,POINT (-178.5212015915075 -18.63020654022389),52.18077946300946
101,-0.1874485892021202,-18.630232268861608,-178.52120439679234,4.0,4.0,-1.0,POINT (-178.5212043967923 -18.63023226886161),52.18066195780921
102,-0.03997210992791418,-18.630611399573894,-178.52124679447905,4.0,4.0,-1.0,POINT (-178.5212467944791 -18.63061139957389),52.178934350869895
104,-1.0020436632324456,-18.631080178436164,-178.5212989218343,4.0,0.0,-1.0,POINT (-178.5212989218343 -18.63108017843616),52.176808390167935
105,-0.2286608419249127,-18.6315596564713,-178.52135012408036,4.0,4.0,-1.0,POINT (-178.5213501240804 -18.6315596564713),52.17464551923695
