,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface
2098,0.11366495597063497,-18.647791540680775,-178.4810280531346,4.0,4.0,-1.0,POINT (-178.4810280531346 -18.64779154068077),52.560584223641854
2099,0.3116212156816366,-18.647797899094286,-178.48102872930158,4.0,4.0,-1.0,POINT (-178.4810287293016 -18.64779789909429),52.56057233298998
2100,0.1675590876417702,-18.647797909654802,-178.48102872206695,4.0,4.0,-1.0,POINT (-178.481028722067 -18.6477979096548),52.56057231324485
2101,0.043695977727106455,-18.647810664609345,-178.48103004889194,4.0,4.0,-1.0,POINT (-178.4810300488919 -18.64781066460935),52.56054846909501
2102,0.08022120290413777,-18.64781066193184,-178.48103005072622,4.0,4.0,-1.0,POINT (-178.4810300507262 -18.64781066193184),52.56054847410269
2103,0.3067702325518442,-18.64781688991109,-178.48103057626471,4.0,4.0,-1.0,POINT (-178.4810305762647 -18.64781688991109),52.560536835595485
2104,0.25883400786254535,-18.647816893425215,-178.48103057385725,4.0,4.0,-1.0,POINT (-178.4810305738573 -18.64781689342522),52.56053682902893
2105,0.24991577002358148,-18.64781689407884,-178.48103057340947,4.0,4.0,-1.0,POINT (-178.4810305734095 -18.64781689407884),52.56053682780657
2106,0.38398213436556894,-18.64782326609529,-178.4810312570049,4.0,4.0,-1.0,POINT (-178.4810312570049 -18.64782326609529),52.56052492291565
2107,0.23236129892357202,-18.64782965970215,-178.48103192652292,4.0,4.0,-1.0,POINT (-178.4810319265229 -18.64782965970215),52.56051298051534
2108,0.11052582515408668,-18.647842432703825,-178.48103327516571,4.0,4.0,-1.0,POINT (-178.4810332751657 -18.64784243270383),52.56048913074483
2111,0.1079793862855557,-18.647880730046015,-178.48103734443058,4.0,4.0,-1.0,POINT (-178.4810373444306 -18.64788073004602),52.5604176896486
2112,-0.01309692170527565,-18.647925424815195,-178.4810420947537,4.0,4.0,-1.0,POINT (-178.4810420947537 -18.6479254248152),52.560334443120155
2113,0.009004657604221948,-18.64794457688971,-178.48104413709316,4.0,4.0,-1.0,POINT (-178.4810441370932 -18.64794457688971),52.56029881367067
2114,0.12799990858419308,-18.647944568166768,-178.48104414306897,4.0,4.0,-1.0,POINT (-178.481044143069 -18.64794456816677),52.56029882989242
2116,-0.10058679667143872,-18.647963739974266,-178.48104617436118,4.0,4.0,-1.0,POINT (-178.4810461743612 -18.64796373997427),52.56026318918339
2118,-0.1655781203552316,-18.647995673735927,-178.4810495790638,4.0,4.0,-1.0,POINT (-178.4810495790638 -18.64799567373593),52.56020388033721
2119,-0.16688130072722912,-18.64800205945758,-178.48105026098898,4.0,4.0,-1.0,POINT (-178.481050260989 -18.64800205945758),52.560192028960955
2121,-0.03220444314674821,-18.6480212086558,-178.48105231474318,4.0,4.0,-1.0,POINT (-178.4810523147432 -18.6480212086558),52.560156506559
2122,-0.05155856784145156,-18.648027596204912,-178.4810529963304,4.0,4.0,-1.0,POINT (-178.4810529963304 -18.64802759620491),52.56014466309716
2123,-0.04491834219021897,-18.648033982445963,-178.48105367940903,4.0,4.0,-1.0,POINT (-178.481053679409 -18.64803398244596),52.56013282488493
2124,-9.741843384904076,-18.648066631764525,-178.48105660840608,4.0,1.0,-1.0,POINT (-178.4810566084061 -18.64806663176453),52.56007234681783
2125,-0.09596144618106876,-18.64806592159407,-178.48105709249998,4.0,4.0,-1.0,POINT (-178.4810570925 -18.64806592159407),52.56007366151789
2126,-0.1641517076517625,-18.64806592659278,-178.4810570890756,4.0,4.0,-1.0,POINT (-178.4810570890756 -18.64806592659278),52.56007365226469
2127,-0.0750295073914324,-18.64809147039998,-178.48105982821897,4.0,4.0,-1.0,POINT (-178.481059828219 -18.64809147039998),52.560026386372556
2128,-0.15334651859128848,-18.648097863515442,-178.48106050817617,4.0,4.0,-1.0,POINT (-178.4810605081762 -18.64809786351544),52.56001456371814
2129,-0.22255563618563315,-18.64811064269197,-178.4810618726876,4.0,4.0,-1.0,POINT (-178.4810618726876 -18.64811064269197),52.559990939947966
2130,-0.26962209170499546,-18.648129810483983,-178.48106392329225,4.0,4.0,-1.0,POINT (-178.4810639232923 -18.64812981048398),52.55995552730565
2131,-0.21112131315099367,-18.64813619463523,-178.4810646107511,4.0,4.0,-1.0,POINT (-178.4810646107511 -18.64813619463523),52.55994373819158
2132,-0.18754072603421867,-18.648161747567357,-178.4810673508569,4.0,4.0,-1.0,POINT (-178.4810673508569 -18.64816174756736),52.559896579858105
2133,-0.2459604758527412,-18.64816175184987,-178.4810673479232,4.0,4.0,-1.0,POINT (-178.4810673479232 -18.64816175184987),52.559896571956415
2134,-0.2964975914433478,-18.648174533401548,-178.48106871530774,4.0,4.0,-1.0,POINT (-178.4810687153077 -18.64817453340155),52.5598730003876
2136,-0.07595220086575173,-18.648212852671104,-178.48107283771802,4.0,4.0,-1.0,POINT (-178.481072837718 -18.6482128526711),52.55980240034296
2137,-5.800519037362631,-18.648226052950907,-178.4810739212922,4.0,1.0,-1.0,POINT (-178.4810739212922 -18.64822605295091),52.55977810350123
2138,-0.015425916756673947,-18.64823840615347,-178.4810755826713,4.0,4.0,-1.0,POINT (-178.4810755826713 -18.64823840615347),52.55975537674931
2139,0.022668482879126664,-18.64827035277358,-178.4810790129237,4.0,4.0,-1.0,POINT (-178.4810790129237 -18.64827035277358),52.55969665213706
2140,0.010706226479076755,-18.648276743704532,-178.48107969807978,4.0,4.0,-1.0,POINT (-178.4810796980798 -18.64827674370453),52.55968491275053
2141,0.1341663793850919,-18.64828312476146,-178.4810803900591,4.0,4.0,-1.0,POINT (-178.4810803900591 -18.64828312476146),52.559673194324205
2142,0.27052740597610275,-18.648283114765317,-178.4810803969067,4.0,4.0,-1.0,POINT (-178.4810803969067 -18.64828311476532),52.55967321267781
2143,-0.07467691514356925,-18.64828314007068,-178.48108037957195,4.0,4.0,-1.0,POINT (-178.4810803795719 -18.64828314007068),52.55967316621354
2144,-10.240896888388962,-18.648290278070288,-178.48108055511818,4.0,1.0,-1.0,POINT (-178.4810805551182 -18.64829027807029),52.55966006106064
2145,0.08489903471145724,-18.648289518055236,-178.48108107333397,4.0,4.0,-1.0,POINT (-178.481081073334 -18.64828951805524),52.559661456256435
2146,0.408490552185582,-18.648302274798265,-178.48108246123158,4.0,4.0,-1.0,POINT (-178.4810824612316 -18.64830227479827),52.55963804338171
2147,0.17273140893004152,-18.648315072799885,-178.4810838210912,4.0,4.0,-1.0,POINT (-178.4810838210912 -18.64831507279989),52.55961456611476
2148,-0.03581367108215012,-18.64832147609604,-178.48108449622066,4.0,4.0,-1.0,POINT (-178.4810844962207 -18.64832147609604),52.559602823863315
2150,-0.034849594129325,-18.648334256924688,-178.48108586798958,4.0,4.0,-1.0,POINT (-178.4810858679896 -18.64833425692469),52.55957939509972
2151,-0.10474997373045555,-18.648334262048838,-178.48108586447947,4.0,4.0,-1.0,POINT (-178.4810858644795 -18.64833426204884),52.559579385706456
2152,0.18441057488366322,-18.648340631358465,-178.48108656485746,4.0,4.0,-1.0,POINT (-178.4810865648575 -18.64834063135847),52.5595677142428
2153,-0.04112409263230587,-18.648353428534854,-178.4810879251768,4.0,4.0,-1.0,POINT (-178.4810879251768 -18.64835342853485),52.55954427250617
2154,-0.0014959567182787309,-18.64835981623916,-178.48108861299934,4.0,4.0,-1.0,POINT (-178.4810886129993 -18.64835981623916),52.55953257582223
2155,-0.14478379707423833,-18.648359826742926,-178.48108860580413,4.0,4.0,-1.0,POINT (-178.4810886058041 -18.64835982674293),52.559532556591876
2156,0.03551389482753047,-18.64835981352612,-178.4810886148578,4.0,4.0,-1.0,POINT (-178.4810886148578 -18.64835981352612),52.55953258078989
2157,0.08355372573811412,-18.648378982486136,-178.48109067472438,4.0,4.0,-1.0,POINT (-178.4810906747244 -18.64837898248614),52.55949749700085
2158,0.09813465035126362,-18.64839176240969,-178.4810920469007,4.0,4.0,-1.0,POINT (-178.4810920469007 -18.64839176240969),52.55947412082787
2159,0.0888294446244842,-18.648398153860445,-178.48109273214084,4.0,4.0,-1.0,POINT (-178.4810927321408 -18.64839815386044),52.55946243426479
2160,-10.624898171985727,-18.64841811572913,-178.4810942514882,4.0,1.0,-1.0,POINT (-178.4810942514882 -18.64841811572913),52.5594259528516
2161,0.006359935466236612,-18.648417332806474,-178.4810947849786,4.0,4.0,-1.0,POINT (-178.4810947849786 -18.64841733280647),52.5594273831648
2162,-0.057321073409380134,-18.648417337474662,-178.4810947817809,4.0,4.0,-1.0,POINT (-178.4810947817809 -18.64841733747466),52.55942737463738
2163,0.01584128254121407,-18.648436504202753,-178.48109684198323,4.0,4.0,-1.0,POINT (-178.4810968419832 -18.64843650420275),52.55939237134044
2164,-0.11427514469643887,-18.64844290462125,-178.48109752088592,4.0,4.0,-1.0,POINT (-178.4810975208859 -18.64844290462125),52.559380688226156
2165,0.15536105666271563,-18.64844927526876,-178.48109821976155,4.0,4.0,-1.0,POINT (-178.4810982197615 -18.64844927526876),52.55936906227544
2166,0.17624733577425944,-18.648449273737615,-178.48109822081037,4.0,4.0,-1.0,POINT (-178.4810982208104 -18.64844927373762),52.559369065069404
