,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev,x,y,labels
2206,-1.1854788434311558,-18.64894777335626,-178.48115126461772,4.0,4.0,-1.0,52.520957519187505,50.9403190612793,-19868430.87497448,-2113648.4825472645,0
2207,-1.070455575548749,-18.648954152782885,-178.4811519446047,4.0,4.0,-1.0,52.52096688027268,51.093692779541016,-19868430.950670283,-2113649.232054232,0
2214,-1.2145700103883428,-18.649005258523214,-178.4811573245831,4.0,4.0,-1.0,52.521041823340056,50.901615142822266,-19868431.549566742,-2113655.236373614,0
2220,-1.2320570630145085,-18.64904996672235,-178.48116202629336,4.0,4.0,-1.0,52.52110731367429,50.87836456298828,-19868432.072958734,-2113660.4890591395,0
2221,-1.0811422417937138,-18.64905634233119,-178.4811627045811,4.0,4.0,-1.0,52.52111664750555,51.079593658447266,-19868432.14846538,-2113661.238118012,0
2222,-1.187463584963325,-18.649056349918702,-178.48116269938419,4.0,4.0,-1.0,52.52111665861321,50.93783187866211,-19868432.14788686,-2113661.2390094553,0
2223,-1.2967874299658888,-18.649062743542675,-178.4811633646787,4.0,4.0,-1.0,52.52112601746103,50.792076110839844,-19868432.221947107,-2113661.9901849227,0
2224,-1.2528850293701908,-18.64906274040975,-178.48116336682455,4.0,4.0,-1.0,52.52112601287445,50.85061264038086,-19868432.22218598,-2113661.989816842,0
2228,-1.6468590781812509,-18.6490755408796,-178.48116468827175,4.0,4.0,-1.0,52.52114474584323,50.32533264160156,-19868432.36928881,-2113663.4937212793,0
2236,-1.2762966849682016,-18.64913307864063,-178.48117082969225,4.0,4.0,-1.0,52.52122888277336,50.81949996948242,-19868433.052948613,-2113670.253731901,0
2246,-1.3743876669645942,-18.649209586597543,-178.4811786993209,4.0,4.0,-1.0,52.5213405892373,50.68882369995117,-19868433.928991668,-2113679.2425211077,0
2250,-1.1079627468843682,-18.649235066413926,-178.48118133057167,4.0,4.0,-1.0,52.52137774820585,51.04409408569336,-19868434.221901163,-2113682.2361021247,0
2254,-1.6334841966909153,-18.64927972622356,-178.4811858795214,4.0,4.0,-1.0,52.5214428266263,50.34346389770508,-19868434.72828793,-2113687.483109555,0
2255,-1.7930091267292028,-18.649279737607852,-178.48118587172388,4.0,4.0,-1.0,52.521442843207296,50.13076400756836,-19868434.727419917,-2113687.484447076,0
2256,-1.2851542451469413,-18.649292450815146,-178.48118720200162,4.0,4.0,-1.0,52.521461356810505,50.80792236328125,-19868434.875505757,-2113688.978101101,0
2257,-1.438451965753302,-18.649298835736737,-178.48118784690095,4.0,4.0,-1.0,52.521470652824064,50.60353469848633,-19868434.94729562,-2113689.7282551844,0
2258,-1.4915893620839142,-18.64931158839164,-178.48118914867436,4.0,4.0,-1.0,52.52148921577009,50.5327033996582,-19868435.092208374,-2113691.2265440132,0
2259,-1.2485348412624262,-18.64933069377519,-178.48119111581718,4.0,4.0,-1.0,52.521517015726204,50.85680389404297,-19868435.31118971,-2113693.471204882,0
2260,-1.6638879736594845,-18.649337097802892,-178.48119174696188,4.0,4.0,-1.0,52.52152633141577,50.303009033203125,-19868435.381448418,-2113694.2236038814,0
2264,-1.5466514286167694,-18.64939445864109,-178.4811976088588,4.0,4.0,-1.0,52.521609711218844,50.459407806396484,-19868436.033991795,-2113700.9628385273,0
2270,-1.8656096863851417,-18.649439101260725,-178.48120214016203,4.0,4.0,-1.0,52.52167452813592,50.03419494628906,-19868436.538414165,-2113706.207831257,0
2272,-1.3160842864845108,-18.64948368446482,-178.48120670813276,4.0,4.0,-1.0,52.52173919268898,50.76696014404297,-19868437.046918344,-2113711.4458447234,1
2275,-1.3624560614516668,-18.64951556264162,-178.48120994640072,4.0,4.0,-1.0,52.52178538906446,50.705177307128906,-19868437.407400683,-2113715.191164521,1
2276,-1.6902103583406642,-18.64952196175285,-178.4812105782625,4.0,4.0,-1.0,52.521794658288854,50.26818084716797,-19868437.477739215,-2113715.942986711,1
2280,-1.3217053953965205,-18.649585691465493,-178.48121707013206,4.0,4.0,-1.0,52.52188689763807,50.759613037109375,-19868438.200410828,-2113723.4304986903,1
2285,-1.6103902637075862,-18.649611216959546,-178.4812196436566,4.0,4.0,-1.0,52.52192380416545,50.37473678588867,-19868438.48689427,-2113726.429452945,1
2289,-1.572756581067324,-18.649643094727303,-178.48122287855665,4.0,4.0,-1.0,52.52196986484432,50.42496109008789,-19868438.847001694,-2113730.1747274958,1
2293,-1.528497245584731,-18.64966222282284,-178.4812248202093,4.0,4.0,-1.0,52.52199748711428,50.48400115966797,-19868439.06314548,-2113732.4220611486,1
2295,-1.4751501119121713,-18.649674974226045,-178.48122611568144,4.0,4.0,-1.0,52.522015894252036,50.55514907836914,-19868439.207356777,-2113733.920206124,1
2296,-1.4635171917016123,-18.649674973395875,-178.4812261162501,4.0,4.0,-1.0,52.52201589305332,50.57065963745117,-19868439.20742008,-2113733.920108589,1
2297,-1.4430517927544315,-18.649687726667544,-178.48122740989984,4.0,4.0,-1.0,52.522034297484424,50.597965240478516,-19868439.351428512,-2113735.418473201,1
2299,-1.2926816337578657,-18.649700471632993,-178.4812287098484,4.0,4.0,-1.0,52.52205268452872,50.79847717285156,-19868439.496138126,-2113736.9158620387,1
2301,-1.5071222194728762,-18.649706864497436,-178.48122934558538,4.0,4.0,-1.0,52.52206190542347,50.51256561279297,-19868439.56690804,-2113737.6669511204,1
2302,-1.324552924631007,-18.6497132296339,-178.48123000075992,4.0,4.0,-1.0,52.522071084973504,50.75600051879883,-19868439.639841735,-2113738.4147825073,1
2306,-1.4058805177110116,-18.64974512825957,-178.4812332278512,4.0,4.0,-1.0,52.522117067641375,50.64760971069336,-19868439.999079894,-2113742.1625098814,1
2308,-1.1309802780181144,-18.649751487692086,-178.48123388749255,4.0,4.0,-1.0,52.52212623087962,51.01415252685547,-19868440.072510835,-2113742.9096712866,1
2310,-1.3669157243621157,-18.649757883648846,-178.48123452215125,4.0,4.0,-1.0,52.52213544538972,50.699581146240234,-19868440.14316072,-2113743.661123906,1
2311,-1.5098576416596643,-18.649770652524325,-178.48123580755328,4.0,4.0,-1.0,52.52215383715429,50.509010314941406,-19868440.286251016,-2113745.1613225196,1
2312,-1.3626448620218525,-18.649777021102267,-178.48123646090357,4.0,4.0,-1.0,52.52216300816781,50.70530319213867,-19868440.35898164,-2113745.909558523,1
2319,-1.232470199285217,-18.649834434812128,-178.4812422837186,4.0,4.0,-1.0,52.52224562541414,50.87895202636719,-19868441.007174443,-2113752.6550224596,1
2320,-1.1635052357867153,-18.649834429890735,-178.48124228708983,4.0,4.0,-1.0,52.522245618337365,50.97090530395508,-19868441.007549725,-2113752.6544442503,1
2326,-1.2521987752757013,-18.649891870302742,-178.48124810124548,4.0,4.0,-1.0,52.52232816439755,50.85272979736328,-19868441.654778574,-2113759.4030476715,1
2327,-1.4193769421165143,-18.649891882232776,-178.4812480930731,4.0,4.0,-1.0,52.5223281815297,50.629825592041016,-19868441.653868828,-2113759.4044493153,1
2328,-1.5017812836272242,-18.649898270826785,-178.48124873578007,4.0,4.0,-1.0,52.522337355627315,50.519962310791016,-19868441.72541464,-2113760.155037517,1
2329,-1.5473756997116652,-18.649904656501025,-178.4812493802881,4.0,4.0,-1.0,52.5223465241761,50.45917892456055,-19868441.797160946,-2113760.9052827037,1
