,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev,x,y,labels
4383,-0.8188406044091607,-18.62588320876884,-178.49193484410452,4.0,3.0,-1.0,51.90027441102211,50.80848693847656,-19869631.297551878,-2110938.853792089,1
4392,-0.6678047114701258,-18.625896051917366,-178.4919362384438,4.0,4.0,-1.0,51.90035501242892,51.00994873046875,-19869631.45276902,-2110940.362504902,1
4394,-0.6348171072995683,-18.625896049884435,-178.49193623866375,4.0,4.0,-1.0,51.900354999674164,51.053932189941406,-19869631.4527935,-2110940.362266088,1
4396,-0.6943423365837589,-18.625902479302923,-178.49193693501826,4.0,4.0,-1.0,51.90039534241441,50.974605560302734,-19869631.53031133,-2110941.117544016,1
4397,-0.657043169579083,-18.62590247700429,-178.49193693526698,4.0,4.0,-1.0,51.900395327993465,51.02433776855469,-19869631.530339018,-2110941.1172739896,1
4404,-0.6478911462354517,-18.62591532887564,-178.49193832918604,4.0,4.0,-1.0,51.90047595539727,51.03662109375,-19869631.68550938,-2110942.6270116623,1
4413,-0.6251324413460679,-18.62594103212119,-178.4919411179297,4.0,4.0,-1.0,51.90063714957796,51.0671272277832,-19869631.995950904,-2110945.6464289473,1
4420,-0.6318418892960835,-18.62595388467185,-178.49194251254505,4.0,4.0,-1.0,51.90071772373267,51.05826187133789,-19869632.151198775,-2110947.156246764,1
4424,-0.7021903403701799,-18.625960315012914,-178.491943209481,4.0,4.0,-1.0,51.9007580291036,50.96450424194336,-19869632.22878133,-2110947.911633324,1
4425,-0.6673602368964566,-18.62596031286639,-178.49194320971324,4.0,4.0,-1.0,51.900758015650354,51.01094436645508,-19869632.22880718,-2110947.9113811674,1
4432,-0.6382439199869623,-18.625973162454873,-178.49194460479237,4.0,4.0,-1.0,51.90083854248587,51.04984664916992,-19869632.38410668,-2110949.4208511803,1
4436,-0.841564462709357,-18.62599245233517,-178.49194669609153,4.0,3.0,-1.0,51.90095939388266,50.778873443603516,-19869632.61690904,-2110951.686876947,1
4443,-0.6321136255955935,-18.626011716136077,-178.49194879033254,4.0,4.0,-1.0,51.90108003879868,51.05826187133789,-19869632.850038882,-2110953.9498393647,1
4445,-0.8154654571508217,-18.626024578222204,-178.49195018438814,4.0,3.0,-1.0,51.90116056721672,50.813873291015625,-19869633.00522444,-2110955.4607779616,1
4450,-0.6404079953026667,-18.626024567433497,-178.4919501855551,4.0,4.0,-1.0,51.901160499677644,51.04728317260742,-19869633.005354345,-2110955.4595105886,1
4453,-0.6913115734378152,-18.626037420439985,-178.49195158043383,4.0,4.0,-1.0,51.901240952083754,50.9794921875,-19869633.160631537,-2110956.9693826903,1
4457,-0.6760724468585977,-18.626043844523117,-178.49195227815727,4.0,4.0,-1.0,51.90128115595144,50.99985122680664,-19869633.238301754,-2110957.7240344905,1
4462,-0.6069875175790003,-18.626056688070232,-178.4919536736052,4.0,4.0,-1.0,51.9013615204276,51.092044830322266,-19869633.393642306,-2110959.2327955514,1
4465,-0.8124521421314057,-18.62606954951091,-178.49195506728535,4.0,3.0,-1.0,51.90144197767586,50.818172454833984,-19869633.54878607,-2110960.7436587242,1
4466,-0.7670391117262625,-18.626069546712017,-178.491955067588,4.0,4.0,-1.0,51.90144196016627,50.87872314453125,-19869633.548819765,-2110960.7433299315,1
4467,-0.6835645474102421,-18.62607596601151,-178.49195576564907,4.0,4.0,-1.0,51.901482110170036,50.99006271362305,-19869633.626527563,-2110961.4974199277,1
4470,-0.7234472188501968,-18.626075968469447,-178.49195576538324,4.0,4.0,-1.0,51.9014821255405,50.936885833740234,-19869633.626497973,-2110961.4977086675,1
4471,-0.6369857415165825,-18.62608238745617,-178.49195646342764,4.0,4.0,-1.0,51.901522268799454,51.052207946777344,-19869633.704203922,-2110962.2517619487,1
4479,-0.7402358877870938,-18.62608881848042,-178.4919571602187,4.0,4.0,-1.0,51.90156248254425,50.914581298828125,-19869633.781770345,-2110963.007229336,1
4483,-0.6030398673874515,-18.62609523407032,-178.49195785851518,4.0,4.0,-1.0,51.901602594993165,51.09754943847656,-19869633.859504353,-2110963.760883644,1
