,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
2067,-6.128350795477218,-18.658692325747655,-178.52321505161711,4.0,1.0,-1.0,52.086398523608295,-19873113.39432409,-2114793.3847232847,-1
2086,-10.30110873854619,-18.658794794184974,-178.52322600767226,4.0,1.0,-1.0,52.08608041970547,-19873114.61394657,-2114805.4242440066,-1
2088,-1.0211441825126713,-18.65881411125016,-178.5232271196035,4.0,1.0,-1.0,52.08602051076559,-19873114.737726185,-2114807.6939018266,-1
2090,-8.22604297076441,-18.658826844454367,-178.52322911092423,4.0,1.0,-1.0,52.08598103092481,-19873114.959399,-2114809.1899892986,-1
2096,-1.0477304328105674,-18.658890963294954,-178.52323502820855,4.0,1.0,-1.0,52.0857823515762,-19873115.618108075,-2114816.7236323883,-1
2097,-8.630235670338152,-18.65890368768011,-178.52323705280972,4.0,1.0,-1.0,52.08574294822756,-19873115.843485646,-2114818.2186843455,-1
2104,-9.64654346901034,-18.658993291587404,-178.5232463556721,4.0,1.0,-1.0,52.08546570404178,-19873116.87907555,-2114828.7467008717,-1
2105,-8.87820894965489,-18.659006098399647,-178.52324759836858,4.0,1.0,-1.0,52.085426111339984,-19873117.01741189,-2114830.2514385073,-1
2111,-10.587609128125678,-18.65908924637562,-178.52325629694369,4.0,1.0,-1.0,52.08516925701588,-19873117.985732842,-2114840.020920705,-1
2119,-9.545254443199156,-18.659217113865108,-178.52326932413789,4.0,1.0,-1.0,52.08477493671671,-19873119.435913466,-2114855.04473727,-1
2135,-11.878829025883078,-18.659415023227414,-178.52328987577536,4.0,0.0,-1.0,52.08416624023994,-19873121.723711286,-2114878.2981601846,-1
2138,-8.860155929615757,-18.65949796642186,-178.52329812455736,4.0,1.0,-1.0,52.083911722886114,-19873122.641961496,-2114888.0436050324,-1
2208,-4.934782924179672,-18.660330036437855,-178.52338444331974,4.0,1.0,-1.0,52.081377588277974,-19873132.25092217,-2114985.808278414,-1
2209,-4.334457325212952,-18.660330042853982,-178.52338438726048,4.0,1.0,-1.0,52.081377568871176,-19873132.244681682,-2114985.8090322847,-1
2230,-7.686725079963253,-18.66051382191787,-178.5234040680683,4.0,1.0,-1.0,52.08082254721012,-19873134.435539186,-2115007.402352078,-1
2237,-7.4254733890193165,-18.660570883442645,-178.5234100649704,4.0,1.0,-1.0,52.0806505640212,-19873135.103111275,-2115014.106862378,-1
2239,-7.083998723460809,-18.660621614091873,-178.52341538925756,4.0,1.0,-1.0,52.08049779949397,-19873135.69580821,-2115020.0675209775,-1
2241,-0.8497351418814105,-18.660628022644122,-178.52341547690065,4.0,1.0,-1.0,52.08047851070842,-19873135.705564592,-2115020.820501653,-1
2244,-6.91396522702189,-18.660653324298256,-178.5234187227253,4.0,1.0,-1.0,52.08040237667046,-19873136.066888142,-2115023.793350691,-1
2248,-6.877881996137603,-18.660672351627063,-178.5234207296071,4.0,1.0,-1.0,52.08034514361316,-19873136.2902932,-2115026.028990434,-1
2251,-5.35526557550611,-18.66067870918988,-178.5234212574649,4.0,1.0,-1.0,52.08032602450294,-19873136.34905406,-2115026.7759802667,2
2254,-5.48995969663747,-18.66071676804513,-178.52342529234144,4.0,1.0,-1.0,52.08021161252509,-19873136.798214465,-2115031.247753879,2
2255,-7.243603736449586,-18.660723092851548,-178.5234261266139,4.0,1.0,-1.0,52.0801926060376,-19873136.891085252,-2115031.9908951516,-1
2256,-5.964457519079133,-18.660729450794417,-178.52342667777998,4.0,1.0,-1.0,52.080173502001344,-19873136.95244078,-2115032.737929863,2
2257,-6.006643323283697,-18.660742139128672,-178.5234280230653,4.0,1.0,-1.0,52.080135382786466,-19873137.102197252,-2115034.228762171,2
2258,-6.0917387427448375,-18.66074848276365,-178.523428701743,4.0,1.0,-1.0,52.080116327810174,-19873137.177747313,-2115034.974115841,2
2263,-5.7574940956978935,-18.66078655972849,-178.52343269611455,4.0,1.0,-1.0,52.08000199494745,-19873137.62239872,-2115039.4480191036,2
2266,-5.657086573553443,-18.660811947096857,-178.5234353713675,4.0,1.0,-1.0,52.07992580534665,-19873137.920206513,-2115042.4309420297,2
2269,-4.113524647356371,-18.660824658121502,-178.52343656981367,4.0,1.0,-1.0,52.079887670677635,-19873138.05361693,-2115043.924441102,-1
2271,-5.214131785729933,-18.660869084533466,-178.52344137302944,4.0,1.0,-1.0,52.07975444965814,-19873138.588308465,-2115049.1443834775,2
2273,-1.053672229852964,-18.66088182850241,-178.5234423279438,4.0,1.0,-1.0,52.07971625275968,-19873138.694609046,-2115050.64175389,-1
2275,-4.505599606478427,-18.66090083931363,-178.5234446653998,4.0,1.0,-1.0,52.07965928772319,-19873138.954813458,-2115052.8754558866,-1
2280,-4.449812791433487,-18.660945299655324,-178.52344936410924,4.0,1.0,-1.0,52.079526135241395,-19873139.4778714,-2115058.099387229,3
2284,-4.804205301416005,-18.660996086145726,-178.52345478267517,4.0,1.0,-1.0,52.07937415839842,-19873140.0810634,-2115064.0666201254,3
2285,-4.419306274677638,-18.661015168650398,-178.52345676162136,4.0,1.0,-1.0,52.07931708816068,-19873140.30135868,-2115066.3087473535,3
2287,-5.326242031256697,-18.661021518720283,-178.52345751798677,4.0,1.0,-1.0,52.07929810100177,-19873140.385556895,-2115067.054858304,3
2288,-5.072809751641671,-18.661021521284283,-178.52345749430575,4.0,1.0,-1.0,52.07929809333473,-19873140.382920735,-2115067.0551595665,3
2309,-5.931292868079709,-18.661212443894886,-178.52347774004312,4.0,1.0,-1.0,52.0787281677749,-19873142.636665907,-2115089.487910005,-1
2314,-5.518997530788965,-18.661295270906006,-178.52348644844574,4.0,1.0,-1.0,52.07848148961966,-19873143.606080856,-2115099.2198069408,-1
2317,-5.137852630290126,-18.661339890735448,-178.52349112432944,4.0,1.0,-1.0,52.07834874427681,-19873144.126597848,-2115104.4624897167,-1
2319,-1.4726506632291603,-18.661359056765527,-178.52349280176085,4.0,1.0,-1.0,52.07829175548068,-19873144.313328657,-2115106.7144354526,-1
2324,-0.699233811470549,-18.661403704873802,-178.52349744300597,4.0,1.0,-1.0,52.07815906918404,-19873144.8299897,-2115111.960442872,-1
2329,-5.268159917851335,-18.661473832620487,-178.5235052785896,4.0,1.0,-1.0,52.07795086418264,-19873145.70224288,-2115120.200227667,4
2330,-5.303276114400433,-18.661473832229618,-178.52350528186722,4.0,1.0,-1.0,52.077950865343155,-19873145.702607743,-2115120.200181742,4
2332,-5.393332640430799,-18.66148021280661,-178.52350596394479,4.0,1.0,-1.0,52.07793193406724,-19873145.77853627,-2115120.949879197,4
2335,-5.707290618821844,-18.66152488833384,-178.52351070945647,4.0,1.0,-1.0,52.07779943837704,-19873146.306804217,-2115126.1991120004,4
2336,-5.72530659229642,-18.661531272048236,-178.52351138495828,4.0,1.0,-1.0,52.077780514175174,-19873146.382000733,-2115126.9491783166,4
2337,-5.8376618273155145,-18.66153127079756,-178.5235113954457,4.0,1.0,-1.0,52.077780517882275,-19873146.383168187,-2115126.949031365,4
2339,-5.650250627330024,-18.661537656849486,-178.523512051765,4.0,1.0,-1.0,52.07776158880006,-19873146.456229318,-2115127.69937236,4
