Filename, min_x, max_x, min_y, max_y, min_z, max_z
./20131107_ncmp_hi_molokai_4QGJ3436.laz, -156.7472196, -156.7374636, 21.1100486, 21.1191211, -14.84, 122.31
./20131107_ncmp_hi_molokai_4QGJ3435.laz, -156.7473564, -156.7376001, 21.1010222, 21.1101763, -25.93, 83.06
./20131107_ncmp_hi_molokai_4QGJ3434.laz, -156.7474908, -156.7377365, 21.0921120, 21.1011476, -32.95, 0.13
./20131107_ncmp_hi_molokai_4QGJ3336.laz, -156.7513697, -156.7471636, 21.1101767, 21.1139745, 8.16, 133.73
./20131107_ncmp_hi_molokai_4QGJ3335.laz, -156.7569774, -156.7472208, 21.1011483, 21.1102314, -8.51, 135.37
./20131107_ncmp_hi_molokai_4QGJ3334.laz, -156.7571127, -156.7473574, 21.0921200, 21.1012749, -22.29, 54.95
./20131107_ncmp_hi_molokai_4QGJ3235.laz, -156.7626564, -156.7569112, 21.1012762, 21.1057338, 18.36, 139.73
./20131107_ncmp_hi_molokai_4QGJ3234.laz, -156.7667335, -156.7569782, 21.0922475, 21.1013499, -2.38, 120.27
./20131107_ncmp_hi_molokai_4QGJ3233.laz, -156.7668687, -156.7571143, 21.0832283, 21.0923734, -20.02, 22.83
./20131107_ncmp_hi_molokai_4QGJ3134.laz, -156.7727543, -156.7666578, 21.0923745, 21.0975179, 18.95, 116.24
./20131106_ncmp_hi_molokai_4QGJ3232.laz, -156.7670023, -156.7579088, 21.0742974, 21.0833449, -26.44, 0.09
./20131106_ncmp_hi_molokai_4QGJ3133.laz, -156.7764888, -156.7667350, 21.0833463, 21.0924529, -8.78, 105.50
./20131106_ncmp_hi_molokai_4QGJ3132.laz, -156.7766232, -156.7668707, 21.0743206, 21.0834709, -21.52, 25.20
./20131106_ncmp_hi_molokai_4QGJ3131.laz, -156.7767081, -156.7670068, 21.0682959, 21.0744418, -22.01, -1.40
./20131106_ncmp_hi_molokai_4QGJ3033.laz, -156.7861084, -156.7763966, 21.0834718, 21.0897531, 0.99, 93.18
./20131106_ncmp_hi_molokai_4QGJ3032.laz, -156.7862422, -156.7764899, 21.0744438, 21.0835971, -14.84, 56.68
./20131106_ncmp_hi_molokai_4QGJ3031.laz, -156.7863771, -156.7766246, 21.0654748, 21.0745683, -20.36, 0.48
./20131106_ncmp_hi_molokai_4QGJ2933.laz, -156.7904399, -156.7860859, 21.0835978, 21.0852034, 23.63, 131.38
./20131106_ncmp_hi_molokai_4QGJ2932.laz, -156.7958624, -156.7861100, 21.0745696, 21.0836537, -0.31, 183.18
./20131106_ncmp_hi_molokai_4QGJ2931.laz, -156.7959950, -156.7862440, 21.0655409, 21.0746930, -17.71, 32.39
./20131106_ncmp_hi_molokai_4QGJ2930.laz, -156.7961162, -156.7863779, 21.0575018, 21.0656643, -18.41, 0.19
./20131106_ncmp_hi_molokai_4QGJ2832.laz, -156.8054825, -156.7957648, 21.0746948, 21.0813634, 10.16, 197.23
./20131106_ncmp_hi_molokai_4QGJ2831.laz, -156.8056139, -156.7958639, 21.0656652, 21.0748185, -5.77, 91.59
./20131106_ncmp_hi_molokai_4QGJ2830.laz, -156.8057472, -156.7959968, 21.0566580, 21.0657886, -16.28, 0.33
./20131106_ncmp_hi_molokai_4QGJ2732.laz, -156.8129358, -156.8054380, 21.0748194, 21.0778767, 26.62, 149.80
./20131106_ncmp_hi_molokai_4QGJ2731.laz, -156.8152336, -156.8054837, 21.0657905, 21.0749147, -0.43, 139.43
./20131106_ncmp_hi_molokai_4QGJ2730.laz, -156.8153657, -156.8056160, 21.0567613, 21.0659114, -7.87, 14.68
./20131106_ncmp_hi_molokai_4QGJ2631.laz, -156.8248535, -156.8151173, 21.0659146, 21.0739398, -0.21, 146.46
./20131106_ncmp_hi_molokai_4QGJ2630.laz, -156.8249845, -156.8152360, 21.0568853, 21.0660372, -4.07, 30.26
./20131106_ncmp_hi_molokai_4QGJ2629.laz, -156.8251151, -156.8153672, 21.0479344, 21.0570077, -19.84, 0.47
./20131106_ncmp_hi_molokai_4QGJ2531.laz, -156.8344721, -156.8247951, 21.0660376, 21.0700670, 14.34, 117.01
./20131106_ncmp_hi_molokai_4QGJ2530.laz, -156.8346032, -156.8248541, 21.0570089, 21.0661601, -0.87, 106.02
./20131106_ncmp_hi_molokai_4QGJ2529.laz, -156.8347338, -156.8249859, 21.0479796, 21.0571303, -9.22, 21.75
./20131106_ncmp_hi_molokai_4QGJ2431.laz, -156.8350899, -156.8344699, 21.0661607, 21.0663858, 101.93, 111.29
./20131106_ncmp_hi_molokai_4QGJ2430.laz, -156.8442205, -156.8344733, 21.0571314, 21.0661675, 1.76, 110.17
./20131106_ncmp_hi_molokai_4QGJ2429.laz, -156.8443520, -156.8346044, 21.0481026, 21.0572515, -3.55, 31.63
./20131106_ncmp_hi_molokai_4QGJ2428.laz, -156.8444820, -156.8347352, 21.0391866, 21.0482225, -19.63, 0.39
./20131106_ncmp_hi_molokai_4QGJ2330.laz, -156.8538405, -156.8441424, 21.0572546, 21.0628297, 0.29, 92.27
./20131106_ncmp_hi_molokai_4QGJ2329.laz, -156.8539495, -156.8442229, 21.0482250, 21.0573744, -6.90, 21.55
./20131106_ncmp_hi_molokai_4QGJ2328.laz, -156.8540995, -156.8443536, 21.0391957, 21.0483205, -16.28, 0.41
./20131106_ncmp_hi_molokai_4QGJ2230.laz, -156.8621254, -156.8538192, 21.0573761, 21.0598677, 4.53, 87.55
./20131106_ncmp_hi_molokai_4QGJ2229.laz, -156.8635891, -156.8538425, 21.0483504, 21.0574793, -6.00, 40.14
./20131106_ncmp_hi_molokai_4QGJ1428.laz, -156.9318192, -156.9314862, 21.0492884, 21.0493067, -40.01, -38.22
./20131106_ncmp_hi_molokai_4QGJ1129.laz, -156.9677611, -156.9596547, 21.0567105, 21.0587769, -15.93, -4.51
./20131106_ncmp_hi_molokai_4QGJ0730.laz, -157.0030693, -156.9980137, 21.0668650, 21.0682264, -15.45, -5.43
./20131106_ncmp_hi_molokai_4QGJ0431.laz, -157.0363815, -157.0267554, 21.0746544, 21.0776473, -27.44, 0.32
./20131106_ncmp_hi_molokai_4QGJ0331.laz, -157.0382495, -157.0363782, 21.0771297, 21.0776694, -21.90, -16.21
./20131106_ncmp_hi_molokai_4QGJ0235.laz, -157.0552630, -157.0525266, 21.1049297, 21.1063701, 1.26, 19.34
./20131106_ncmp_hi_molokai_4QGJ0135.laz, -157.0648868, -157.0552469, 21.1049632, 21.1063863, 1.24, 22.25
./20131106_ncmp_hi_molokai_4QGJ0132.laz, -157.0651439, -157.0555032, 21.0823876, 21.0870088, -16.63, 0.34
