,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface
59,0.29865578287737593,9.41822747868646,138.0344661158571,4.0,3.0,-1.0,POINT (138.0344661158571 9.418227478686459),63.57934484942234
60,0.16340051076882908,9.418227487554029,138.03446611173632,4.0,4.0,-1.0,POINT (138.0344661117363 9.418227487554029),63.579344794678036
62,0.2572855063724538,9.418233942682011,138.0344654373538,4.0,3.0,-1.0,POINT (138.0344654373538 9.418233942682011),63.57930503736134
63,0.3334648314753043,9.418240399051719,138.0344647625625,4.0,3.0,-1.0,POINT (138.0344647625625 9.418240399051719),63.57926541406778
65,-0.20143894489520425,9.418246895559472,138.03446406928893,4.0,4.0,-1.0,POINT (138.0344640692889 9.418246895559472),63.57922568748472
67,0.2541857775305002,9.418253327675366,138.03446340628327,4.0,3.0,-1.0,POINT (138.0344634062833 9.418253327675366),63.5791864960338
68,0.1166243525807697,9.41825333669407,138.03446340209226,4.0,4.0,-1.0,POINT (138.0344634020923 9.41825333669407),63.57918644117308
69,0.20380493954389745,9.418259792545111,138.03446272805687,4.0,4.0,-1.0,POINT (138.0344627280569 9.418259792545111),63.579147246695356
71,0.1691659917667619,9.41826625595538,138.03446205051026,4.0,4.0,-1.0,POINT (138.0344620505103 9.41826625595538),63.57910814828938
72,0.18634794019922982,9.418266254828787,138.0344620510338,4.0,4.0,-1.0,POINT (138.0344620510338 9.418266254828787),63.57910815507057
73,0.26524511186223704,9.41827271132388,138.03446137705052,4.0,3.0,-1.0,POINT (138.0344613770505 9.41827271132388),63.579069240251556
74,0.2058505502834841,9.418272715217984,138.03446137524094,4.0,4.0,-1.0,POINT (138.0344613752409 9.418272715217984),63.57906921682297
75,7.158705517494252,9.418285180766112,138.03446023498122,1.0,1.0,-1.0,POINT (138.0344602349812 9.418285180766112),63.57899448508397
76,0.2171036471527929,9.418285637929852,138.03446002329267,4.0,4.0,-1.0,POINT (138.0344600232927 9.418285637929852),63.578991754417075
77,0.16082851848512617,9.418285641619466,138.0344600215781,4.0,4.0,-1.0,POINT (138.0344600215781 9.418285641619466),63.57899173235637
78,0.2629453864718554,9.418285634924441,138.03446002468928,4.0,3.0,-1.0,POINT (138.0344600246893 9.418285634924441),63.57899177237414
80,0.20157081267271224,9.418292100235389,138.03445934697498,4.0,4.0,-1.0,POINT (138.034459346975 9.418292100235389),63.5789532304334
81,6.660370800107309,9.418291674724486,138.0344595439544,1.0,1.0,-1.0,POINT (138.0344595439544 9.418291674724486),63.57895576269948
82,0.12469628514475482,9.418292105275482,138.03445934463284,4.0,4.0,-1.0,POINT (138.0344593446328 9.418292105275482),63.57895320045645
83,0.11293156632802571,9.418292106046845,138.0344593442744,4.0,4.0,-1.0,POINT (138.0344593442744 9.418292106046845),63.57895319585805
85,0.13783428083550517,9.418298566202827,138.03445866931168,4.0,4.0,-1.0,POINT (138.0344586693117 9.418298566202827),63.578914826735854
86,0.22557947547996046,9.41829856044993,138.03445867198508,4.0,4.0,-1.0,POINT (138.0344586719851 9.41829856044993),63.57891486084554
89,-2.7014067869031253,9.418311676990985,138.03445723180397,1.0,1.0,-1.0,POINT (138.034457231804 9.418311676990985),63.57883739331737
90,6.642395285023832,9.418311061298485,138.03445751678314,1.0,1.0,-1.0,POINT (138.0344575167831 9.418311061298485),63.578841016598744
91,0.19164159967423622,9.41831794761291,138.03445664492372,4.0,4.0,-1.0,POINT (138.0344566449237 9.418317947612911),63.57880056509748
92,0.294989530184296,9.418317940837087,138.03445664807245,4.0,3.0,-1.0,POINT (138.0344566480724 9.418317940837087),63.57880060482421
95,0.22704100234826538,9.418330869363636,138.0344552961846,4.0,4.0,-1.0,POINT (138.0344552961846 9.418330869363636),63.57872509537265
96,0.24074144084689791,9.418330868465397,138.034455296602,4.0,3.0,-1.0,POINT (138.034455296602 9.418330868465397),63.57872510061134
97,0.29726400101983974,9.418337326527903,138.0344546237393,4.0,3.0,-1.0,POINT (138.0344546237393 9.418337326527903),63.57868759488338
100,0.22926815999248898,9.418343792727704,138.03445394728786,4.0,4.0,-1.0,POINT (138.0344539472879 9.418343792727704),63.5786501839757
102,0.2623132279774554,9.418356713456252,138.03445260021851,4.0,3.0,-1.0,POINT (138.0344526002185 9.418356713456252),63.57857585544116
108,0.22846832532535527,9.418369638865443,138.0344512519341,4.0,4.0,-1.0,POINT (138.0344512519341 9.418369638865443),63.578502067830414
109,0.2330722742974562,9.418369638563641,138.03445125207432,4.0,4.0,-1.0,POINT (138.0344512520743 9.418369638563641),63.57850206954754
112,0.2917861627249322,9.418376094297042,138.03445058077548,4.0,3.0,-1.0,POINT (138.0344505807755 9.418376094297042),63.578465428203344
113,0.24076950608868306,9.418376097641966,138.0344505792211,4.0,3.0,-1.0,POINT (138.0344505792211 9.418376097641966),63.57846540925675
114,0.34815202495968633,9.418382552044026,138.0344499094354,4.0,3.0,-1.0,POINT (138.0344499094354 9.418382552044026),63.578428917157
115,0.15410529166536527,9.418389025655069,138.03444923075122,4.0,4.0,-1.0,POINT (138.0344492307512 9.418389025655069),63.57839245873038
116,0.15371814772048478,9.418389025680453,138.03444923073945,4.0,4.0,-1.0,POINT (138.0344492307395 9.418389025680453),63.57839245861396
121,0.14664233190934006,9.41839548743486,138.03444855794126,4.0,4.0,-1.0,POINT (138.0344485579413 9.418395487434861),63.57835620903643
122,0.021862223754708227,9.418395495616107,138.0344485541394,4.0,4.0,-1.0,POINT (138.0344485541394 9.418395495616107),63.578356163227
123,0.28652383840067663,9.418395478263431,138.03444856220324,4.0,3.0,-1.0,POINT (138.0344485622032 9.418395478263431),63.578356260375585
127,0.2785260148697253,9.418401939992432,138.03444788962068,4.0,4.0,-1.0,POINT (138.0344478896207 9.418401939992432),63.578320152679225
128,5.686338983012136,9.418401583883526,138.03444805453807,0.0,1.0,-1.0,POINT (138.0344480545381 9.418401583883526),63.57832213889924
130,0.23668054147185516,9.418414865406223,138.03444654436183,4.0,4.0,-1.0,POINT (138.0344465443618 9.418414865406223),63.57824835230713
131,0.09165475517315504,9.418414874915031,138.03444653994305,4.0,4.0,-1.0,POINT (138.034446539943 9.418414874915031),63.5782482996874
132,0.20147370775338969,9.418421328623067,138.03444587170574,4.0,4.0,-1.0,POINT (138.0344458717057 9.418421328623067),63.57821266227984
136,-0.03917776469812345,9.418434265396346,138.03444452204013,4.0,4.0,-1.0,POINT (138.0344445220401 9.418434265396346),63.578141651756596
138,0.2959864946204812,9.418440703975447,138.03444386146035,4.0,4.0,-1.0,POINT (138.0344438614603 9.418440703975447),63.57810652212356
139,0.04807289995727417,9.418447180654612,138.03444318338634,4.0,4.0,-1.0,POINT (138.0344431833863 9.418447180654612),63.57807132683229
