,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface
1,-0.08599160647463577,-18.63428540460174,-178.52066358135454,4.0,4.0,-1.0,52.1772012516667
2,-5.936491124166878,-18.634291747692888,-178.52066479279827,4.0,1.0,-1.0,52.17717376329347
3,-0.016927783535265917,-18.634298217943435,-178.5206649052122,4.0,4.0,-1.0,52.17714572594741
4,-0.061207837319216196,-18.634298217451114,-178.52066490934436,4.0,4.0,-1.0,52.17714572807927
5,-0.19964908944893978,-18.63430462248991,-178.5206655870482,4.0,4.0,-1.0,52.177117975385045
6,-0.05562360859084947,-18.63431743734204,-178.52066690240665,4.0,4.0,-1.0,52.177062455497435
7,0.033385445004114445,-18.634362286195817,-178.52067153716604,4.0,4.0,-1.0,52.17686821444113
8,-2.0195000303920096,-18.634375079414223,-178.52067305342067,4.0,1.0,-1.0,52.17681282535341
9,-0.004412053932355775,-18.634381509084733,-178.5206735272906,4.0,4.0,-1.0,52.17678499077374
10,-0.10063034354243428,-18.63438791595507,-178.5206741980333,4.0,4.0,-1.0,52.176757256966084
11,-0.5586642800531081,-18.634400726860388,-178.52067556364864,4.0,1.0,-1.0,52.176701807811696
12,-0.01163017940325517,-18.634407140557713,-178.52067617367058,4.0,4.0,-1.0,52.1766740506464
13,-5.71589578979183,-18.63449679888618,-178.52068594161796,4.0,1.0,-1.0,52.17628624429926
14,-0.015212950053864915,-18.634496860465966,-178.52068540944833,4.0,4.0,-1.0,52.17628597808289
16,-0.025779194227197877,-18.634541724224935,-178.52069001564917,4.0,4.0,-1.0,52.17609207708483
17,-0.2610739757687952,-18.634554538087837,-178.52069135184655,4.0,4.0,-1.0,52.17603671419238
18,-0.11472610219971102,-18.634586586994498,-178.52069462205094,4.0,4.0,-1.0,52.17589828152995
19,-0.6105986167813171,-18.63458658173868,-178.52069466835135,4.0,1.0,-1.0,52.1758983042273
20,-0.05440642194207612,-18.634592996876684,-178.52069527279062,4.0,4.0,-1.0,52.17587060075675
21,-0.06431986681855051,-18.6345929967665,-178.5206952737157,4.0,4.0,-1.0,52.17587060123333
22,-0.06461169116892052,-18.63459299676326,-178.5206952737429,4.0,4.0,-1.0,52.17587060124606
23,-0.007261753574312024,-18.634599406863735,-178.52069592466725,4.0,4.0,-1.0,52.17584292159518
24,-0.03561948584319907,-18.634605815783086,-178.5206965834513,4.0,4.0,-1.0,52.17581524910929
25,0.022833411714600516,-18.634650682130093,-178.52070116813258,4.0,4.0,-1.0,52.175621582638996
26,-0.11316317320188318,-18.63466990925081,-178.52070314668427,4.0,4.0,-1.0,52.17553861936358
