,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface
146,-0.3927318109169846,-18.623880764283193,-178.48973164158647,3.0,4.0,-1.0,52.07675825928254
147,-0.018191993578284382,-18.624874031518733,-178.4898379350759,4.0,4.0,-1.0,52.07747864768771
149,-0.14291443334059295,-18.625060164978184,-178.48985780462,4.0,4.0,-1.0,52.0776108358441
150,-0.2277121055549287,-18.625092168458057,-178.48986120793165,4.0,4.0,-1.0,52.07763347472428
152,-0.15750599738953497,-18.625098572050522,-178.4898618877624,4.0,4.0,-1.0,52.07763800140219
153,-0.14289530333758194,-18.625175274730974,-178.48987002226173,4.0,4.0,-1.0,52.077692140696854
157,-0.13237680164093035,-18.625340933712508,-178.48988749267414,4.0,4.0,-1.0,52.07780855453166
158,-0.0258237278994784,-18.62534094124127,-178.48988749272715,4.0,4.0,-1.0,52.077808559806726
159,0.04642013800753375,-18.625455186784578,-178.48989945369604,4.0,4.0,-1.0,52.07788843456092
160,-0.19591119199481,-18.625718571131635,-178.48992659409527,4.0,4.0,-1.0,52.07807130693709
162,0.03888448838915792,-18.626113232192743,-178.48996667954123,4.0,4.0,-1.0,52.07834200376237
163,-1.616446453786466,-18.62611939237311,-178.4899673122008,4.0,3.0,-1.0,52.07834619741516
164,-0.270167639307374,-18.62619486775598,-178.4899749134181,4.0,4.0,-1.0,52.07839749978939
165,-0.2491128763474535,-18.626238892727958,-178.48997934721461,4.0,4.0,-1.0,52.078427357265355
166,-0.2928535389605713,-18.626264066593507,-178.48998188147803,4.0,4.0,-1.0,52.0784444077417
167,-0.04191237412214832,-18.626301879106503,-178.489985684392,4.0,4.0,-1.0,52.07846998800596
168,-0.037980801323328706,-18.62634601913754,-178.48999012362765,4.0,4.0,-1.0,52.078499802561964
170,-0.164331066260047,-18.626434448177243,-178.489999013962,4.0,4.0,-1.0,52.07855938229204
172,-0.09945788541790535,-18.626554842231698,-178.49001111519655,4.0,4.0,-1.0,52.07864017697648
173,-0.41771872056051507,-18.626567519222707,-178.49001239190335,4.0,4.0,-1.0,52.07864866273303
174,-0.601730779718082,-18.62667534050342,-178.4900232459864,4.0,4.0,-1.0,52.07872067015796
175,-0.7814624684592673,-18.627211914865228,-178.49007754321644,4.0,4.0,-1.0,52.07907459173475
176,-0.5597285091687354,-18.627484331567267,-178.49010553604612,4.0,4.0,-1.0,52.0792514562354
177,-0.11857187838609207,-18.627523241096608,-178.49010956108583,4.0,4.0,-1.0,52.07927656294578
178,0.020501097867736462,-18.62755563449305,-178.49011291949503,4.0,4.0,-1.0,52.079297435509034
179,-0.9583047764454022,-18.62758793838541,-178.49011628162745,4.0,4.0,-1.0,52.07931822365572
180,-0.31635108263049005,-18.627730234253196,-178.4901311220983,4.0,4.0,-1.0,52.07940947573388
181,-0.009204279389905423,-18.627762535560286,-178.49013450441245,4.0,4.0,-1.0,52.0794301178812
182,-0.06163561389962524,-18.627768985477818,-178.49013518122194,4.0,4.0,-1.0,52.079434236501584
183,-0.9556786573073168,-18.627826964521645,-178.49014127767256,4.0,4.0,-1.0,52.07947121145207
184,0.020816336513462375,-18.627930554926014,-178.4901521335322,4.0,4.0,-1.0,52.079537059941686
185,-0.8721636075490551,-18.62794326273728,-178.49015349398204,4.0,4.0,-1.0,52.0795451189033
186,-0.1054924962440964,-18.628185261358702,-178.49017941071318,4.0,4.0,-1.0,52.07969779935411
187,-0.760981571613911,-18.62819156653895,-178.49018009363758,4.0,4.0,-1.0,52.07970175735045
188,-1.8479113665614477,-18.628267648842446,-178.49018829475108,4.0,3.0,-1.0,52.079749436828024
189,0.09048300087079042,-18.628274127893363,-178.49018897940422,4.0,4.0,-1.0,52.079753490294024
190,-0.045976459054372754,-18.62828045998075,-178.49018966305084,4.0,4.0,-1.0,52.079757450776924
191,0.00977266373911334,-18.628324841340326,-178.4901944499481,4.0,4.0,-1.0,52.079785180851104
192,-0.008072053734167639,-18.62835652136162,-178.49019786964195,4.0,4.0,-1.0,52.07980494412277
193,-0.8516227158811489,-18.6284197889179,-178.49020470942918,4.0,4.0,-1.0,52.079844336099995
194,-0.15512699737132607,-18.628438825349765,-178.4902067616246,4.0,4.0,-1.0,52.07985616861424
195,-0.14397490548026326,-18.628451484568682,-178.49020812974504,4.0,4.0,-1.0,52.07986403209543
196,-1.0180405313544725,-18.628470407050074,-178.4902101813476,4.0,4.0,-1.0,52.07987577845961
197,-0.026710582603072908,-18.62848313108046,-178.49021154978755,4.0,4.0,-1.0,52.07988367190501
199,-0.795502154075848,-18.62851470703368,-178.49021496908642,4.0,4.0,-1.0,52.07990324238108
200,-0.015576032716126065,-18.628527412692208,-178.49021633729194,4.0,4.0,-1.0,52.07991111002775
201,-0.3527556995879877,-18.62878659415062,-178.4902443475017,4.0,4.0,-1.0,52.08007069962969
202,-0.7649640328479563,-18.6289193562876,-178.4902586601294,4.0,4.0,-1.0,52.0801517813461
203,-0.061808122753973294,-18.629090314985717,-178.49027701504963,4.0,4.0,-1.0,52.08025552638355
204,-1.0995155816526676,-18.629318826709827,-178.4903013641642,4.0,4.0,-1.0,52.08039302895486
205,-0.059653955463772945,-18.62936996433789,-178.49030673848966,4.0,4.0,-1.0,52.080423617050656
206,-0.6786848864585409,-18.629389077629106,-178.49030875216363,4.0,4.0,-1.0,52.08043503253066
207,-0.9203354583144119,-18.62939544695499,-178.49030942320692,4.0,4.0,-1.0,52.080438834555935
209,-0.9234024308148037,-18.62945294215836,-178.49031546040112,4.0,4.0,-1.0,52.080473108029764
210,-0.07332670077266812,-18.62947856657504,-178.4903181423077,4.0,4.0,-1.0,52.080488355750276
211,-1.0616211848323474,-18.629523246389954,-178.49032283172028,4.0,4.0,-1.0,52.08051490212347
212,0.06914099603864088,-18.629568095108826,-178.49032751950742,4.0,4.0,-1.0,52.08054149746931
213,-0.8778142997614395,-18.6296640136971,-178.49033755457216,4.0,4.0,-1.0,52.08059820453218
214,0.01582911039577084,-18.629676879129544,-178.49033889224935,4.0,4.0,-1.0,52.080605792665665
