,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface
782,0.06972344059045099,-18.62376894897512,-178.45807282241933,4.0,4.0,-1.0,52.03482014154997
783,-0.09608734710195677,-18.62379440134387,-178.45807554281103,4.0,4.0,-1.0,52.03481659707995
785,-0.2078199099782978,-18.62383894313455,-178.4580803228158,4.0,4.0,-1.0,52.034810345872756
786,-0.2863235186894144,-18.62383894306171,-178.45808031605227,4.0,4.0,-1.0,52.03481034588276
787,-0.06382681241484534,-18.623845306362238,-178.45808101982118,4.0,4.0,-1.0,52.03480944780313
788,-0.10813917065797796,-18.623864395153603,-178.45808307025126,4.0,4.0,-1.0,52.03480674618004
789,-0.09058611775367353,-18.623870756395224,-178.45808375648562,4.0,4.0,-1.0,52.034805843365575
790,-0.03950187476175415,-18.623877119342644,-178.45808444586385,4.0,4.0,-1.0,52.034804939054084
791,-0.12470109771925308,-18.623896209274974,-178.45808649401783,4.0,4.0,-1.0,52.0348022184271
792,-0.3334635382905162,-18.623902572076528,-178.458087161292,4.0,4.0,-1.0,52.03480130911066
793,-0.3541710591171068,-18.6239343882971,-178.45809058682354,4.0,4.0,-1.0,52.03479674337359
794,-0.10574706005672851,-18.623947115365624,-178.45809197954853,4.0,4.0,-1.0,52.03479490820064
795,-0.10539377409372719,-18.62395984235743,-178.4580933510971,4.0,4.0,-1.0,52.03479306801364
796,-0.31214490603315426,-18.623966205871444,-178.4580940191259,4.0,4.0,-1.0,52.03479214603249
797,0.01669805495453147,-18.624017118228423,-178.45809953555144,4.0,4.0,-1.0,52.03478472433471
799,-0.08949321236764263,-18.62408076645745,-178.45810638874264,4.0,4.0,-1.0,52.034775332961544
800,-0.11072129327772018,-18.624087129810185,-178.45810707298534,4.0,4.0,-1.0,52.03477438713071
801,-0.1294524105283017,-18.624087129792763,-178.4581070713717,4.0,4.0,-1.0,52.03477438713344
802,-0.1975504918207207,-18.624112592575663,-178.45810981067027,4.0,4.0,-1.0,52.03477058984299
803,-0.17280550432951713,-18.624112592598692,-178.45810981280226,4.0,4.0,-1.0,52.034770589838445
804,-0.07015915414422125,-18.62412532572678,-178.45811119428603,4.0,4.0,-1.0,52.03476868339021
805,-0.37166590583478865,-18.62414442527511,-178.45811322711137,4.0,4.0,-1.0,52.03476581430641
806,-0.19332832301461167,-18.624157158916173,-178.45811461488518,4.0,4.0,-1.0,52.03476389520438
807,-0.11359733545759809,-18.624157158990414,-178.45811462175413,4.0,4.0,-1.0,52.034763895193464
808,-0.109734233378731,-18.624163525978336,-178.45811530826327,4.0,4.0,-1.0,52.034762933730235
809,-0.19125546224518075,-18.624195364734934,-178.4581187319114,4.0,4.0,-1.0,52.034758106968184
810,-0.07593621021874242,-18.62419536484235,-178.45811874184662,4.0,4.0,-1.0,52.03475810695181
811,-0.1496969203367371,-18.624214469785073,-178.45812079349267,4.0,4.0,-1.0,52.03475519554013
