,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev
3432,7.08844195873462,21.094145375906663,-157.15957156354443,4.0,4.0,-1.0,16.66428551315039,26.115541458129883
3434,5.905417342644796,21.094111292106295,-157.15957347598618,4.0,4.0,-1.0,16.664661540373345,24.538551330566406
3435,5.628487760452117,21.094110979095014,-157.15957359503926,4.0,4.0,-1.0,16.664664990865276,24.169315338134766
3439,7.003756991849514,21.094079789290472,-157.15957440567627,4.0,4.0,-1.0,16.6650085557485,26.00335121154785
3440,3.987694241612189,21.094076379471083,-157.1595757023565,4.0,4.0,-1.0,16.665046085239737,21.981971740722656
3443,6.24294840917355,21.09407238071395,-157.15957501290126,4.0,4.0,-1.0,16.66509008903813,24.98902130126953
3445,3.4688260393595556,21.09406924435583,-157.15957620556912,4.0,4.0,-1.0,16.665124596853275,21.290225982666016
3446,4.069112878631131,21.094069923116837,-157.15957594748085,4.0,4.0,-1.0,16.665117129232385,22.090600967407227
3448,5.306294379905012,21.094058227113006,-157.15957597552114,4.0,4.0,-1.0,16.66524577369273,23.740304946899414
3450,4.850910447654314,21.094044616367565,-157.15957673095215,4.0,4.0,-1.0,16.665395388845354,23.133275985717773
3453,2.3853907881566556,21.094022185789736,-157.1595786297614,4.0,4.0,-1.0,16.665641745144967,19.846162796020508
3456,2.8518539074902947,21.094016165106765,-157.15957870868138,4.0,4.0,-1.0,16.665707826105063,20.46817970275879
3457,7.394772432093305,21.094008207389187,-157.15957731414747,4.0,4.0,-1.0,16.665795138353133,26.52549171447754
3461,7.447430552183505,21.094001719978657,-157.15957757065735,4.0,4.0,-1.0,16.665866293988074,26.595773696899414
3462,3.4056936175002193,21.093990603547866,-157.15957958731454,4.0,4.0,-1.0,16.66598817105114,21.206912994384766
3467,3.702845155046816,21.093958208357193,-157.15958085336158,4.0,4.0,-1.0,16.666342975237058,21.603469848632812
3468,1.6127232609469502,21.093949299981098,-157.15958203033574,4.0,4.0,-1.0,16.66644044739951,18.81673812866211
3469,4.421047127638303,21.093945929599283,-157.15958110135483,4.0,4.0,-1.0,16.666477314109216,22.561206817626953
3470,1.9009074266759853,21.093943080293094,-157.1595821847809,4.0,4.0,-1.0,16.666508476468152,19.201051712036133
