,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev
347,-280.0985754276335,21.106717129546563,-157.12825308162775,0.0,0.0,-1.0,16.131271143094636,-357.33349609375
470,-230.66210548803792,21.10598776611427,-157.12826831398243,0.0,0.0,-1.0,16.17487071256619,-291.3746032714844
1249,0.1789371373015456,21.101997133189283,-157.12836712655022,0.0,0.0,-1.0,16.39025855041109,16.628841400146484
1399,-197.16923551567015,21.1010230761996,-157.12846386377177,0.0,0.0,-1.0,16.4368849437451,-246.45542907714844
1621,6.219490002840757,21.100042444891454,-157.12844601665404,4.0,4.0,-1.0,16.48146890103817,24.77412223815918
1630,5.518795829324517,21.10000872429472,-157.12844764321716,4.0,4.0,-1.0,16.48295993101783,23.841354370117188
1631,5.5985476589994505,21.100002228080758,-157.12844789343526,4.0,4.0,-1.0,16.48324685404077,23.94797706604004
1643,3.9127911776304245,21.09988174171978,-157.12845343088318,4.0,4.0,-1.0,16.488549649715424,21.705604553222656
1644,3.7524291721056215,21.099881560527752,-157.12845348532093,4.0,4.0,-1.0,16.488557597389445,21.491796493530273
1648,5.242119758971967,21.099876654736217,-157.12845325390907,4.0,4.0,-1.0,16.48877275036648,23.4782657623291
1649,3.9784263944020495,21.099862047555874,-157.1284542310589,4.0,4.0,-1.0,16.489413026254624,21.793981552124023
1650,5.045471149060177,21.099856663897405,-157.12845414261952,4.0,4.0,-1.0,16.489648875431158,23.216943740844727
1652,4.4545016298943665,21.09984940623324,-157.1284546168991,4.0,4.0,-1.0,16.48996670905035,22.429302215576172
1654,6.813833610591246,21.099832303717097,-157.1284546358486,4.0,4.0,-1.0,16.490715164109133,25.57582664489746
1655,5.1646473656001035,21.09983043978127,-157.128455195733,4.0,4.0,-1.0,16.490796691854484,23.37699317932129
1656,6.190108782320749,21.099818420802926,-157.12845539323837,4.0,4.0,-1.0,16.491322191199288,24.744800567626953
1659,7.300445944536477,21.09979990542736,-157.128455833535,4.0,4.0,-1.0,16.4921310339123,26.226058959960938
1660,3.0876915492117405,21.09978855400225,-157.12845753575357,4.0,4.0,-1.0,16.492626503109932,20.609548568725586
1661,3.2299454398162197,21.09978871473488,-157.1284574874654,4.0,4.0,-1.0,16.49261948966887,20.799213409423828
1662,6.913401581346989,21.099786287310483,-157.12845650889022,4.0,4.0,-1.0,16.492725402116776,25.710594177246094
1663,4.372967153642094,21.09977682512036,-157.12845764304794,4.0,4.0,-1.0,16.493138114805333,22.323760986328125
1665,7.295891000336269,21.09977353826702,-157.12845692228552,4.0,4.0,-1.0,16.493281426024623,26.22113609313965
1667,5.506521680013975,21.099764925612455,-157.12845780107236,4.0,4.0,-1.0,16.49365682329517,23.83568572998047
1668,5.585886526387185,21.09976501528764,-157.1284577741321,4.0,4.0,-1.0,16.49365291558206,23.94150161743164
1670,5.348612347181188,21.099758156333912,-157.12845812586286,4.0,4.0,-1.0,16.493951745913364,23.62543487548828
1671,5.324205490032909,21.099758128756026,-157.1284581341478,4.0,4.0,-1.0,16.493952947086655,23.592893600463867
1672,7.086937531130388,21.09975353086655,-157.1284578066896,4.0,4.0,-1.0,16.49415320251137,25.943403244018555
1673,2.40611509050359,21.099721877849337,-157.12846047779297,4.0,4.0,-1.0,16.495530399144627,19.703683853149414
1675,2.1434687910368666,21.099708399336084,-157.12846110688227,4.0,4.0,-1.0,16.49611609010026,19.354074478149414
1676,2.511093618173618,21.09969563344801,-157.1284615212682,4.0,4.0,-1.0,16.49667040281929,19.84479522705078
1677,2.6320978823059704,21.09969577017387,-157.12846148019463,4.0,4.0,-1.0,16.4966644680826,20.006128311157227
1678,2.201452311419416,21.099695283578885,-157.1284616263718,4.0,4.0,-1.0,16.496685588965192,19.431955337524414
1680,2.5818751270417124,21.09968912266946,-157.12846176655302,4.0,4.0,-1.0,16.49695295561105,19.939453125
1681,2.7588309725979343,21.099682752000735,-157.12846211925617,4.0,4.0,-1.0,16.49722932698205,20.175670623779297
1684,1.8531584897136781,21.09966854460306,-157.12846294587192,4.0,4.0,-1.0,16.497845310834236,18.96872329711914
1685,3.348844659514725,21.09967023512247,-157.12846243813615,4.0,4.0,-1.0,16.49777204170823,20.96289825439453
1688,2.1812768112577032,21.099649140138588,-157.12846361186243,4.0,4.0,-1.0,16.49868581944611,19.407054901123047
1689,7.356080562196439,21.09963521269912,-157.12846263093041,4.0,4.0,-1.0,16.499288518796675,26.307395935058594
1690,7.207306206721114,21.09963504459649,-157.12846268142786,4.0,4.0,-1.0,16.499295790330507,26.109037399291992
1691,2.1354936037387233,21.099629312300834,-157.12846440308041,4.0,4.0,-1.0,16.499543710029684,19.34686851501465
1692,2.2682427806721535,21.099629462296647,-157.12846435802223,4.0,4.0,-1.0,16.499537223833613,19.523860931396484
1693,5.236701531568542,21.09963281719605,-157.12846335037676,4.0,4.0,-1.0,16.49939213413745,23.481660842895508
