,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev,x,y,labels
4829,-0.6113133071739867,21.089077759622878,-157.15977505127952,4.0,4.0,-1.0,16.713560056537972,15.898475646972656,-17494946.131893855,2402503.333992297,0
4834,-0.844656762372324,21.089070973888514,-157.15977545750914,4.0,4.0,-1.0,16.71361708229233,15.587408065795898,-17494946.17711513,2402502.524381846,0
4840,-0.6582442613544117,21.089051617113736,-157.1597762972674,4.0,4.0,-1.0,16.713779620607966,15.83612060546875,-17494946.270596594,2402500.214912466,0
4853,-1.037861618460738,21.089018566580524,-157.1597779978497,4.0,4.0,-1.0,16.71405669458909,15.330241203308105,-17494946.459904548,2402496.2716325596,0
4856,-1.153919331576617,21.08901190995963,-157.1597783558372,4.0,4.0,-1.0,16.7141124306072,15.175553321838379,-17494946.499755535,2402495.4774270393,0
4857,-0.7040288622883963,21.089012418608903,-157.1597781628584,4.0,4.0,-1.0,16.714108172483975,15.775403022766113,-17494946.47827323,2402495.5381142967,0
4872,-1.002691867059184,21.08897944585876,-157.1597798350384,4.0,4.0,-1.0,16.71438392282289,15.377461433410645,-17494946.664419457,2402491.6041157735,0
4884,-1.4693713473025127,21.088952803032345,-157.15978127360614,4.0,4.0,-1.0,16.714606323075714,14.755444526672363,-17494946.824560087,2402488.4253448714,0
4889,-0.8347283825351042,21.088946990575888,-157.15978131137302,4.0,4.0,-1.0,16.714654793351656,15.601683616638184,-17494946.828764275,2402487.7318574344,0
4891,-1.0230844882644305,21.08894024939325,-157.15978170218992,4.0,4.0,-1.0,16.714710986285354,15.350598335266113,-17494946.872269817,2402486.927563188,0
4893,-1.2110672535382037,21.08892697500769,-157.15978240346035,4.0,4.0,-1.0,16.71482156937418,15.100065231323242,-17494946.950334884,2402485.343788978,0
4894,-0.914636003151827,21.08892731015621,-157.15978227631157,4.0,4.0,-1.0,16.71481877853512,15.495304107666016,-17494946.936180744,2402485.383775731,0
4898,-1.1107641023663746,21.088920556735907,-157.15978267094582,4.0,4.0,-1.0,16.71487500432704,15.233856201171875,-17494946.980111226,2402484.5780215105,0
